Image,Name,Missing,Centroid X µm,Centroid Y µm,Case ID,Num Detections,Num Negative,Num Positive,Positive %,Num Positive per mm^2
InvasionFront_CD3_block10.svs,1-5,False,19289.8,8095.7,037,19888,16675,3213,16.16,1486.4
InvasionFront_CD3_block10.svs,1-6,False,21688.5,8170.7,037,23598,21107,2491,10.56,986.39
InvasionFront_CD3_block10.svs,2-1,False,6821.4,10144.6,222,22983,20814,2169,9.437,913.86
InvasionFront_CD3_block10.svs,2-2,False,9270.1,10444.5,222,22327,20511,1816,8.134,854.61
InvasionFront_CD3_block10.svs,5-1,False,5896.9,17515.7,443,25168,23909,1259,5.002,481.15
InvasionFront_CD3_block10.svs,5-2,False,8720.4,17540.7,443,23799,21974,1825,7.668,717.74
InvasionFront_CD3_block10.svs,5-5,False,18690.1,18290.3,072,22293,19737,2556,11.47,1011.1
InvasionFront_CD3_block10.svs,5-6,False,21288.7,18790.1,072,22625,20456,2169,9.587,871.11
InvasionFront_CD3_block10.svs,6-3,False,12843.2,20564.1,751,13001,11349,1652,12.71,965.16
InvasionFront_CD3_block10.svs,6-4,False,15916.6,20614.1,751,17478,16211,1267,7.249,537.0
InvasionFront_CD3_block10.svs,8-5,False,17783.5,26605.6,452,26373,15257,11116,42.15,3957.7
InvasionFront_CD3_block10.svs,8-6,False,20425.3,26893.5,452,26017,19006,7011,26.95,2638.3
InvasionFront_CD3_block11.svs,1-3,False,10594.4,2423.7,015,20803,20367,436,2.096,180.34
InvasionFront_CD3_block11.svs,1-4,False,12743.3,2623.6,015,9368,8965,403,4.302,381.56
InvasionFront_CD3_block11.svs,3-5,False,15441.8,7346.1,073,16583,15110,1473,8.883,705.23
InvasionFront_CD3_block11.svs,3-6,False,18040.4,7296.1,073,16022,14807,1215,7.583,675.95
InvasionFront_CD3_block11.svs,4-3,False,10469.5,9619.9,433,7626,7432,194,2.544,246.7
InvasionFront_CD3_block11.svs,4-4,True,12968.1,9544.9,433,0,0,0,,
InvasionFront_CD3_block11.svs,4-5,False,15466.8,9744.8,283,24583,23305,1278,5.199,522.54
InvasionFront_CD3_block11.svs,4-6,False,17965.5,9694.9,283,21230,20509,721,3.396,325.92
InvasionFront_CD3_block11.svs,5-1,False,3173.3,12293.5,141,20349,17172,3177,15.61,1371.4
InvasionFront_CD3_block11.svs,5-2,False,5846.9,12218.5,141,20366,18527,1839,9.03,789.59
InvasionFront_CD3_block11.svs,5-5,True,15541.8,11993.6,027,0,0,0,,
InvasionFront_CD3_block11.svs,5-6,True,18140.4,11918.7,027,0,0,0,,
InvasionFront_CD3_block11.svs,10-3,False,11044.2,24062.3,109,18467,15515,2952,15.99,1381.6
InvasionFront_CD3_block11.svs,10-4,False,13392.9,23987.3,109,22151,20920,1231,5.557,551.02
InvasionFront_CD3_block11.svs,10-5,False,15916.6,24112.2,410,10108,9145,963,9.527,743.57
InvasionFront_CD3_block11.svs,10-6,False,18540.2,24087.2,410,9053,8375,678,7.489,687.67
InvasionFront_CD3_block11.svs,12-1,False,3972.9,29034.6,314,9382,9305,77,0.8207,56.9
InvasionFront_CD3_block11.svs,12-2,False,6546.5,28909.7,314,15306,14553,753,4.92,434.59
InvasionFront_CD3_block12.svs,1-3,False,12393.4,7371.1,088,24377,23202,1175,4.82,442.34
InvasionFront_CD3_block12.svs,1-4,False,15017.0,7496.0,088,22100,21259,841,3.805,337.3
InvasionFront_CD3_block12.svs,2-5,False,17315.8,10219.6,646,18188,16958,1230,6.763,540.05
InvasionFront_CD3_block12.svs,2-6,False,19864.5,10494.4,646,21503,18714,2789,12.97,1160.0
InvasionFront_CD3_block12.svs,5-3,False,11668.8,17215.9,584,20026,19640,386,1.927,149.06
InvasionFront_CD3_block12.svs,5-4,False,14167.5,17365.8,584,21164,20840,324,1.531,119.7
InvasionFront_CD3_block12.svs,6-5,True,16541.2,20239.3,448,0,0,0,,
InvasionFront_CD3_block12.svs,6-6,True,19014.9,20439.2,448,0,0,0,,
InvasionFront_CD3_block12.svs,9-3,False,10819.3,27110.6,755,16639,15713,926,5.565,416.42
InvasionFront_CD3_block12.svs,9-4,False,13426.7,27350.2,755,17521,16622,899,5.131,400.73
InvasionFront_CD3_block12.svs,10-5,False,15616.7,29959.1,703,15556,15191,365,2.346,159.9
InvasionFront_CD3_block12.svs,10-6,False,18215.4,30234.0,703,19861,19462,399,2.009,182.13
InvasionFront_CD3_block12.svs,11-5,False,15441.8,32407.8,675,19470,18646,824,4.232,429.49
InvasionFront_CD3_block12.svs,11-6,False,17940.5,32607.7,675,19722,18098,1624,8.234,850.63
InvasionFront_CD3_block13.svs,2-1,False,3823.0,4672.5,362,19841,19644,197,0.9929,84.46
InvasionFront_CD3_block13.svs,2-2,False,6271.7,4622.6,362,12826,12632,194,1.513,116.63
InvasionFront_CD3_block13.svs,2-3,False,11094.1,4497.6,094,16969,16647,322,1.898,172.94
InvasionFront_CD3_block13.svs,2-4,False,13592.8,4472.6,094,18066,17550,516,2.856,258.52
InvasionFront_CD3_block13.svs,3-3,False,11069.1,6946.3,724,14597,14222,375,2.569,232.21
InvasionFront_CD3_block13.svs,3-4,False,13542.8,6821.4,724,16663,16173,490,2.941,262.94
InvasionFront_CD3_block13.svs,7-5,False,15816.6,16441.3,066,8092,7866,226,2.793,189.24
InvasionFront_CD3_block13.svs,7-6,False,18540.2,16641.2,066,17891,15933,1958,10.94,911.45
InvasionFront_CD3_block13.svs,10-1,False,3897.9,24037.3,666,18121,16413,1708,9.426,705.32
InvasionFront_CD3_block13.svs,10-2,False,6221.7,24062.3,666,17840,14167,3673,20.59,1539.0
InvasionFront_CD3_block14.svs,3-3,False,12193.5,11219.1,557,25525,24173,1352,5.297,490.65
InvasionFront_CD3_block14.svs,3-4,False,14942.1,11344.0,557,17915,16760,1155,6.447,518.15
InvasionFront_CD3_block14.svs,4-5,False,17240.9,14017.6,155,16907,15868,1039,6.145,543.14
InvasionFront_CD3_block14.svs,4-6,False,19889.5,13967.6,155,20036,18107,1929,9.628,878.87
InvasionFront_CD3_block14.svs,5-1,False,4672.5,16041.5,354,17300,17001,299,1.728,121.76
