evidence_id,phase,analysis_nature,dataset_code,dataset_display_name,dataset_role,modality,endpoint,horizon_days,model_or_comparison,metric,point_estimate,ci_lower_95,ci_upper_95,parent_n,evaluated_n,events,coverage,source_file,source_row,ci_source_file,ci_source_row,claim_status,allowed_claim_zh,allowed_claim_en,limitation_zh,limitation_en,planned_location,planned_figure_or_table
P2-FLOW-R002,Phase 2,COHORT_DEFINITION,GSE41613,GEO GSE41613,cohort source/eligibility/exclusion accounting before analysis-role assignment,microarray transcriptomics; HPV-negative OSCC sensitivity setting,24-month overall survival,730.5,source_records:all,cohort_flow_n,97,,,97,97,,,results/metrics/phase2/cohort_flow.csv,2,,,SENSITIVITY_ONLY,GSE41613队列流程步骤“source_records / all”人数为97。,The GSE41613 cohort-flow step 'source_records / all' contained 97 records.,仅为HPV阴性OSCC敏感性分析，不是一般HNSCC外部验证。,HPV-negative OSCC sensitivity analysis only; not general HNSCC external validation.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R003,Phase 2,COHORT_DEFINITION,GSE41613,GEO GSE41613,cohort source/eligibility/exclusion accounting before analysis-role assignment,microarray transcriptomics; HPV-negative OSCC sensitivity setting,24-month overall survival,730.5,eligibility:eligible,cohort_flow_n,97,,,97,97,,,results/metrics/phase2/cohort_flow.csv,3,,,SENSITIVITY_ONLY,GSE41613队列流程步骤“eligibility / eligible”人数为97。,The GSE41613 cohort-flow step 'eligibility / eligible' contained 97 records.,仅为HPV阴性OSCC敏感性分析，不是一般HNSCC外部验证。,HPV-negative OSCC sensitivity analysis only; not general HNSCC external validation.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R004,Phase 2,COHORT_DEFINITION,GSE41613,GEO GSE41613,restricted retrospective sensitivity cohort,microarray transcriptomics; HPV-negative OSCC sensitivity setting,24-month overall survival,730.5,analysis_split:sensitivity,cohort_flow_n,97,,,97,97,,,results/metrics/phase2/cohort_flow.csv,4,,,SENSITIVITY_ONLY,GSE41613队列流程步骤“analysis_split / sensitivity”人数为97。,The GSE41613 cohort-flow step 'analysis_split / sensitivity' contained 97 records.,仅为HPV阴性OSCC敏感性分析，不是一般HNSCC外部验证。,HPV-negative OSCC sensitivity analysis only; not general HNSCC external validation.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R005,Phase 2,COHORT_DEFINITION,GSE65858,GEO GSE65858,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; microarray transcriptomics; cross-platform transfer,24-month overall survival,730.5,source_records:all,cohort_flow_n,270,,,270,270,,,results/metrics/phase2/cohort_flow.csv,5,,,ALLOWED_WITH_ROLE_QUALIFIER,GSE65858队列流程步骤“source_records / all”人数为270。,The GSE65858 cohort-flow step 'source_records / all' contained 270 records.,跨RNA-seq/微阵列平台转移，必须同时呈现校准失败。,Cross-platform RNA-seq/microarray transfer; calibration failure must be reported.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R006,Phase 2,COHORT_DEFINITION,GSE65858,GEO GSE65858,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; microarray transcriptomics; cross-platform transfer,24-month overall survival,730.5,eligibility:eligible,cohort_flow_n,244,,,244,244,,,results/metrics/phase2/cohort_flow.csv,6,,,ALLOWED_WITH_ROLE_QUALIFIER,GSE65858队列流程步骤“eligibility / eligible”人数为244。,The GSE65858 cohort-flow step 'eligibility / eligible' contained 244 records.,跨RNA-seq/微阵列平台转移，必须同时呈现校准失败。,Cross-platform RNA-seq/microarray transfer; calibration failure must be reported.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R007,Phase 2,COHORT_DEFINITION,GSE65858,GEO GSE65858,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; microarray transcriptomics; cross-platform transfer,24-month overall survival,730.5,exclusion:distant_metastasis_present,cohort_flow_n,6,,,6,6,,,results/metrics/phase2/cohort_flow.csv,7,,,ALLOWED_WITH_ROLE_QUALIFIER,GSE65858队列流程步骤“exclusion / distant_metastasis_present”人数为6。,The GSE65858 cohort-flow step 'exclusion / distant_metastasis_present' contained 6 records.,跨RNA-seq/微阵列平台转移，必须同时呈现校准失败。,Cross-platform RNA-seq/microarray transfer; calibration failure must be reported.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R008,Phase 2,COHORT_DEFINITION,GSE65858,GEO GSE65858,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; microarray transcriptomics; cross-platform transfer,24-month overall survival,730.5,exclusion:not_primary_tumor,cohort_flow_n,16,,,16,16,,,results/metrics/phase2/cohort_flow.csv,8,,,ALLOWED_WITH_ROLE_QUALIFIER,GSE65858队列流程步骤“exclusion / not_primary_tumor”人数为16。,The GSE65858 cohort-flow step 'exclusion / not_primary_tumor' contained 16 records.,跨RNA-seq/微阵列平台转移，必须同时呈现校准失败。,Cross-platform RNA-seq/microarray transfer; calibration failure must be reported.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R009,Phase 2,COHORT_DEFINITION,GSE65858,GEO GSE65858,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; microarray transcriptomics; cross-platform transfer,24-month overall survival,730.5,exclusion:not_primary_tumor;distant_metastasis_present,cohort_flow_n,1,,,1,1,,,results/metrics/phase2/cohort_flow.csv,9,,,ALLOWED_WITH_ROLE_QUALIFIER,GSE65858队列流程步骤“exclusion / not_primary_tumor;distant_metastasis_present”人数为1。,The GSE65858 cohort-flow step 'exclusion / not_primary_tumor;distant_metastasis_present' contained 1 records.,跨RNA-seq/微阵列平台转移，必须同时呈现校准失败。,Cross-platform RNA-seq/microarray transfer; calibration failure must be reported.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R010,Phase 2,COHORT_DEFINITION,GSE65858,GEO GSE65858,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; microarray transcriptomics; cross-platform transfer,24-month overall survival,730.5,exclusion:palliative_treatment,cohort_flow_n,3,,,3,3,,,results/metrics/phase2/cohort_flow.csv,10,,,ALLOWED_WITH_ROLE_QUALIFIER,GSE65858队列流程步骤“exclusion / palliative_treatment”人数为3。,The GSE65858 cohort-flow step 'exclusion / palliative_treatment' contained 3 records.,跨RNA-seq/微阵列平台转移，必须同时呈现校准失败。,Cross-platform RNA-seq/microarray transfer; calibration failure must be reported.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R011,Phase 2,COHORT_DEFINITION,GSE65858,GEO GSE65858,prespecified retrospective external test,clinical; microarray transcriptomics; cross-platform transfer,24-month overall survival,730.5,analysis_split:external_test,cohort_flow_n,244,,,244,244,,,results/metrics/phase2/cohort_flow.csv,11,,,ALLOWED_WITH_ROLE_QUALIFIER,GSE65858队列流程步骤“analysis_split / external_test”人数为244。,The GSE65858 cohort-flow step 'analysis_split / external_test' contained 244 records.,跨RNA-seq/微阵列平台转移，必须同时呈现校准失败。,Cross-platform RNA-seq/microarray transfer; calibration failure must be reported.,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
