path,status,detail
D:/medical_paper/HNSCC/docs/TRUST_HN_master_project_implementation.md,READ_TEXT,lines=1524
D:/medical_paper/HNSCC/main_pj.pdf,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/empty.eps,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/fig-eps-converted-to.pdf,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/fig.eps,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-apacite.bst,READ_TEXT,lines=5332
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-aps.bst,READ_TEXT,lines=1531
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.aux,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.bbl,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.blg,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.fdb_latexmk,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.fls,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.log,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.out,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.pdf,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.synctex.gz,READ_BYTES,sha256 and size recorded
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-article.tex,READ_TEXT,lines=623
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-basic.bst,READ_TEXT,lines=1818
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-bibliography.bib,READ_TEXT,lines=164
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-chicago.bst,READ_TEXT,lines=1683
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-jnl.cls,READ_TEXT,lines=1803
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-mathphys-ay.bst,READ_TEXT,lines=3208
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-mathphys-num.bst,READ_TEXT,lines=3211
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-nature.bst,READ_TEXT,lines=1724
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-vancouver-ay.bst,READ_TEXT,lines=2085
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/sn-vancouver-num.bst,READ_TEXT,lines=2021
D:/medical_paper/HNSCC/Springer_Nature_LaTeX_Template/user-manual.pdf,READ_BYTES,sha256 and size recorded
configs/analysis_freeze.yaml,PARSED_JSON,top_level=dict
configs/audit_specs/hancock.json,PARSED_JSON,top_level=dict
configs/audit_specs/radcure.json,PARSED_JSON,top_level=dict
configs/audit_specs/tcga_geo.json,PARSED_JSON,top_level=dict
configs/base.yaml,READ_TEXT,lines=27
configs/download_policy.json,PARSED_JSON,top_level=dict
configs/experiments/.gitkeep,READ_BYTES,sha256 and size recorded
configs/gdc_tcga_hnsc_cases_query.json,PARSED_JSON,top_level=dict
configs/gdc_tcga_hnsc_star_counts_query.json,PARSED_JSON,top_level=dict
configs/hancock.yaml,READ_TEXT,lines=79
configs/phase1_sources.json,PARSED_JSON,top_level=dict
configs/phase2_contract.json,PARSED_JSON,top_level=dict
configs/phase2_governance.json,PARSED_JSON,top_level=dict
configs/phase3_baselines.json,PARSED_JSON,top_level=dict
configs/phase3_governance.json,PARSED_JSON,top_level=dict
configs/phase4_governance.json,PARSED_JSON,top_level=dict
configs/phase4_trust_hn.json,PARSED_JSON,top_level=dict
configs/phase5_governance.json,PARSED_JSON,top_level=dict
configs/phase5_stress_tests.json,PARSED_JSON,top_level=dict
configs/phase6_evaluation.json,PARSED_JSON,top_level=dict
configs/phase6_governance.json,PARSED_JSON,top_level=dict
configs/phase7_exploratory_benchmarks.json,PARSED_JSON,top_level=dict
configs/phase8_pseudo_private_overlap_simulation.json,PARSED_JSON,top_level=dict
configs/radcure.yaml,READ_TEXT,lines=77
configs/tcga_geo.yaml,READ_TEXT,lines=92
data/manifests/gse41613/data_manifest.yaml,READ_TEXT,lines=38
data/manifests/gse41613/license_notes.md,READ_TEXT,lines=15
data/manifests/gse65858/data_manifest.yaml,READ_TEXT,lines=38
data/manifests/gse65858/license_notes.md,READ_TEXT,lines=14
data/manifests/hancock/data_manifest.yaml,READ_TEXT,lines=62
data/manifests/hancock/license_notes.md,READ_TEXT,lines=16
data/manifests/phase1_finalization_receipt.json,PARSED_JSON,top_level=dict
data/manifests/radcure/data_manifest.yaml,READ_TEXT,lines=50
data/manifests/radcure/license_notes.md,READ_TEXT,lines=14
data/manifests/sealed/phase6_cohort_set_manifest.json,PARSED_JSON,top_level=dict
data/manifests/source_registry.yaml,READ_TEXT,lines=94
data/manifests/tcga_hnsc/data_manifest.yaml,READ_TEXT,lines=6817
data/manifests/tcga_hnsc/license_notes.md,READ_TEXT,lines=15
data/manifests/tcga_hnsc_gdc_download_summary.json,PARSED_JSON,top_level=dict
data/manifests/templates/data_manifest.yaml,READ_TEXT,lines=20
docs/audits/hancock/cohort_flow.csv,PARSED_CSV,rows=0; columns=7
docs/audits/hancock/data_dictionary.csv,PARSED_CSV,rows=0; columns=9
docs/audits/hancock/data_manifest.yaml,READ_TEXT,lines=20
docs/audits/hancock/endpoint_audit.md,READ_TEXT,lines=29
docs/audits/hancock/go_no_go.md,READ_TEXT,lines=20
docs/audits/hancock/leakage_audit.md,READ_TEXT,lines=16
docs/audits/hancock/license_notes.md,READ_TEXT,lines=5
docs/audits/hancock/missingness.csv,PARSED_CSV,rows=0; columns=7
docs/audits/hancock/split_audit.md,READ_TEXT,lines=15
docs/audits/phase2/endpoint_audit.md,READ_TEXT,lines=34
docs/audits/phase3/authorization.md,READ_TEXT,lines=28
docs/audits/phase3/baseline_findings.md,READ_TEXT,lines=92
docs/audits/phase3/leakage_audit.md,READ_TEXT,lines=30
docs/audits/phase4/authorization.md,READ_TEXT,lines=35
docs/audits/phase4/core_findings.md,READ_TEXT,lines=25
docs/audits/phase4/leakage_audit.md,READ_TEXT,lines=34
docs/audits/phase5/development_findings.md,READ_TEXT,lines=43
docs/audits/phase5/final_configuration.md,READ_TEXT,lines=14
docs/audits/phase5/leakage_audit.md,READ_TEXT,lines=11
docs/audits/phase5/preanalysis_protocol.md,READ_TEXT,lines=67
docs/audits/phase6/phase6_final_audit.md,READ_TEXT,lines=120
docs/audits/phase6/radcure_rds_structural_audit.md,READ_TEXT,lines=26
docs/audits/radcure/cohort_flow.csv,PARSED_CSV,rows=0; columns=7
docs/audits/radcure/data_dictionary.csv,PARSED_CSV,rows=0; columns=9
docs/audits/radcure/data_manifest.yaml,READ_TEXT,lines=20
docs/audits/radcure/endpoint_audit.md,READ_TEXT,lines=29
docs/audits/radcure/go_no_go.md,READ_TEXT,lines=20
docs/audits/radcure/leakage_audit.md,READ_TEXT,lines=16
docs/audits/radcure/license_notes.md,READ_TEXT,lines=5
docs/audits/radcure/missingness.csv,PARSED_CSV,rows=0; columns=7
docs/audits/radcure/split_audit.md,READ_TEXT,lines=15
docs/audits/tcga_geo/cohort_flow.csv,PARSED_CSV,rows=0; columns=7
docs/audits/tcga_geo/data_dictionary.csv,PARSED_CSV,rows=0; columns=9
docs/audits/tcga_geo/data_manifest.yaml,READ_TEXT,lines=20
docs/audits/tcga_geo/endpoint_audit.md,READ_TEXT,lines=29
docs/audits/tcga_geo/go_no_go.md,READ_TEXT,lines=20
docs/audits/tcga_geo/leakage_audit.md,READ_TEXT,lines=16
docs/audits/tcga_geo/license_notes.md,READ_TEXT,lines=5
docs/audits/tcga_geo/missingness.csv,PARSED_CSV,rows=0; columns=7
docs/audits/tcga_geo/split_audit.md,READ_TEXT,lines=15
docs/checklists/en/PROBAST_AI_self_assessment.md,READ_TEXT,lines=66
docs/checklists/en/TRIPOD_AI_self_assessment.md,READ_TEXT,lines=53
docs/checklists/zh-CN/PROBAST_AI_self_assessment.md,READ_TEXT,lines=66
docs/checklists/zh-CN/TRIPOD_AI_self_assessment.md,READ_TEXT,lines=53
docs/model_card.md,READ_TEXT,lines=3
docs/phase1_acquisition_plan.md,READ_TEXT,lines=39
docs/plans/manuscript_project/CODEX_MANUSCRIPT_EXECUTION_BRIEF_zh-CN.md,READ_TEXT,lines=3
docs/plans/manuscript_project/MANUSCRIPT_PROJECT_PLAN_zh-CN.md,READ_TEXT,lines=242
docs/plans/phase7/CODEX_EXECUTION_BRIEF_zh-CN.md,READ_TEXT,lines=3
docs/plans/phase7/phase7_paper_project_plan_en.md,READ_TEXT,lines=44
docs/plans/phase7/phase7_paper_project_plan_zh-CN.md,READ_TEXT,lines=168
docs/reproducibility.md,READ_TEXT,lines=3
docs/sap.md,READ_TEXT,lines=3
docs/work_stage_reports/en/2026-08-07_phase0_completion_report.md,READ_TEXT,lines=42
