template_path,size_bytes,sha256
.vscode/settings.json,938,d59e8c0969de1216179fd2f01d4cefde19e20562ec3609d083af2d8f2f4fdcba
empty.eps,2970,d7cdcbd8343b585117c7b3809ec48703d5ba992d74b1be0f2c79715de4d392f3
fig-eps-converted-to.pdf,3295,5867ccec434cc549fd2ebfe196dd96a38aff96c8a3ff109f5dd9744b917f186c
fig.eps,93049,9f98c09ea6cbf1b60ce2cd106a6af12847732b99aec8e090f932e8816b7aa092
sn-apacite.bst,151345,be9346857b116ec0359319ff26ace70da573475e4c92c6fb9418f841ff7a7c75
sn-aps.bst,31359,84383a044c2db1f7bb6a5229adc9b7e1e043d697b874ac62bd32ba837b0e5eb7
sn-article.aux,5946,1ca1ef8e0fc402f8333c4a8aacb0fd5bbca224fbfd500d76b1b2b693edb25f94
sn-article.bbl,4764,f387cd0f23c65865f07199a48a9d4da9acdc092085138f7a6b14d50d9b5eb082
sn-article.blg,1106,3649b3ebb9ad816cf651bcb3985e40a0ce2ea8766b8877312ed5ac99373f54ff
sn-article.fdb_latexmk,22282,5a03a6941c88fad3643415f7ad3561169f7aaa6ff01826a7fff1e405df8810ba
sn-article.fls,30695,92370f5b76b4654dd6884ca8e5cbde28d538327b4d4a5b5a7889c98b6e2a4961
sn-article.log,46592,1a9721cdd6c529a0b59a30649504ab6986b25658877b939186a543660467f27e
sn-article.out,3121,e7ac3a9571a38041300dce69ad80c4480f53c880dccf58e8ae4042834a593c9d
sn-article.pdf,426646,dc06da9301fdc2455ff99c3f4edd71aaece5501586c553338dc55cd54479d7fd
sn-article.synctex.gz,80253,23bcfff1e711d79eb5be843a64b8659a9f4c4b6d797cf28f97c90375cb1cbde8
sn-article.tex,34688,91d915efc2ce2e627dee89dd039a09f1008b23e57980a37032cc2b5079f316cc
sn-basic.bst,37333,8783c14337e100935dac9f147cb7baa8b0e014263dba8d7872755c8c3ae08714
sn-bibliography.bib,5123,007a3f0da8a727b721cf43d4b5bc399831c13f5c8bb3a0728a729c67ab1c0c54
sn-chicago.bst,35651,f94dc7958b7a6c8ed4493cef2dff3b69bcb7f6ae9bfbf22a5dbeec37ed4d04f6
sn-jnl.cls,57660,9fefbd3d4475c229d14eb376b481588c1e981b5e192106ffd00b320bf14ac051
sn-mathphys-ay.bst,67231,c5caab1af65d4a9790da280d8162633d378830b7dfab10d8713e6e6c7e1ffa80
sn-mathphys-num.bst,67377,5902dc51ca7140ad5735327d8df296bfffb95b616c5aed841d222e14c47cce7d
sn-nature.bst,39056,638d68f5b0e92ffb25d64d29c7334e1bac6bbf54574b602bc633af8d96e1fd9b
sn-vancouver-ay.bst,42035,5dd4a36caa68169536f895f5dd4ade89307150ee8f1d100b5a08c328281c92bd
sn-vancouver-num.bst,42779,679200a0174756f85ad0e1d0cbcf3b421448ffc0d355f5b1a1b32889e9b4fd4f
user-manual.pdf,418495,4bb5d025c3ec64825cb3f4e1590d7ecc73b51c3c7c53e06711f59d2e840ed9e9
