candidate,family,gamma,base,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable,coverage,monotone_beta_positive
identity,identity,0.0,identity,0.126636630558532,0.126636630558532,0.0,0.01167998687087252,0.011679986869500525,-1.3719945318735327e-12,0.8261233856146961,0.8261233856146961,0.0,2460,415,1.0,True
global_intercept_shrinkage_g0.10,global_intercept_shrinkage,0.1,global_intercept,0.126636630558532,0.12667207008694578,3.543952841378317e-05,0.01167998687087252,0.010194623576607777,-0.0014853632942647427,0.8261233856146961,0.8233733976589143,0.002749987955781852,2460,415,1.0,True
global_intercept_shrinkage_g0.25,global_intercept_shrinkage,0.25,global_intercept,0.126636630558532,0.1267274605695355,9.083001100348986e-05,0.01167998687087252,0.007930967711194023,-0.003749019159678497,0.8261233856146961,0.8190784736644757,0.007044911950220389,2460,415,1.0,True
global_intercept_shrinkage_g0.50,global_intercept_shrinkage,0.5,global_intercept,0.126636630558532,0.12682579850538822,0.0001891679468562224,0.01167998687087252,0.004063319253558624,-0.007616667617313896,0.8261233856146961,0.8116370853776247,0.014486300237071426,2460,415,1.0,True
global_intercept_shrinkage_g0.75,global_intercept_shrinkage,0.75,global_intercept,0.126636630558532,0.12693177992299975,0.0002951493644677561,0.01167998687087252,7.720001308607783e-05,-0.011602786857786441,0.8261233856146961,0.8036792789104744,0.0224441067042217,2460,415,1.0,True
global_intercept_shrinkage_g1.00,global_intercept_shrinkage,1.0,global_intercept,0.126636630558532,0.12704554506600468,0.0004089145074726852,0.01167998687087252,-0.004027200669153503,-0.0076527862017190165,0.8261233856146961,0.7953102949940087,0.030813090620687378,2460,415,1.0,True
global_slope_shrinkage_g0.10,global_slope_shrinkage,0.1,global_slope,0.126636630558532,0.1266589570208304,2.2326462298410954e-05,0.01167998687087252,0.006299826542611948,-0.005380160328260572,0.8261233856146961,0.825841459361844,0.0002819262528520605,2460,415,1.0,True
global_slope_shrinkage_g0.25,global_slope_shrinkage,0.25,global_slope,0.126636630558532,0.12669759267004035,6.096211150835584e-05,0.01167998687087252,-0.0018561841351052264,-0.009823802735767294,0.8261233856146961,0.8250336431770325,0.0010897424376635767,2460,415,1.0,True
global_slope_shrinkage_g0.50,global_slope_shrinkage,0.5,global_slope,0.126636630558532,0.12677641042885907,0.00013977987032706696,0.01167998687087252,-0.015678933954197595,0.003998947083325075,0.8261233856146961,0.8226487789130247,0.0034746067016714344,2460,415,1.0,True
global_slope_shrinkage_g0.75,global_slope_shrinkage,0.75,global_slope,0.126636630558532,0.12687446370210084,0.0002378331435688441,0.01167998687087252,-0.029789479241907415,0.018109492371034895,0.8261233856146961,0.8189234561080259,0.007199929506670255,2460,415,1.0,True
global_slope_shrinkage_g1.00,global_slope_shrinkage,1.0,global_slope,0.126636630558532,0.12699323168007612,0.00035660112154412005,0.01167998687087252,-0.044188961117920506,0.03250897424704799,0.8261233856146961,0.8139060479636749,0.012217337651021176,2460,415,1.0,True
global_full_shrinkage_g0.10,global_full_shrinkage,0.1,global_full,0.126636630558532,0.12669899608048893,6.236552195693079e-05,0.01167998687087252,0.01027335765542399,-0.00140662921544853,0.8261233856146961,0.8287599754996821,-0.0026365898849859404,2460,415,1.0,True
global_full_shrinkage_g0.25,global_full_shrinkage,0.25,global_full,0.126636630558532,0.1268063358483318,0.00016970528979981525,0.01167998687087252,0.00792643278683321,-0.0037535540840393095,0.8261233856146961,0.8313076774982935,-0.0051842918835973695,2460,415,1.0,True
global_full_shrinkage_g0.50,global_full_shrinkage,0.5,global_full,0.126636630558532,0.12702263820299975,0.0003860076444677507,0.01167998687087252,0.003366147351003617,-0.008313839519868903,0.8261233856146961,0.8317411463695116,-0.0056177607548154596,2460,415,1.0,True
global_full_shrinkage_g0.75,global_full_shrinkage,0.75,global_full,0.126636630558532,0.1272869277133369,0.000650297154804913,0.01167998687087252,-0.0020330951440779487,-0.00964689172679457,0.8261233856146961,0.8267338851282934,-0.0006104995135972624,2460,415,1.0,True
global_full_shrinkage_g1.00,global_full_shrinkage,1.0,global_full,0.126636630558532,0.12760100271458152,0.0009643721560495255,0.01167998687087252,-0.008304235117774419,-0.003375751753098101,0.8261233856146961,0.8146115336401343,0.011511851974561838,2460,415,1.0,True
bounded_global_full_g0.25,bounded_global_full,0.25,bounded_global_full,0.126636630558532,0.12678611542785215,0.00014948486932014893,0.01167998687087252,0.007918354170004412,-0.0037616327008681075,0.8261233856146961,0.8291619842984796,-0.0030385986837835333,2460,415,1.0,True
bounded_global_full_g0.50,bounded_global_full,0.5,bounded_global_full,0.126636630558532,0.12696300878788752,0.00032637822935552285,0.01167998687087252,0.0036724501186555076,-0.008007536752217012,0.8261233856146961,0.8293678429189346,-0.0032444573042385016,2460,415,1.0,True
bounded_global_full_g0.75,bounded_global_full,0.75,bounded_global_full,0.126636630558532,0.1271680444401818,0.0005314138816497893,0.01167998687087252,-0.0010664914599773662,-0.010613495410895154,0.8261233856146961,0.8264745636939662,-0.00035117807927009803,2460,415,1.0,True
bounded_global_full_g1.00,bounded_global_full,1.0,bounded_global_full,0.126636630558532,0.12740207597412184,0.0007654454155898438,0.01167998687087252,-0.006307920062248617,-0.005372066808623903,0.8261233856146961,0.8195426414507068,0.006580744163989349,2460,415,1.0,True
