candidate,pattern,n_evaluable,events_evaluable,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier
bounded_global_full_g0.25,001,30,10,0.19954438702851302,0.2010113581934995,0.0014669711649864803
bounded_global_full_g0.25,010,5,0,0.027577543194694677,0.027569630454881,-7.912739813677877e-06
bounded_global_full_g0.25,011,280,30,0.08313352759503974,0.08329161524947101,0.00015808765443127426
bounded_global_full_g0.25,101,200,30,0.12907396054022355,0.128978715080854,-9.524545936953621e-05
bounded_global_full_g0.25,110,70,25,0.24192502043811115,0.2424945050757477,0.0005694846376365637
bounded_global_full_g0.25,111,1875,320,0.1284272379380475,0.12856819263528932,0.00014095469724181853
bounded_global_full_g0.50,001,30,10,0.19954438702851302,0.20250473937091926,0.0029603523424062417
bounded_global_full_g0.50,010,5,0,0.027577543194694677,0.0275759020503873,-1.6411443073752197e-06
bounded_global_full_g0.50,011,280,30,0.08313352759503974,0.08347979715771435,0.0003462695626746115
bounded_global_full_g0.50,101,200,30,0.12907396054022355,0.12887766489168606,-0.0001962956485374867
bounded_global_full_g0.50,110,70,25,0.24192502043811115,0.2430980641736214,0.0011730437355102485
bounded_global_full_g0.50,111,1875,320,0.1284272379380475,0.12873940404873455,0.00031216611068704547
bounded_global_full_g0.75,001,30,10,0.19954438702851302,0.20402250888118525,0.00447812185267224
bounded_global_full_g0.75,010,5,0,0.027577543194694677,0.027597111295598574,1.9568100903897406e-05
bounded_global_full_g0.75,011,280,30,0.08313352759503974,0.08369933205013547,0.0005658044550957281
bounded_global_full_g0.75,101,200,30,0.12907396054022355,0.1287750225085348,-0.0002989380316887613
bounded_global_full_g0.75,110,70,25,0.24192502043811115,0.2437364468611655,0.0018114264230543464
bounded_global_full_g0.75,111,1875,320,0.1284272379380475,0.1289411763908391,0.0005139384527916013
bounded_global_full_g1.00,001,30,10,0.19954438702851302,0.2055628189671737,0.0060184319386606955
bounded_global_full_g1.00,010,5,0,0.027577543194694677,0.027634122360676548,5.6579165981871654e-05
bounded_global_full_g1.00,011,280,30,0.08313352759503974,0.08395152277444508,0.0008179951794053397
bounded_global_full_g1.00,101,200,30,0.12907396054022355,0.12867635810913025,-0.00039760243109329685
bounded_global_full_g1.00,110,70,25,0.24192502043811115,0.2444102740416363,0.0024852536035251394
bounded_global_full_g1.00,111,1875,320,0.1284272379380475,0.12917381907053865,0.0007465811324911531
global_full_shrinkage_g0.10,001,30,10,0.19954438702851302,0.20021469909606135,0.0006703120675483343
global_full_shrinkage_g0.10,010,5,0,0.027577543194694677,0.027572276044045763,-5.267150648913255e-06
global_full_shrinkage_g0.10,011,280,30,0.08313352759503974,0.0831893148515212,5.5787256481462655e-05
global_full_shrinkage_g0.10,101,200,30,0.12907396054022355,0.12903524741253178,-3.87131276917696e-05
global_full_shrinkage_g0.10,110,70,25,0.24192502043811115,0.2422481371086613,0.00032311667055015536
global_full_shrinkage_g0.10,111,1875,320,0.1284272379380475,0.12848361449111095,5.6376553063453017e-05
global_full_shrinkage_g0.25,001,30,10,0.19954438702851302,0.201231988563116,0.0016876015346029838
global_full_shrinkage_g0.25,010,5,0,0.027577543194694677,0.027568525326192063,-9.01786850261363e-06
global_full_shrinkage_g0.25,011,280,30,0.08313352759503974,0.08328647790621002,0.0001529503111702829
global_full_shrinkage_g0.25,101,200,30,0.12907396054022355,0.1289751783784237,-9.8782161799843e-05
global_full_shrinkage_g0.25,110,70,25,0.24192502043811115,0.2427433272222287,0.0008183067841175395
global_full_shrinkage_g0.25,111,1875,320,0.1284272379380475,0.1285838555827376,0.00015661764469010464
global_full_shrinkage_g0.50,001,30,10,0.19954438702851302,0.20295878750170443,0.0034144004731914146
global_full_shrinkage_g0.50,010,5,0,0.027577543194694677,0.02757370714801714,-3.836046677536953e-06
global_full_shrinkage_g0.50,011,280,30,0.08313352759503974,0.08348609648830452,0.00035256889326477914
global_full_shrinkage_g0.50,101,200,30,0.12907396054022355,0.12887424992367943,-0.00019971061654411315
global_full_shrinkage_g0.50,110,70,25,0.24192502043811115,0.2435960372998027,0.0016710168616915488
global_full_shrinkage_g0.50,111,1875,320,0.1284272379380475,0.1287928145336077,0.00036557659556019084
global_full_shrinkage_g0.75,001,30,10,0.19954438702851302,0.20472479651926326,0.005180409490750243
global_full_shrinkage_g0.75,010,5,0,0.027577543194694677,0.02759384092510096,1.6297730406282518e-05
global_full_shrinkage_g0.75,011,280,30,0.08313352759503974,0.08373599104180716,0.0006024634467674261
global_full_shrinkage_g0.75,101,200,30,0.12907396054022355,0.12878261445663236,-0.0002913460835911874
global_full_shrinkage_g0.75,110,70,25,0.24192502043811115,0.24448204698358994,0.002557026545478791
global_full_shrinkage_g0.75,111,1875,320,0.1284272379380475,0.12905417691491367,0.0006269389768661648
global_full_shrinkage_g1.00,001,30,10,0.19954438702851302,0.20653067326230626,0.006986286233793243
global_full_shrinkage_g1.00,010,5,0,0.027577543194694677,0.02762978961492185,5.224642022717482e-05
global_full_shrinkage_g1.00,011,280,30,0.08313352759503974,0.08404044820761203,0.0009069206125722901
global_full_shrinkage_g1.00,101,200,30,0.12907396054022355,0.12871570620407424,-0.00035825433614930513
global_full_shrinkage_g1.00,110,70,25,0.24192502043811115,0.24540045744487707,0.003475437006765919
global_full_shrinkage_g1.00,111,1875,320,0.1284272379380475,0.12936798903323118,0.0009407510951836839
global_intercept_shrinkage_g0.10,001,30,10,0.19954438702851302,0.19963604260038254,9.165557186952e-05
global_intercept_shrinkage_g0.10,010,5,0,0.027577543194694677,0.027615260023730374,3.771682903569787e-05
global_intercept_shrinkage_g0.10,011,280,30,0.08313352759503974,0.08315667605260234,2.3148457562599534e-05
global_intercept_shrinkage_g0.10,101,200,30,0.12907396054022355,0.12908061293798556,6.652397762013651e-06
global_intercept_shrinkage_g0.10,110,70,25,0.24192502043811115,0.24198874929176192,6.372885365077408e-05
global_intercept_shrinkage_g0.10,111,1875,320,0.1284272379380475,0.1284654033492746,3.816541122708683e-05
global_intercept_shrinkage_g0.25,001,30,10,0.19954438702851302,0.19977464921545662,0.00023026218694360834
global_intercept_shrinkage_g0.25,010,5,0,0.027577543194694677,0.02767280035534831,9.525716065363413e-05
global_intercept_shrinkage_g0.25,011,280,30,0.08313352759503974,0.08319382359420044,6.02959991607005e-05
global_intercept_shrinkage_g0.25,101,200,30,0.12907396054022355,0.12909331512775948,1.9354587535935774e-05
global_intercept_shrinkage_g0.25,110,70,25,0.24192502043811115,0.24208711065999963,0.00016209022188848343
global_intercept_shrinkage_g0.25,111,1875,320,0.1284272379380475,0.12852477494284834,9.753700480083505e-05
global_intercept_shrinkage_g0.50,001,30,10,0.19954438702851302,0.2000086976639815,0.00046431063546847895
global_intercept_shrinkage_g0.50,010,5,0,0.027577543194694677,0.027771301638048012,0.00019375844335333542
global_intercept_shrinkage_g0.50,011,280,30,0.08313352759503974,0.08326226133988963,0.00012873374484989597
global_intercept_shrinkage_g0.50,101,200,30,0.12907396054022355,0.1291218315710998,4.7871030876250886e-05
global_intercept_shrinkage_g0.50,110,70,25,0.24192502043811115,0.2422586209134828,0.00033360047537164816
global_intercept_shrinkage_g0.50,111,1875,320,0.1284272379380475,0.1286294548816854,0.0002022169436378951
global_intercept_shrinkage_g0.75,001,30,10,0.19954438702851302,0.2002466168283877,0.0007022297998746929
global_intercept_shrinkage_g0.75,010,5,0,0.027577543194694677,0.027873098252712326,0.00029555505801764914
global_intercept_shrinkage_g0.75,011,280,30,0.08313352759503974,0.08333895419748578,0.00020542660244604605
global_intercept_shrinkage_g0.75,101,200,30,0.12907396054022355,0.12915966676317997,8.570622295642205e-05
global_intercept_shrinkage_g0.75,110,70,25,0.24192502043811115,0.24243991581811458,0.0005148953800034328
global_intercept_shrinkage_g0.75,111,1875,320,0.1284272379380475,0.1287414024129239,0.0003141644748763939
global_intercept_shrinkage_g1.00,001,30,10,0.19954438702851302,0.20048849944303423,0.0009441124145212199
global_intercept_shrinkage_g1.00,010,5,0,0.027577543194694677,0.027978241833030177,0.00040069863833550046
global_intercept_shrinkage_g1.00,011,280,30,0.08313352759503974,0.0834240199306764,0.00029049233563666066
global_intercept_shrinkage_g1.00,101,200,30,0.12907396054022355,0.12920697874890583,0.00013301820868227843
global_intercept_shrinkage_g1.00,110,70,25,0.24192502043811115,0.24263136346315786,0.0007063430250467129
global_intercept_shrinkage_g1.00,111,1875,320,0.1284272379380475,0.12886074729117464,0.00043350935312713723
global_slope_shrinkage_g0.10,001,30,10,0.19954438702851302,0.1992971840405627,-0.0002472029879503068
