candidate,delta_ipcw_brier,worst_supported_pattern_regret,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,passes_brier,passes_pattern,passes_citl_safety,passes_slope_safety,improves_calibration,development_safe_pass
identity,0.0,2.7755575615628914e-17,0.01167998687087252,0.011679986869500525,-1.3719945318735327e-12,0.8261233856146961,0.8261233856146961,0.0,True,True,True,True,True,True
global_slope_shrinkage_g0.10,2.2326462298410954e-05,7.024178907207024e-05,0.01167998687087252,0.006299826542611948,-0.005380160328260572,0.8261233856146961,0.825841459361844,0.0002819262528520605,True,True,True,True,True,True
global_intercept_shrinkage_g0.10,3.543952841378317e-05,9.165557186952e-05,0.01167998687087252,0.010194623576607777,-0.0014853632942647427,0.8261233856146961,0.8233733976589143,0.002749987955781852,True,True,True,True,True,True
global_slope_shrinkage_g0.25,6.096211150835584e-05,0.00018201474339349377,0.01167998687087252,-0.0018561841351052264,-0.009823802735767294,0.8261233856146961,0.8250336431770325,0.0010897424376635767,True,True,True,True,True,True
global_full_shrinkage_g0.10,6.236552195693079e-05,0.0006703120675483343,0.01167998687087252,0.01027335765542399,-0.00140662921544853,0.8261233856146961,0.8287599754996821,-0.0026365898849859404,True,True,True,True,True,True
global_intercept_shrinkage_g0.25,9.083001100348986e-05,0.00023026218694360834,0.01167998687087252,0.007930967711194023,-0.003749019159678497,0.8261233856146961,0.8190784736644757,0.007044911950220389,True,True,True,True,True,True
bounded_global_full_g0.25,0.00014948486932014893,0.0014669711649864803,0.01167998687087252,0.007918354170004412,-0.0037616327008681075,0.8261233856146961,0.8291619842984796,-0.0030385986837835333,True,True,True,True,True,True
global_full_shrinkage_g0.25,0.00016970528979981525,0.0016876015346029838,0.01167998687087252,0.00792643278683321,-0.0037535540840393095,0.8261233856146961,0.8313076774982935,-0.0051842918835973695,True,True,True,True,True,True
global_intercept_shrinkage_g0.50,0.0001891679468562224,0.00046431063546847895,0.01167998687087252,0.004063319253558624,-0.007616667617313896,0.8261233856146961,0.8116370853776247,0.014486300237071426,True,True,True,True,True,True
global_intercept_shrinkage_g0.75,0.0002951493644677561,0.0007022297998746929,0.01167998687087252,7.720001308607783e-05,-0.011602786857786441,0.8261233856146961,0.8036792789104744,0.0224441067042217,True,True,True,True,True,True
bounded_global_full_g0.50,0.00032637822935552285,0.0029603523424062417,0.01167998687087252,0.0036724501186555076,-0.008007536752217012,0.8261233856146961,0.8293678429189346,-0.0032444573042385016,True,True,True,True,True,True
global_full_shrinkage_g0.50,0.0003860076444677507,0.0034144004731914146,0.01167998687087252,0.003366147351003617,-0.008313839519868903,0.8261233856146961,0.8317411463695116,-0.0056177607548154596,True,True,True,True,True,True
global_intercept_shrinkage_g1.00,0.0004089145074726852,0.0009441124145212199,0.01167998687087252,-0.004027200669153503,-0.0076527862017190165,0.8261233856146961,0.7953102949940087,0.030813090620687378,True,True,True,True,True,True
bounded_global_full_g0.75,0.0005314138816497893,0.00447812185267224,0.01167998687087252,-0.0010664914599773662,-0.010613495410895154,0.8261233856146961,0.8264745636939662,-0.00035117807927009803,True,True,True,True,True,True
global_full_shrinkage_g0.75,0.000650297154804913,0.005180409490750243,0.01167998687087252,-0.0020330951440779487,-0.00964689172679457,0.8261233856146961,0.8267338851282934,-0.0006104995135972624,True,True,True,True,True,True
bounded_global_full_g1.00,0.0007654454155898438,0.0060184319386606955,0.01167998687087252,-0.006307920062248617,-0.005372066808623903,0.8261233856146961,0.8195426414507068,0.006580744163989349,True,True,True,True,True,True
global_full_shrinkage_g1.00,0.0009643721560495255,0.006986286233793243,0.01167998687087252,-0.008304235117774419,-0.003375751753098101,0.8261233856146961,0.8146115336401343,0.011511851974561838,True,True,True,True,True,True
global_slope_shrinkage_g0.50,0.00013977987032706696,0.0003861361722947154,0.01167998687087252,-0.015678933954197595,0.003998947083325075,0.8261233856146961,0.8226487789130247,0.0034746067016714344,True,True,True,True,False,False
global_slope_shrinkage_g0.75,0.0002378331435688441,0.0006138149751825084,0.01167998687087252,-0.029789479241907415,0.018109492371034895,0.8261233856146961,0.8189234561080259,0.007199929506670255,True,True,True,True,False,False
global_slope_shrinkage_g1.00,0.00035660112154412005,0.0008666050335018327,0.01167998687087252,-0.044188961117920506,0.03250897424704799,0.8261233856146961,0.8139060479636749,0.012217337651021176,True,True,True,True,False,False
