candidate,pattern,n_evaluable,events_evaluable,delta_ipcw_brier
anchor_blend_g0.00,001,30,10,0.000574050880274124
anchor_blend_g0.00,010,5,0,-0.01295039051098739
anchor_blend_g0.00,011,280,30,0.0006467695879175256
anchor_blend_g0.00,101,200,30,0.001070140470002784
anchor_blend_g0.00,110,70,25,-0.00441001244085365
anchor_blend_g0.00,111,1875,320,0.0006518733661622089
anchor_blend_g0.10,001,30,10,0.0002820356081651154
anchor_blend_g0.10,010,5,0,-0.012746018373449986
anchor_blend_g0.10,011,280,30,0.0004657086009323408
anchor_blend_g0.10,101,200,30,0.0007457385705886832
anchor_blend_g0.10,110,70,25,-0.004586350037526943
anchor_blend_g0.10,111,1875,320,0.00040660163025990625
anchor_blend_g0.25,001,30,10,-0.00012609264224641703
anchor_blend_g0.25,010,5,0,-0.011986920434174509
anchor_blend_g0.25,011,280,30,0.00024196553746355653
anchor_blend_g0.25,101,200,30,0.00038123671379985957
anchor_blend_g0.25,110,70,25,-0.004582053166544892
anchor_blend_g0.25,111,1875,320,0.00011225377993451247
anchor_blend_g0.50,001,30,10,-0.0006201859028227008
anchor_blend_g0.50,010,5,0,-0.009560687512282767
anchor_blend_g0.50,011,280,30,-4.150598822305618e-06
anchor_blend_g0.50,101,200,30,4.37513238096543e-05
anchor_blend_g0.50,110,70,25,-0.003834772413649601
anchor_blend_g0.50,111,1875,320,-0.00017729943172054008
anchor_blend_g0.75,001,30,10,-0.0006699119110559759
anchor_blend_g0.75,010,5,0,-0.005625888076470298
anchor_blend_g0.75,011,280,30,-8.820422798193339e-05
anchor_blend_g0.75,101,200,30,-5.563700674715566e-05
anchor_blend_g0.75,110,70,25,-0.0022248069289943773
anchor_blend_g0.75,111,1875,320,-0.00021341292141296986
anchor_blend_g1.00,001,30,10,0.0
anchor_blend_g1.00,010,5,0,3.469446951953614e-18
anchor_blend_g1.00,011,280,30,0.0
anchor_blend_g1.00,101,200,30,0.0
anchor_blend_g1.00,110,70,25,0.0
anchor_blend_g1.00,111,1875,320,2.7755575615628914e-17
