seed,outer_fold,alpha_brier,beta_brier
17,0,0.2711041292517146,1.1994468643010585
17,1,0.2912797284598643,1.1401766468568308
17,2,0.045251649919914164,0.9907392172710906
17,3,-0.11540632899869419,0.9011578835666724
17,4,0.3207412040073248,1.2271288662104956
29,0,-0.43215214005986646,0.75
29,1,-0.2474796427981074,0.8091312885756604
29,2,-0.5003716301382413,0.75
29,3,-0.3481268734351845,0.75
29,4,-0.36204420771212154,0.75
43,0,-0.26523993944955676,0.8317351829573855
43,1,-0.12515319948121678,0.8752870595177008
43,2,-0.04465343901089276,0.9689470899416688
43,3,-0.1449432322590532,0.8113630157150538
43,4,0.3044799190134152,1.1792715883554252
71,0,-0.38679851223395695,0.75
71,1,0.06554849320132548,1.0278869786817677
71,2,-0.2624877202143554,0.75
71,3,-0.07854611062570824,0.9392128376416595
71,4,0.12365424360475026,1.0390265135779408
101,0,-0.4083729770532845,0.75
101,1,-0.35625011604874846,0.75
101,2,-0.20042279761744589,0.8381434443971167
101,3,-0.344505335117911,0.8276088190548441
101,4,0.3360713551993233,1.2047552064355544
