candidate,pattern,n_evaluable,events_evaluable,delta_ipcw_brier
brier_full_shrinkage_g0.10,001,30,10,0.0005515461759223184
brier_full_shrinkage_g0.10,010,5,0,0.00048099435535115323
brier_full_shrinkage_g0.10,011,280,30,8.729404907374672e-05
brier_full_shrinkage_g0.10,101,200,30,-4.8316768239603514e-05
brier_full_shrinkage_g0.10,110,70,25,0.00029740541988257374
brier_full_shrinkage_g0.10,111,1875,320,6.987772043925977e-05
brier_full_shrinkage_g0.25,001,30,10,0.0013885431526937386
brier_full_shrinkage_g0.25,010,5,0,0.0012185288121260747
brier_full_shrinkage_g0.25,011,280,30,0.0002293400893079306
brier_full_shrinkage_g0.25,101,200,30,-0.00012315684300190366
brier_full_shrinkage_g0.25,110,70,25,0.0007581116266631993
brier_full_shrinkage_g0.25,111,1875,320,0.00018560914968973607
brier_full_shrinkage_g0.50,001,30,10,0.00280873703815826
brier_full_shrinkage_g0.50,010,5,0,0.002491893644666808
brier_full_shrinkage_g0.50,011,280,30,0.000496681680804828
brier_full_shrinkage_g0.50,101,200,30,-0.00025195476199968425
brier_full_shrinkage_g0.50,110,70,25,0.0015661268467821732
brier_full_shrinkage_g0.50,111,1875,320,0.0004081250847926543
brier_full_shrinkage_g0.75,001,30,10,0.004259493643496287
brier_full_shrinkage_g0.75,010,5,0,0.003822827038811951
brier_full_shrinkage_g0.75,011,280,30,0.0008039328239017596
brier_full_shrinkage_g0.75,101,200,30,-0.0003809593471158501
brier_full_shrinkage_g0.75,110,70,25,0.002426388978999272
brier_full_shrinkage_g0.75,111,1875,320,0.0006685769765650273
brier_full_shrinkage_g1.00,001,30,10,0.005739816885482862
brier_full_shrinkage_g1.00,010,5,0,0.00521438668042681
brier_full_shrinkage_g1.00,011,280,30,0.0011531053667785257
brier_full_shrinkage_g1.00,101,200,30,-0.0005028457214793502
brier_full_shrinkage_g1.00,110,70,25,0.003341228070704666
brier_full_shrinkage_g1.00,111,1875,320,0.0009680846533835774
