seed,outer_fold,alpha,beta,fit_objective_ipcw_brier,optimizer_success,optimizer_message,beta_min,beta_max,gamma,effective_slope
17,0,0.27155325974547717,1.1997535874903782,0.12333772299202675,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,1.0499383968725946
17,1,0.2917072858599978,1.140520188844975,0.12783202208154984,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,1.0351300472112437
17,2,0.0451388269931264,0.9906496672601091,0.1290182863297555,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9976624168150272
17,3,-0.11542917792902524,0.9011148571182388,0.12843849823846018,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9752787142795597
17,4,0.3216719177541106,1.2277254473805261,0.12115632875444192,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,1.0569313618451315
29,0,-0.4321636191612435,0.75,0.12937282047534338,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,0.9375
29,1,-0.24748811099335627,0.8091234478271144,0.12664404035301802,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9522808619567786
29,2,-0.5004919188559193,0.75,0.12877092849876692,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,0.9375
29,3,-0.3481242812954299,0.75,0.13072172648916494,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,0.9375
29,4,-0.3619664585028257,0.75,0.13489223217760454,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,0.9375
43,0,-0.2652614444753267,0.8317504631059007,0.1230210123321118,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9579376157764752
43,1,-0.12496795067875598,0.875365327463503,0.12423221051472677,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,0.9688413318658757
43,2,-0.04466997932877459,0.9689245467654868,0.12039417933219285,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9922311366913716
43,3,-0.14509197606542626,0.8112484274813411,0.1324975390625633,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9528121068703352
43,4,0.30455106546918337,1.1793670539134933,0.11638520671273785,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,1.0448417634783733
71,0,-0.38686209156239915,0.75,0.12456385813566107,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,0.9375
71,1,0.06567813959222549,1.0280512138784328,0.11714914545497052,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,1.0070128034696082
71,2,-0.26247621760747963,0.75,0.13175895671629836,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9375
71,3,-0.07847988792010294,0.9392629940733526,0.12261177758424185,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9848157485183382
71,4,0.12351884513521061,1.0389281025218753,0.12819453571431316,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,1.009732025630469
101,0,-0.4084450155088473,0.75,0.12739165791026458,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.75,1.25,0.25,0.9375
101,1,-0.3562445798393083,0.75,0.12986269733245975,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9375
101,2,-0.20042531198817756,0.8381408113922181,0.12808755988422033,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.9595352028480545
101,3,-0.344462032665174,0.827611022107932,0.12114223726678089,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,0.956902755526983
101,4,0.3359112821688833,1.2046553960549211,0.1247497594455384,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.75,1.25,0.25,1.0511638490137303
