candidate,beta,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable,coverage,rank_preservation_all_folds
fixed_beta_0.800,0.8,0.126636630558532,0.12672439457986487,8.776402133287009e-05,0.011680298694808466,-0.030638749420004108,0.01895845072519564,0.8258867071770277,0.9863527369745096,-0.16046602979748192,2460,415,1.0,True
fixed_beta_0.825,0.825,0.126636630558532,0.12674802270114702,0.00011139214261501884,0.011680298694808466,-0.027245524161874424,0.015565225467065957,0.8258867071770277,0.9570728118296173,-0.13118610465258962,2460,415,1.0,True
fixed_beta_0.850,0.85,0.126636630558532,0.12678139111279454,0.0001447605542625463,0.011680298694808466,-0.023689405330875712,0.012009106636067246,0.8258867071770277,0.9294689035186448,-0.10358219634161703,2460,415,1.0,True
fixed_beta_0.875,0.875,0.126636630558532,0.12682415277324458,0.00018752221471257657,0.011680298694808466,-0.01997290391101031,0.008292605216201843,0.8258867071770277,0.9034005975828325,-0.07751389040580481,2460,415,1.0,True
fixed_beta_0.900,0.9,0.126636630558532,0.12687597023525632,0.00023933967672432055,0.011680298694808466,-0.0160980191017982,0.0044177204069897336,0.8258867071770277,0.8787441880084442,-0.0528574808314165,2460,415,1.0,True
fixed_beta_0.925,0.925,0.126636630558532,0.12693651711328752,0.0002998865547555185,0.011680298694808466,-0.012066337992912624,0.00038603929810415716,0.8258867071770277,0.8553869454826246,-0.029500238305596893,2460,415,1.0,True
fixed_beta_0.950,0.95,0.126636630558532,0.1270054783288705,0.0003688477703384929,0.011680298694808466,-0.00787915498328029,-0.0038011437115281765,0.8258867071770277,0.8332284563137144,-0.007341749136686726,2460,415,1.0,True
fixed_beta_0.975,0.975,0.126636630558532,0.12708255021467757,0.0004459196561455714,0.011680298694808466,-0.0035375010480704905,-0.008142797646737976,0.8258867071770277,0.8121786480321507,0.01370805914487705,2460,415,1.0,True
fixed_beta_1.000,1.0,0.126636630558532,0.1271674406474236,0.000530810088891609,0.011680298694808466,0.0009577462637653245,-0.010722552431043142,0.8258867071770277,0.7921554976469888,0.03373120953003894,2460,415,1.0,True
fixed_beta_1.025,1.025,0.126636630558532,0.1272598686289442,0.000623238070412202,0.011680298694808466,0.0056058375801090465,-0.00607446111469942,0.8258867071770277,0.7730851972976029,0.05280150987942478,2460,415,1.0,True
