candidate,beta,alpha,fit_ipcw_brier,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
fixed_beta_0.800,0.8,-0.310745022307632,0.12402886649922396,17,0,True,0.1367038757967255,0.1365704743267237,-0.0001334014700017927,0.15681828933966824,0.14061185005166832,-0.01620643928799992,1.1784890950524873,1.4731116681160648,0.2946225730635774,96,18
fixed_beta_0.825,0.825,-0.2724444192694444,0.12394258038504753,17,0,True,0.1367038757967255,0.1365580804744998,-0.0001457953222256947,0.15681828933966824,0.14360266665417842,-0.013215622685489814,1.1784890950524873,1.4284717056764824,0.24998261062399507,96,18
fixed_beta_0.850,0.85,-0.23442033709613283,0.12386225314412014,17,0,True,0.1367038757967255,0.13655753561205375,-0.00014634018467174492,0.15681828933966824,0.14674652182861558,-0.010071767511052654,1.1784890950524873,1.3864577714629645,0.20796867641047712,96,18
fixed_beta_0.875,0.875,-0.19666715205039584,0.12378786290215782,17,0,True,0.1367038757967255,0.13656864372473254,-0.00013523207199295229,0.15681828933966824,0.15003916311986099,-0.006779126219807252,1.1784890950524873,1.3468447154250751,0.16835562037258778,96,18
fixed_beta_0.900,0.9,-0.1591794284440458,0.12371937955680788,17,0,True,0.1367038757967255,0.13659120026193047,-0.00011267553479502035,0.15681828933966824,0.15347653962509133,-0.0033417497145769026,1.1784890950524873,,,96,18
fixed_beta_0.925,0.925,-0.12195166271975341,0.12365676510721145,17,0,True,0.1367038757967255,0.13662499096376085,-7.888483296464299e-05,0.15681828933966824,0.15705454376183525,0.00023625442216701487,1.1784890950524873,1.2740423013293458,0.09555320627685848,96,18
fixed_beta_0.950,0.95,-0.08497836529582793,0.12359997400821968,17,0,True,0.1367038757967255,0.1366697932606523,-3.408253607320444e-05,0.15681828933966824,0.16076909083974666,0.003950801500078427,1.1784890950524873,1.2405149043101995,0.06202580925771217,96,18
fixed_beta_0.975,0.975,-0.04825421735864013,0.12354895354547679,17,0,True,0.1367038757967255,0.1367253782354345,2.1502438709020133e-05,0.15681828933966824,0.16461627363016806,0.0077979842904998264,1.1784890950524873,1.2087067984426239,0.03021770339013652,96,18
fixed_beta_1.000,1.0,-0.011773898694081464,0.12350364422760629,17,0,True,0.1367038757967255,0.13679151006185658,8.763426513108685e-05,0.15681828933966824,0.16859218803374965,0.011773898694081408,1.1784890950524873,1.1784891129072022,1.7854714817744366e-08,96,18
fixed_beta_1.025,1.025,0.024467802825511774,0.12346398019181193,17,0,True,0.1367038757967255,0.13686794757693413,0.00016407178020863555,0.15681828933966824,0.17269304047077572,0.01587475113110748,1.1784890950524873,1.1497455056783428,-0.028743589374144562,96,18
fixed_beta_0.800,0.8,-0.2207912618184879,0.12847588227899523,17,1,True,0.11663494349976604,0.11710601142426355,0.0004710679244975119,-0.18411882526466739,-0.27909772594173277,0.09497890067706538,0.7179363254886001,0.8974202597113057,-0.1794839342227056,95,14
