candidate,beta,alpha,seed,outer_fold,fit_ipcw_brier,effective_slope
fixed_beta_0.800,0.8,-0.310745022307632,17,0,0.12402886649922396,0.8
fixed_beta_0.825,0.825,-0.2724444192694444,17,0,0.12394258038504753,0.825
fixed_beta_0.850,0.85,-0.23442033709613283,17,0,0.12386225314412014,0.85
fixed_beta_0.875,0.875,-0.19666715205039584,17,0,0.12378786290215782,0.875
fixed_beta_0.900,0.9,-0.1591794284440458,17,0,0.12371937955680788,0.9
fixed_beta_0.925,0.925,-0.12195166271975341,17,0,0.12365676510721145,0.925
fixed_beta_0.950,0.95,-0.08497836529582793,17,0,0.12359997400821968,0.95
fixed_beta_0.975,0.975,-0.04825421735864013,17,0,0.12354895354547679,0.975
fixed_beta_1.000,1.0,-0.011773898694081464,17,0,0.12350364422760629,1.0
fixed_beta_1.025,1.025,0.024467802825511774,17,0,0.12346398019181193,1.025
fixed_beta_0.800,0.8,-0.2207912618184879,17,1,0.12847588227899523,0.8
fixed_beta_0.825,0.825,-0.18165490441376442,17,1,0.12838212938045268,0.825
fixed_beta_0.850,0.85,-0.14278145604669845,17,1,0.12829605132300909,0.85
fixed_beta_0.875,0.875,-0.10416452231149212,17,1,0.1282175909294554,0.875
fixed_beta_0.900,0.9,-0.06579780819933533,17,1,0.12814668151910458,0.9
fixed_beta_0.925,0.925,-0.027675122885915022,17,1,0.12808324741171864,0.925
fixed_beta_0.950,0.95,0.01020963383972523,17,1,0.1280272044515162,0.95
fixed_beta_0.975,0.975,0.04786236704236801,17,1,0.1279784605466608,0.975
fixed_beta_1.000,1.0,0.08528893233814587,17,1,0.12793691621976316,1.0
fixed_beta_1.025,1.025,0.12249500290465512,17,1,0.12790246516511083,1.025
fixed_beta_0.800,0.8,-0.2398095615637859,17,2,0.12923387870505065,0.8
fixed_beta_0.825,0.825,-0.20155253635675222,17,2,0.12918023104428705,0.825
fixed_beta_0.850,0.85,-0.16357727666541996,17,2,0.12913443032900473,0.85
fixed_beta_0.875,0.875,-0.12587696127190345,17,2,0.12909638674937776,0.875
fixed_beta_0.900,0.9,-0.0884447917129065,17,2,0.12906600144419278,0.9
fixed_beta_0.925,0.925,-0.051274103182844394,17,2,0.1290431670815597,0.925
fixed_beta_0.950,0.95,-0.014358297449775093,17,2,0.12902776845198263,0.95
fixed_beta_0.975,0.975,0.02230909928801966,17,2,0.12901968306927505,0.975
fixed_beta_1.000,1.0,0.05873443158642078,17,2,0.12901878177501772,1.0
fixed_beta_1.025,1.025,0.09492399565026509,17,2,0.1290249293425121,1.025
fixed_beta_0.800,0.8,-0.26638353703911916,17,3,0.1285007847490074,0.8
fixed_beta_0.825,0.825,-0.22860474525475233,17,3,0.12847364448232373,0.825
fixed_beta_0.850,0.85,-0.19112977923942903,17,3,0.12845427851460386,0.85
fixed_beta_0.875,0.875,-0.15395264088704427,17,3,0.12844259822167456,0.875
