candidate,beta,delta_ipcw_brier,worst_supported_pattern_regret,abs_citl_error_deterioration,abs_slope_error_deterioration,passes_brier_strict,passes_pattern,citl_improved,slope_improved,rank_preserved
fixed_beta_0.800,0.8,8.776402133287009e-05,0.007045406101555657,0.01895845072519564,-0.16046602979748192,True,False,False,True,True
fixed_beta_0.825,0.825,0.00011139214261501884,0.00638306815750328,0.015565225467065957,-0.13118610465258962,True,False,False,True,True
fixed_beta_0.850,0.85,0.0001447605542625463,0.005747181859585171,0.012009106636067246,-0.10358219634161703,True,False,False,True,True
fixed_beta_0.875,0.875,0.00018752221471257657,0.005137548040477696,0.008292605216201843,-0.07751389040580481,True,False,False,True,True
fixed_beta_0.900,0.9,0.00023933967672432055,0.004553981289478648,0.0044177204069897336,-0.0528574808314165,True,True,False,True,True
fixed_beta_0.925,0.925,0.0002998865547555185,0.003996312679629854,0.00038603929810415716,-0.029500238305596893,True,True,False,True,True
fixed_beta_0.950,0.95,0.0003688477703384929,0.0034643746507730944,-0.0038011437115281765,-0.007341749136686726,True,True,True,True,True
fixed_beta_0.975,0.975,0.0004459196561455714,0.002958005297820171,-0.008142797646737976,0.01370805914487705,True,True,True,False,True
fixed_beta_1.000,1.0,0.000530810088891609,0.002477039986206908,-0.010722552431043142,0.03373120953003894,False,True,True,False,True
fixed_beta_1.025,1.025,0.000623238070412202,0.0025999120772613737,-0.00607446111469942,0.05280150987942478,False,True,True,False,True
