candidate,beta,mode,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
beta_0.900_brier,0.9,brier,17,0,True,0.1367038757967255,0.13659120026193047,-0.00011267553479502035,0.15681828933966824,0.15347653962509133,-0.0033417497145769026,1.1784890950524873,,,96,18
beta_0.900_mix_25,0.9,mix_25,17,0,True,0.1367038757967255,0.13668013428752435,-2.374150920114726e-05,0.15681828933966824,0.16487766781580893,0.008059378476140688,1.1784890950524873,1.3094323904271414,0.1309432953746541,96,18
beta_0.900_mix_50,0.9,mix_50,17,0,True,0.1367038757967255,0.1367209989665051,1.712316977961481e-05,0.15681828933966824,0.1699628281413832,0.013144538801714956,1.1784890950524873,1.3094322787911816,0.1309431837386943,96,18
beta_0.900_mix_75,0.9,mix_75,17,0,True,0.1367038757967255,0.13674435896788567,4.048317116017719e-05,0.15681828933966824,0.1728297344162002,0.01601144507653196,1.1784890950524873,1.3094324018703882,0.1309433068179009,96,18
beta_0.900_logloss,0.9,logloss,17,0,True,0.1367038757967255,0.13675945578047988,5.5579983754383555e-05,0.15681828933966824,0.17466766816666907,0.017849378827000828,1.1784890950524873,1.3094324398338348,0.1309433447813475,96,18
beta_0.925_brier,0.925,brier,17,0,True,0.1367038757967255,0.13662499096376085,-7.888483296464299e-05,0.15681828933966824,0.15705454376183525,0.00023625442216701487,1.1784890950524873,1.2740423013293458,0.09555320627685848,96,18
beta_0.925_mix_25,0.925,mix_25,17,0,True,0.1367038757967255,0.13670029640527231,-3.5793914531789817e-06,0.15681828933966824,0.1667439610715694,0.009925671731901176,1.1784890950524873,1.274042251086429,0.09555315603394177,96,18
beta_0.925_mix_50,0.925,mix_50,17,0,True,0.1367038757967255,0.1367347199665373,3.08441698118056e-05,0.15681828933966824,0.17106253348146427,0.014244244141796036,1.1784890950524873,1.274042233965545,0.09555313891305772,96,18
beta_0.925_mix_75,0.925,mix_75,17,0,True,0.1367038757967255,0.13675436474383923,5.048894711373597e-05,0.15681828933966824,0.17349805201853064,0.016679762678862398,1.1784890950524873,1.2740422794714616,0.09555318441897431,96,18
beta_0.925_logloss,0.925,logloss,17,0,True,0.1367038757967255,0.1367670505719498,6.31747752243006e-05,0.15681828933966824,0.17506000165719438,0.018241712317526138,1.1784890950524873,1.2740421340554784,0.09555303900299106,96,18
beta_0.950_brier,0.95,brier,17,0,True,0.1367038757967255,0.1366697932606523,-3.408253607320444e-05,0.15681828933966824,0.16076909083974666,0.003950801500078427,1.1784890950524873,1.2405149043101995,0.06202580925771217,96,18
beta_0.950_mix_25,0.95,mix_25,17,0,True,0.1367038757967255,0.13673090008500605,2.70242882805527e-05,0.15681828933966824,0.16866396569765285,0.011845676357984614,1.1784890950524873,1.240514745130993,0.06202565007850569,96,18
beta_0.950_mix_50,0.95,mix_50,17,0,True,0.1367038757967255,0.13675867865301802,5.480285629252957e-05,0.15681828933966824,0.17217963509095446,0.015361345751286226,1.1784890950524873,1.2405149310063097,0.062025835953822384,96,18
beta_0.950_mix_75,0.95,mix_75,17,0,True,0.1367038757967255,0.13677450160199772,7.062580527222861e-05,0.15681828933966824,0.1741628673684124,0.017344578028744173,1.1784890950524873,1.2405146488365844,0.06202555378409702,96,18
beta_0.950_logloss,0.95,logloss,17,0,True,0.1367038757967255,0.13678471050990645,8.083471318096058e-05,0.15681828933966824,0.17543520569422644,0.0186169163545582,1.1784890950524873,,,96,18
beta_0.975_brier,0.975,brier,17,0,True,0.1367038757967255,0.1367253782354345,2.1502438709020133e-05,0.15681828933966824,0.16461627363016806,0.0077979842904998264,1.1784890950524873,1.2087067984426239,0.03021770339013652,96,18
beta_0.975_mix_25,0.975,mix_25,17,0,True,0.1367038757967255,0.1367717557586585,6.787996193299839e-05,0.15681828933966824,0.17063538977875298,0.01381710043908474,1.1784890950524873,1.2087067540927456,0.030217659040258305,96,18
beta_0.975_mix_50,0.975,mix_50,17,0,True,0.1367038757967255,0.13679271464987633,8.88388531508355e-05,0.15681828933966824,0.17331306954836923,0.016494780208700988,1.1784890950524873,1.2087067770771056,0.030217682024618275,96,18
beta_0.975_mix_75,0.975,mix_75,17,0,True,0.1367038757967255,0.1368046284392833,0.00010075264255779426,0.15681828933966824,0.17482387824301998,0.018005588903351744,1.1784890950524873,1.208706619471893,0.030217524419405617,96,18
beta_0.975_logloss,0.975,logloss,17,0,True,0.1367038757967255,0.13681230788687482,0.00010843209014932409,0.15681828933966824,0.17579348219915636,0.01897519285948812,1.1784890950524873,1.2087067592005742,0.03021766414808691,96,18
beta_0.900_brier,0.9,brier,17,1,True,0.11663494349976604,0.1172485409444323,0.0006135974446662557,-0.18411882526466739,-0.2752814232496327,0.09116259798496529,0.7179363254886001,0.7977067753521974,-0.07977044986359727,95,14
beta_0.900_mix_25,0.9,mix_25,17,1,True,0.11663494349976604,0.11702994497986939,0.0003950014801033519,-0.18411882526466739,-0.25507583738815776,0.07095701212349037,0.7179363254886001,0.797706613508634,-0.07977028802003394,95,14
beta_0.900_mix_50,0.9,mix_50,17,1,True,0.11663494349976604,0.11693542001591072,0.0003004765161446765,-0.18411882526466739,-0.2457497483620944,0.061630923097427015,0.7179363254886001,0.7977068297792952,-0.0797705042906951,95,14
beta_0.900_mix_75,0.9,mix_75,17,1,True,0.11663494349976604,0.11688318036725759,0.0002482368674915497,-0.18411882526466739,-0.2404205477089535,0.056301722444286106,0.7179363254886001,0.7977068322243844,-0.07977050673578434,95,14
beta_0.900_logloss,0.9,logloss,17,1,True,0.11663494349976604,0.11685013736392247,0.00021519386415642938,-0.18411882526466739,-0.23698039672982418,0.0528615714651568,0.7179363254886001,0.7977064188487182,-0.07977009336011809,95,14
beta_0.925_brier,0.925,brier,17,1,True,0.11663494349976604,0.11729582321659887,0.0006608797168328323,-0.18411882526466739,-0.27399275436872617,0.08987392910405878,0.7179363254886001,0.7761466476745454,-0.05821032218594535,95,14
beta_0.925_mix_25,0.925,mix_25,17,1,True,0.11663494349976604,0.11708977485078821,0.0004548313510221724,-0.18411882526466739,-0.2551616459982736,0.07104282073360624,0.7179363254886001,0.7761472060986063,-0.05821088061000623,95,14
beta_0.925_mix_50,0.925,mix_50,17,1,True,0.11663494349976604,0.1170003030054307,0.0003653595056646586,-0.18411882526466739,-0.24648019583044534,0.06236137056577795,0.7179363254886001,0.7761470804312467,-0.0582107549426466,95,14
beta_0.925_mix_75,0.925,mix_75,17,1,True,0.11663494349976604,0.11695071534707566,0.0003157718473096177,-0.18411882526466739,-0.24151941483778605,0.057400589573118665,0.7179363254886001,0.7761472574696369,-0.05821093198103677,95,14
beta_0.925_logloss,0.925,logloss,17,1,True,0.11663494349976604,0.11691928935482358,0.00028434585505754395,-0.18411882526466739,-0.23831657573541254,0.054197750470745154,0.7179363254886001,0.7761470103313186,-0.05821068484271852,95,14
beta_0.950_brier,0.95,brier,17,1,True,0.11663494349976604,0.11734765656978605,0.0007127130700200074,-0.18411882526466739,-0.2725809106120588,0.08846208534739142,0.7179363254886001,0.7557217955854733,-0.037785470096873164,95,14
beta_0.950_mix_25,0.95,mix_25,17,1,True,0.11663494349976604,0.11715528601704846,0.0005203425172824183,-0.18411882526466739,-0.2551961281375099,0.07107730287284253,0.7179363254886001,0.7557218567994357,-0.03778553131083562,95,14
beta_0.950_mix_50,0.95,mix_50,17,1,True,0.11663494349976604,0.1170714102106043,0.0004364667108382597,-0.18411882526466739,-0.24719219478527488,0.06307336952060749,0.7179363254886001,0.7557218771160455,-0.03778555162744546,95,14
beta_0.950_mix_75,0.95,mix_75,17,1,True,0.11663494349976604,0.11702479349978312,0.0003898500000170807,-0.18411882526466739,-0.2426189130483597,0.05850008778369231,0.7179363254886001,0.7557224256245103,-0.03778610013591022,95,14
beta_0.950_logloss,0.95,logloss,17,1,True,0.11663494349976604,0.1169951929987289,0.00036024949896286407,-0.18411882526466739,-0.23966578123301185,0.05554695596834447,0.7179363254886001,0.7557222857884095,-0.03778596029980941,95,14
beta_0.975_brier,0.975,brier,17,1,True,0.11663494349976604,0.11740397874153778,0.0007690352417717428,-0.18411882526466739,-0.2710509235259073,0.08693209826123993,0.7179363254886001,0.7363445780527168,-0.01840825256411671,95,14
beta_0.975_mix_25,0.975,mix_25,17,1,True,0.11663494349976604,0.11722642385084471,0.0005914803510786715,-0.18411882526466739,-0.2551825041293554,0.071063678864688,0.7179363254886001,0.7363448428616218,-0.018408517373021738,95,14
beta_0.975_mix_50,0.975,mix_50,17,1,True,0.11663494349976604,0.11714869644557335,0.0005137529458073137,-0.18411882526466739,-0.24788764790095663,0.06376882263628925,0.7179363254886001,0.736344916536306,-0.01840859104770587,95,14
beta_0.975_mix_75,0.975,mix_75,17,1,True,0.11663494349976604,0.1171053770483366,0.0004704335485705563,-0.18411882526466739,-0.2437200552321398,0.05960122996747241,0.7179363254886001,0.7363446928869201,-0.01840836739831997,95,14
beta_0.975_logloss,0.975,logloss,17,1,True,0.11663494349976604,0.1170778180704286,0.00044287457066255476,-0.18411882526466739,-0.2410285931595214,0.056909767894854024,0.7179363254886001,0.7363442492977942,-0.018407923809194093,95,14
beta_0.900_brier,0.9,brier,17,2,True,0.11454584388648568,0.11524755834080921,0.0007017144543235293,-0.14437696888776075,-0.21559704133320579,0.07122007244544504,1.5502376045105999,1.7224864502303212,0.17224884571972132,105,16
beta_0.900_mix_25,0.9,mix_25,17,2,True,0.11454584388648568,0.1152002629016826,0.0006544190151969165,-0.14437696888776075,-0.20689125924703355,0.0625142903592728,1.5502376045105999,1.7224865059562031,0.17224890144560323,105,16
beta_0.900_mix_50,0.9,mix_50,17,2,True,0.11454584388648568,0.1151799522291361,0.0006341083426504163,-0.14437696888776075,-0.202948711077388,0.05857174218962724,1.5502376045105999,1.7224857227744674,0.17224811826386754,105,16
beta_0.900_mix_75,0.9,mix_75,17,2,True,0.11454584388648568,0.11516870930171354,0.0006228654152278523,-0.14437696888776075,-0.20070703845244287,0.05633006956468212,1.5502376045105999,1.7224862661241316,0.1722486616135317,105,16
beta_0.900_logloss,0.9,logloss,17,2,True,0.11454584388648568,0.11516158017334936,0.0006157362868636773,-0.14437696888776075,-0.19926230195644212,0.054885333068681375,1.5502376045105999,1.7224864196987664,0.17224881518816648,105,16
beta_0.925_brier,0.925,brier,17,2,True,0.11454584388648568,0.11512487340451753,0.0005790295180318483,-0.14437696888776075,-0.2127285216373086,0.06835155274954785,1.5502376045105999,1.6759325098509528,0.12569490534035288,105,16
beta_0.925_mix_25,0.925,mix_25,17,2,True,0.11454584388648568,0.11508781031569579,0.0005419664292101029,-0.14437696888776075,-0.2058634059400163,0.06148643705225554,1.5502376045105999,1.6759325301348944,0.12569492562429452,105,16
beta_0.925_mix_50,0.925,mix_50,17,2,True,0.11454584388648568,0.11507174118912755,0.0005258973026418673,-0.14437696888776075,-0.20275992234465368,0.05838295345689293,1.5502376045105999,1.6759324570428613,0.12569485253226143,105,16
beta_0.925_mix_75,0.925,mix_75,17,2,True,0.11454584388648568,0.11506279539047091,0.0005169515039852302,-0.14437696888776075,-0.20099566159398796,0.056618692706227214,1.5502376045105999,1.6759323354350821,0.12569473092448225,105,16
beta_0.925_logloss,0.925,logloss,17,2,True,0.11454584388648568,0.11505710158551014,0.0005112576990244505,-0.14437696888776075,-0.19985846494531623,0.05548149605755548,1.5502376045105999,1.6759317028526988,0.12569409834209888,105,16
beta_0.950_brier,0.95,brier,17,2,True,0.11454584388648568,0.11500679545918094,0.00046095157269525344,-0.14437696888776075,-0.20968739714693618,0.06531042825917543,1.5502376045105999,1.6318290209945467,0.08159141648394685,105,16
beta_0.950_mix_25,0.95,mix_25,17,2,True,0.11454584388648568,0.11498026891996943,0.0004344250334837457,-0.14437696888776075,-0.20474313440635739,0.06036616551859664,1.5502376045105999,1.6318285089738438,0.08159090446324391,105,16
