candidate,beta,mode,alpha,fit_objective,seed,outer_fold
beta_0.900_brier,0.9,brier,-0.1591794284440458,0.12371937955680788,17,0
beta_0.900_mix_25,0.9,mix_25,-0.17058055663476326,0.19534109222508828,17,0
beta_0.900_mix_50,0.9,mix_50,-0.17566571696033775,0.26695941332035605,17,0
beta_0.900_mix_75,0.9,mix_75,-0.17853262323515465,0.33857655903173955,17,0
beta_0.900_logloss,0.9,logloss,-0.18037055698562351,0.4101931621174055,17,0
beta_0.925_brier,0.925,brier,-0.12195166271975341,0.12365676510721145,17,0
beta_0.925_mix_25,0.925,mix_25,-0.13164108002948754,0.195278384223574,17,0
beta_0.925_mix_50,0.925,mix_50,-0.13595965243938252,0.2668975621287821,17,0
beta_0.925_mix_75,0.925,mix_75,-0.1383951709764488,0.33851589369675955,17,0
beta_0.925_logloss,0.925,logloss,-0.13995712061511262,0.4101338342380287,17,0
beta_0.950_brier,0.95,brier,-0.08497836529582793,0.12359997400821968,17,0
beta_0.950_mix_25,0.95,mix_25,-0.09287324015373426,0.19522579848726526,17,0
beta_0.950_mix_50,0.95,mix_50,-0.09638890954703573,0.2668500083613068,17,0
beta_0.950_mix_75,0.95,mix_75,-0.09837214182449364,0.33847365834411985,17,0
beta_0.950_logloss,0.95,logloss,-0.09964448015030772,0.41009704945408254,17,0
beta_0.975_brier,0.975,brier,-0.04825421735864013,0.12354895354547679,17,0
beta_0.975_mix_25,0.975,mix_25,-0.05427333350722503,0.1951832902873355,17,0
beta_0.975_mix_50,0.975,mix_50,-0.05695101327684125,0.26681669231589583,17,0
beta_0.975_mix_75,0.975,mix_75,-0.058461821971492044,0.3384497701873945,17,0
beta_0.975_logloss,0.975,logloss,-0.059431425927628505,0.41008269807820186,17,0
beta_0.900_brier,0.9,brier,-0.06579780819933533,0.12814668151910458,17,1
beta_0.900_mix_25,0.9,mix_25,-0.08600339406081031,0.20070824085484132,17,1
beta_0.900_mix_50,0.9,mix_50,-0.09532948308687363,0.2732580693945981,17,1
beta_0.900_mix_75,0.9,mix_75,-0.10065868374001449,0.3458036900425486,17,1
beta_0.900_logloss,0.9,logloss,-0.10409883471914387,0.41834733966321647,17,1
beta_0.925_brier,0.925,brier,-0.027675122885915022,0.12808324741171864,17,1
beta_0.925_mix_25,0.925,mix_25,-0.046506231256367644,0.2006151708429206,17,1
beta_0.925_mix_50,0.925,mix_50,-0.05518768142419588,0.2731369485272126,17,1
beta_0.925_mix_75,0.925,mix_75,-0.06014846241685516,0.34565508824468033,17,1
beta_0.925_logloss,0.925,logloss,-0.0633513015192286,0.4181715233301168,17,1
beta_0.950_brier,0.95,brier,0.01020963383972523,0.1280272044515162,17,1
beta_0.950_mix_25,0.95,mix_25,-0.007175148634823706,0.20053383145616138,17,1
beta_0.950_mix_50,0.95,mix_50,-0.01517908198705874,0.2730318510126859,17,1
beta_0.950_mix_75,0.95,mix_75,-0.019752363723973803,0.34552678582130103,17,1
beta_0.950_logloss,0.95,logloss,-0.022705495539321725,0.4180202748302344,17,1
beta_0.975_brier,0.975,brier,0.04786236704236801,0.1279784605466608,17,1
beta_0.975_mix_25,0.975,mix_25,0.03199394764581609,0.2004641383523709,17,1
beta_0.975_mix_50,0.975,mix_50,0.024699091417417315,0.2729426799421114,17,1
beta_0.975_mix_75,0.975,mix_75,0.020531498748600493,0.34541866578322356,17,1
