candidate,pattern,n_evaluable,events_evaluable,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,supported_pattern
beta_0.900_brier,001,30,10,0.19954438702851302,0.20409836831799166,0.004553981289478648,True
beta_0.900_brier,010,5,0,0.027577543194694677,0.0286252257443279,0.001047682549633222,False
beta_0.900_brier,011,280,30,0.08313352759503974,0.08401938128473253,0.0008858536896927949,True
beta_0.900_brier,101,200,30,0.12907396054022355,0.12725191916679027,-0.0018220413734332808,True
beta_0.900_brier,110,70,25,0.24192502043811115,0.24333285807889657,0.0014078376407854198,True
beta_0.900_brier,111,1875,320,0.1284272379380475,0.1286746622445369,0.00024742430648941327,True
beta_0.900_logloss,001,30,10,0.19954438702851302,0.2037202063658618,0.004175819337348785,True
beta_0.900_logloss,010,5,0,0.027577543194694677,0.026900593059491273,-0.0006769501352034031,False
beta_0.900_logloss,011,280,30,0.08313352759503974,0.08386115703846396,0.0007276294434242214,True
beta_0.900_logloss,101,200,30,0.12907396054022355,0.12708954918228266,-0.0019844113579408906,True
beta_0.900_logloss,110,70,25,0.24192502043811115,0.24275648354277893,0.000831463104667779,True
beta_0.900_logloss,111,1875,320,0.1284272379380475,0.128631676305192,0.00020443836714451047,True
beta_0.900_mix_25,001,30,10,0.19954438702851302,0.20384845519394515,0.0043040681654321344,True
beta_0.900_mix_25,010,5,0,0.027577543194694677,0.02769748383597695,0.00011994064128227275,False
beta_0.900_mix_25,011,280,30,0.08313352759503974,0.08393225780300154,0.0007987302079617981,True
beta_0.900_mix_25,101,200,30,0.12907396054022355,0.12714998439042394,-0.001923976149799611,True
beta_0.900_mix_25,110,70,25,0.24192502043811115,0.2429852267273513,0.0010602062892401398,True
beta_0.900_mix_25,111,1875,320,0.1284272379380475,0.12864418277197967,0.00021694483393217,True
beta_0.900_mix_50,001,30,10,0.19954438702851302,0.20377497363468092,0.004230586606167902,True
beta_0.900_mix_50,010,5,0,0.027577543194694677,0.027282013045234227,-0.00029553014946044967,False
beta_0.900_mix_50,011,280,30,0.08313352759503974,0.08389474306444927,0.0007612154694095347,True
beta_0.900_mix_50,101,200,30,0.12907396054022355,0.12711621882837884,-0.001957741711844707,True
beta_0.900_mix_50,110,70,25,0.24192502043811115,0.24286123218576663,0.0009362117476554854,True
beta_0.900_mix_50,111,1875,320,0.1284272379380475,0.12863637363007188,0.00020913569202438143,True
beta_0.900_mix_75,001,30,10,0.19954438702851302,0.20374033139185024,0.004195944363337228,True
beta_0.900_mix_75,010,5,0,0.027577543194694677,0.02704907741615034,-0.0005284657785443354,False
beta_0.900_mix_75,011,280,30,0.08313352759503974,0.0838741279109511,0.0007406003159113606,True
beta_0.900_mix_75,101,200,30,0.12907396054022355,0.12709950767883896,-0.00197445286138459,True
beta_0.900_mix_75,110,70,25,0.24192502043811115,0.2427964580089656,0.0008714375708544497,True
beta_0.900_mix_75,111,1875,320,0.1284272379380475,0.12863324140953475,0.0002060034714872483,True
beta_0.925_brier,001,30,10,0.19954438702851302,0.20354069970814287,0.003996312679629854,True
beta_0.925_brier,010,5,0,0.027577543194694677,0.02876975651869777,0.0011922133240030927,False
beta_0.925_brier,011,280,30,0.08313352759503974,0.08386841397745673,0.000734886382416991,True
beta_0.925_brier,101,200,30,0.12907396054022355,0.12774904305280108,-0.0013249174874224723,True
beta_0.925_brier,110,70,25,0.24192502043811115,0.24352089664197796,0.0015958762038668084,True
beta_0.925_brier,111,1875,320,0.1284272379380475,0.12872478933023304,0.00029755139218554105,True
beta_0.925_logloss,001,30,10,0.19954438702851302,0.20288742272128715,0.003343035692774138,True
beta_0.925_logloss,010,5,0,0.027577543194694677,0.027159223431450403,-0.00041831976324427367,False
beta_0.925_logloss,011,280,30,0.08313352759503974,0.08374127581215828,0.0006077482171185367,True
beta_0.925_logloss,101,200,30,0.12907396054022355,0.12762691079629548,-0.0014470497439280638,True
beta_0.925_logloss,110,70,25,0.24192502043811115,0.24269282630807298,0.0007678058699618351,True
beta_0.925_logloss,111,1875,320,0.1284272379380475,0.12867412223858862,0.00024688430054112254,True
beta_0.925_mix_25,001,30,10,0.19954438702851302,0.20313738443005805,0.003592997401545034,True
beta_0.925_mix_25,010,5,0,0.027577543194694677,0.027903867430534378,0.0003263242358397013,False
beta_0.925_mix_25,011,280,30,0.08313352759503974,0.08379834263070564,0.0006648150356658999,True
beta_0.925_mix_25,101,200,30,0.12907396054022355,0.1276682722727295,-0.001405688267494043,True
beta_0.925_mix_25,110,70,25,0.24192502043811115,0.2430329255141291,0.001107905076017962,True
beta_0.925_mix_25,111,1875,320,0.1284272379380475,0.12869002480608407,0.00026278686803657414,True
beta_0.925_mix_50,001,30,10,0.19954438702851302,0.20300004652463674,0.0034556594961237252,True
beta_0.925_mix_50,010,5,0,0.027577543194694677,0.027515735783478955,-6.180741121572172e-05,False
beta_0.925_mix_50,011,280,30,0.08313352759503974,0.0837682195036761,0.0006346919086363673,True
beta_0.925_mix_50,101,200,30,0.12907396054022355,0.127644385573253,-0.0014295749669705482,True
beta_0.925_mix_50,110,70,25,0.24192502043811115,0.24285052696645895,0.0009255065283478026,True
beta_0.925_mix_50,111,1875,320,0.1284272379380475,0.12868046177699022,0.0002532238389427177,True
beta_0.925_mix_75,001,30,10,0.19954438702851302,0.20293004451676086,0.003385657488247845,True
beta_0.925_mix_75,010,5,0,0.027577543194694677,0.027298033385164046,-0.00027950980953063073,False
beta_0.925_mix_75,011,280,30,0.08313352759503974,0.08375167733547144,0.0006181497404317005,True
beta_0.925_mix_75,101,200,30,0.12907396054022355,0.12763327344067085,-0.0014406870995526955,True
beta_0.925_mix_75,110,70,25,0.24192502043811115,0.24275339568238644,0.0008283752442752867,True
beta_0.925_mix_75,111,1875,320,0.1284272379380475,0.12867633314059135,0.00024909520254384754,True
beta_0.950_brier,001,30,10,0.19954438702851302,0.2030087616792861,0.0034643746507730944,True
beta_0.950_brier,010,5,0,0.027577543194694677,0.028915671555073318,0.001338128360378641,False
beta_0.950_brier,011,280,30,0.08313352759503974,0.08372454399982611,0.0005910164047863709,True
beta_0.950_brier,101,200,30,0.12907396054022355,0.12824018370471243,-0.000833776835511113,True
beta_0.950_brier,110,70,25,0.24192502043811115,0.2437351725578424,0.001810152119731262,True
beta_0.950_brier,111,1875,320,0.1284272379380475,0.12878421883861987,0.0003569809005723734,True
beta_0.950_logloss,001,30,10,0.19954438702851302,0.2020711661832693,0.002526779154756298,True
beta_0.950_logloss,010,5,0,0.027577543194694677,0.027425094679128726,-0.00015244851556595052,False
beta_0.950_logloss,011,280,30,0.08313352759503974,0.0836285258361744,0.0004949982411346643,True
beta_0.950_logloss,101,200,30,0.12907396054022355,0.12815970059850001,-0.0009142599417235331,True
beta_0.950_logloss,110,70,25,0.24192502043811115,0.24265119054385284,0.0007261701057416914,True
beta_0.950_logloss,111,1875,320,0.1284272379380475,0.12872655564428673,0.00029931770623922715,True
beta_0.950_mix_25,001,30,10,0.19954438702851302,0.2024463479170625,0.002901960888549493,True
beta_0.950_mix_25,010,5,0,0.027577543194694677,0.028114718065956917,0.0005371748712622408,False
beta_0.950_mix_25,011,280,30,0.08313352759503974,0.08367142546440107,0.0005378978693613284,True
beta_0.950_mix_25,101,200,30,0.12907396054022355,0.12818122496699025,-0.0008927355732332998,True
beta_0.950_mix_25,110,70,25,0.24192502043811115,0.2431039301946938,0.0011789097565826634,True
beta_0.950_mix_25,111,1875,320,0.1284272379380475,0.12874538115696152,0.00031814321891401875,True
beta_0.950_mix_50,001,30,10,0.19954438702851302,0.20224325727734938,0.0026988702488363603,True
beta_0.950_mix_50,010,5,0,0.027577543194694677,0.02775533958847277,0.00017779639377809436,False
beta_0.950_mix_50,011,280,30,0.08313352759503974,0.0836487355271561,0.00051520793211636,True
beta_0.950_mix_50,101,200,30,0.12907396054022355,0.12816758611901474,-0.0009063744212088054,True
beta_0.950_mix_50,110,70,25,0.24192502043811115,0.2428623976690553,0.0009373772309441419,True
beta_0.950_mix_50,111,1875,320,0.1284272379380475,0.12873428207287252,0.0003070441348250186,True
beta_0.950_mix_75,001,30,10,0.19954438702851302,0.20213690514015087,0.0025925181116378537,True
beta_0.950_mix_75,010,5,0,0.027577543194694677,0.02755369146859759,-2.385172609708705e-05,False
beta_0.950_mix_75,011,280,30,0.08313352759503974,0.08363631557080323,0.0005027879757634884,True
beta_0.950_mix_75,101,200,30,0.12907396054022355,0.12816230655634253,-0.0009116539838810167,True
beta_0.950_mix_75,110,70,25,0.24192502043811115,0.2427325645424773,0.000807544104366148,True
beta_0.950_mix_75,111,1875,320,0.1284272379380475,0.12872930677585942,0.0003020688378119196,True
beta_0.975_brier,001,30,10,0.19954438702851302,0.20250239232633319,0.002958005297820171,True
beta_0.975_brier,010,5,0,0.027577543194694677,0.029062852475292795,0.0014853092805981183,False
beta_0.975_brier,011,280,30,0.08313352759503974,0.08358768656171865,0.00045415896667891364,True
beta_0.975_brier,101,200,30,0.12907396054022355,0.12872440281723954,-0.00034955772298400634,True
beta_0.975_brier,110,70,25,0.24192502043811115,0.2439746232216444,0.0020496027835332498,True
beta_0.975_brier,111,1875,320,0.1284272379380475,0.12885270626905448,0.000425468331006984,True
beta_0.975_logloss,001,30,10,0.19954438702851302,0.20127150284756692,0.0017271158190539093,True
beta_0.975_logloss,010,5,0,0.027577543194694677,0.027698127146158318,0.00012058395146364101,False
beta_0.975_logloss,011,280,30,0.08313352759503974,0.08352280862387093,0.00038928102883119264,True
beta_0.975_logloss,101,200,30,0.12907396054022355,0.12868672209503146,-0.0003872384451920896,True
beta_0.975_logloss,110,70,25,0.24192502043811115,0.24263091899910028,0.0007058985609891266,True
beta_0.975_logloss,111,1875,320,0.1284272379380475,0.12878881923360316,0.000361581295555663,True
beta_0.975_mix_25,001,30,10,0.19954438702851302,0.20177523795688518,0.0022308509283721634,True
beta_0.975_mix_25,010,5,0,0.027577543194694677,0.028329938583531694,0.0007523953888370176,False
beta_0.975_mix_25,011,280,30,0.08313352759503974,0.08355140342118533,0.0004178758261455945,True
beta_0.975_mix_25,101,200,30,0.12907396054022355,0.1286877697282836,-0.0003861908119399404,True
beta_0.975_mix_25,110,70,25,0.24192502043811115,0.24319734312191918,0.0012723226838080304,True
beta_0.975_mix_25,111,1875,320,0.1284272379380475,0.12881004060665868,0.00038280266861118184,True
beta_0.975_mix_50,001,30,10,0.19954438702851302,0.2015045792231221,0.0019601921946090783,True
beta_0.975_mix_50,010,5,0,0.027577543194694677,0.02800073364796904,0.00042319045327436286,False
beta_0.975_mix_50,011,280,30,0.08313352759503974,0.08353618836599858,0.00040266077095883757,True
beta_0.975_mix_50,101,200,30,0.12907396054022355,0.12868468347376308,-0.00038927706646046945,True
beta_0.975_mix_50,110,70,25,0.24192502043811115,0.24289606392653904,0.0009710434884278862,True
beta_0.975_mix_50,111,1875,320,0.1284272379380475,0.12879764848819225,0.00037041055014475077,True
beta_0.975_mix_75,001,30,10,0.19954438702851302,0.2013609408690824,0.0018165538405693904,True
beta_0.975_mix_75,010,5,0,0.027577543194694677,0.02781596687179788,0.00023842367710320486,False
beta_0.975_mix_75,011,280,30,0.08313352759503974,0.08352794240421971,0.00039441480917996874,True
beta_0.975_mix_75,101,200,30,0.12907396054022355,0.12868543344174918,-0.00038852709847436717,True
beta_0.975_mix_75,110,70,25,0.24192502043811115,0.24273325755530556,0.0008082371171944103,True
beta_0.975_mix_75,111,1875,320,0.1284272379380475,0.12879199314160827,0.00036475520356077373,True
