candidate,beta,mode,seed,outer_fold,alpha,fit_objective,effective_slope
beta_0.900_logloss,0.9,logloss,17,0,-0.18037055698562351,0.4101931621174055,0.9
beta_0.900_logloss,0.9,logloss,17,1,-0.10409883471914387,0.41834733966321647,0.9
beta_0.900_logloss,0.9,logloss,17,2,-0.10477953108967022,0.4216072847908501,0.9
beta_0.900_logloss,0.9,logloss,17,3,-0.11721169199606883,0.4208491052329235,0.9
beta_0.900_logloss,0.9,logloss,17,4,-0.21932137604297505,0.3993538442434928,0.9
beta_0.900_logloss,0.9,logloss,29,0,-0.17369991389451273,0.42195735528949385,0.9
beta_0.900_logloss,0.9,logloss,29,1,-0.12791160070919375,0.41328908818889537,0.9
beta_0.900_logloss,0.9,logloss,29,2,-0.21498495554972877,0.4238504826217652,0.9
beta_0.900_logloss,0.9,logloss,29,3,-0.11884947071405805,0.42282569290028227,0.9
beta_0.900_logloss,0.9,logloss,29,4,-0.1012311445097286,0.43737944605962387,0.9
beta_0.900_logloss,0.9,logloss,43,0,-0.15792063967271178,0.40540959380979047,0.9
beta_0.900_logloss,0.9,logloss,43,1,-0.11737742610151378,0.40370261410902036,0.9
beta_0.900_logloss,0.9,logloss,43,2,-0.15423231097344955,0.39804497669163186,0.9
beta_0.900_logloss,0.9,logloss,43,3,-0.01923903760867453,0.4276131369477245,0.9
beta_0.900_logloss,0.9,logloss,43,4,-0.1591388505499217,0.3847827162968134,0.9
beta_0.900_logloss,0.9,logloss,71,0,-0.17687956946311073,0.4085332567636411,0.9
beta_0.900_logloss,0.9,logloss,71,1,-0.17858921125601995,0.38562263591952484,0.9
beta_0.900_logloss,0.9,logloss,71,2,-0.05487521153605905,0.4247760806232711,0.9
beta_0.900_logloss,0.9,logloss,71,3,-0.17469232473258509,0.4021925238668447,0.9
beta_0.900_logloss,0.9,logloss,71,4,-0.10566088422245638,0.4169415519227308,0.9
beta_0.900_logloss,0.9,logloss,101,0,-0.19745728829409598,0.41752499785503155,0.9
beta_0.900_logloss,0.9,logloss,101,1,-0.13174807235982636,0.42422773089787086,0.9
beta_0.900_logloss,0.9,logloss,101,2,-0.11191376115168963,0.417060652729566,0.9
beta_0.900_logloss,0.9,logloss,101,3,-0.26194749179865384,0.40055098616462387,0.9
beta_0.900_logloss,0.9,logloss,101,4,-0.16171380831739732,0.4103304770591542,0.9
