seed,outer_fold,pattern,kind,alpha,beta,n,events
17,0,001,global,1.2901704286070261,1.5938769294357233,5,2
17,0,010,global,,,1,0
17,0,011,global,0.5655756875476937,1.3967574681662605,45,6
17,0,100,global,,,0,0
17,0,101,global,0.2694988082985668,1.1180954744976717,34,6
17,0,110,global,0.9133674315147814,0.763287073256922,11,5
17,0,111,pattern_slope,-0.35122664732622416,0.8445168573583881,300,46
17,1,001,global,37.860145500834875,27.262360773340685,3,1
17,1,010,global,,,1,0
17,1,011,global,0.7352040841357667,1.6059604404981755,45,5
17,1,101,global,0.3693294370132776,1.368867514705851,31,4
17,1,110,global,0.5585293604363308,0.7343945574858812,13,5
17,1,111,pattern_slope,-0.007301787430117683,0.9541127577683622,304,54
17,2,001,global,16.88043900169718,20.540168729162772,5,1
17,2,010,global,,,0,0
17,2,011,global,0.32902126365472445,1.2117899123506497,44,6
17,2,100,global,,,0,0
17,2,101,global,-2.0377049754176024,0.33808672641907966,27,2
17,2,110,global,3.6516987425810186,2.5119591648997015,9,3
17,2,111,pattern_slope,0.05160563603746494,0.9627741828547587,302,55
17,3,001,global,2.0360541499666995,2.468563798104975,6,2
17,3,010,global,,,1,0
17,3,011,global,-0.6037583255470498,0.874898741452996,49,5
17,3,100,global,,,0,0
17,3,101,global,-0.3101721760886015,0.7996822683267106,35,6
17,3,110,global,-0.25947143764631003,0.5356240735415985,11,3
17,3,111,pattern_slope,-0.23408212791705083,0.8072474552643397,291,51
17,4,001,global,1.7666047715097855,2.1862945362363506,5,2
17,4,010,global,,,1,0
17,4,011,global,-1.0256668981287178,1.117761675168279,41,2
17,4,100,global,,,0,0
17,4,101,global,-0.2438099552969059,0.8046264841968475,33,6
17,4,110,global,0.7029655671720421,1.0244754592545426,12,4
17,4,111,pattern_slope,0.5482751319252384,1.369520547737292,303,50
29,0,001,global,0.4762797595742827,0.8193079946851849,6,2
29,0,010,global,,,1,0
29,0,011,global,1.3323804622830078,2.2222213798737114,45,4
29,0,101,global,-1.1161446441151657,0.5405148133951813,28,4
29,0,110,global,-0.606280330174282,0.09097601774567558,12,4
29,0,111,pattern_slope,-0.8105629544635357,0.48530592810650736,301,51
29,1,001,global,227.13333811915837,136.07737513276524,5,2
29,1,010,global,,,0,0
29,1,011,global,-0.4921710275892325,1.0025521747951422,41,4
29,1,100,global,,,0,0
29,1,101,global,-0.6806127011910154,0.5215641855781635,32,6
29,1,110,global,3.4025120113258382,2.5849636684961412,8,3
29,1,111,pattern_slope,-0.2324804143619509,0.8418307036657054,311,52
29,2,001,global,-0.16451191928543032,0.4968904342890596,3,1
29,2,010,global,,,1,0
29,2,011,global,0.46849961234319787,1.5338006791013066,46,5
29,2,100,global,,,0,0
29,2,101,global,-1.6607824583446729,0.1940252852994966,31,4
29,2,110,global,-1.56614968716,-0.21874725649121649,11,3
29,2,111,pattern_slope,-0.7168058761740163,0.5468736470818082,294,50
29,3,001,global,0.47047168792952315,0.8162698851949541,6,2
29,3,010,global,,,1,0
29,3,011,global,1.9545881152284925,2.399846077002277,47,5
29,3,100,global,,,0,0
29,3,101,global,-1.4156924070024728,0.2428302450996999,34,5
29,3,110,global,-0.052382562934234364,0.20065849227033034,12,5
29,3,111,pattern_slope,-0.4740504811471438,0.6879580808507589,293,50
29,4,001,global,-1.6880255995648927,-0.3046369001788734,4,1
29,4,010,global,,,1,0
29,4,011,global,1.2174657376628468,1.7854908517321777,45,6
29,4,100,global,,,0,0
29,4,101,global,-1.4548293584134222,0.2617539021464236,35,5
29,4,110,global,-0.4249756744199267,0.0799530526470678,13,5
29,4,111,pattern_slope,-0.6310701879832769,0.5653549349157083,301,53
43,0,001,global,17.452196202902137,17.06379450557163,4,1
43,0,010,global,,,0,0
43,0,011,global,0.37378712703942907,1.8241401001705961,44,4
43,0,100,global,,,0,0
43,0,101,global,-0.7039854925256096,0.4550457001151711,31,6
43,0,110,global,0.0630156596024963,0.5224491948957635,12,4
43,0,111,pattern_slope,-0.29083428858451255,0.8031265578587392,303,50
43,1,001,global,83.57400051586816,60.09859911678633,6,2
43,1,010,global,,,1,0
43,1,011,global,-1.0272280833924379,0.7703777732468128,46,4
43,1,100,global,,,0,0
43,1,101,global,-0.8568981092578491,0.4842016557408975,36,6
43,1,110,global,0.6023856080901072,0.5825259642552341,11,5
43,1,111,pattern_slope,0.15247502761178464,1.0601896655535599,297,50
43,2,001,global,97.49002448250829,69.82839159819977,4,1
43,2,010,global,,,1,0
43,2,011,global,0.06685760186647213,1.4768161515041198,44,4
43,2,101,global,-0.11172984143365176,0.8691240837686314,32,5
43,2,110,global,1.1400784021497563,1.9230962370841718,10,2
43,2,111,pattern_slope,-0.17958868908014797,0.8499790907682282,299,52
43,3,001,global,81.23834824523605,55.86562904540202,5,2
43,3,010,global,,,1,0
43,3,011,global,1.3009636904409354,1.9490030010743404,47,6
43,3,100,global,,,0,0
43,3,101,global,-1.203840499072265,0.2554864295436478,30,5
43,3,110,global,1.0817588585116056,0.9664074494864077,10,4
43,3,111,pattern_slope,-0.22646082425799996,0.7806604104465873,299,54
43,4,001,global,92.44119167711693,66.48961123079684,5,2
43,4,010,global,,,1,0
43,4,011,global,0.7535925920547568,1.547065064149858,43,6
43,4,100,global,,,0,0
43,4,101,global,-0.6776439139564846,1.6288781253009574,31,2
43,4,110,global,2.9046007097893374,2.0483103966913507,13,5
43,4,111,pattern_slope,0.27472109554555546,1.1679882364952276,302,50
71,0,001,global,,,4,0
71,0,010,global,,,1,0
71,0,011,global,1.5186957707466673,2.1115339238446804,45,6
71,0,100,global,,,0,0
71,0,101,global,-1.386882820839403,0.2777880285152719,34,5
71,0,110,global,1.107069598865665,1.3490385791814938,13,4
71,0,111,pattern_slope,-0.33345572122223827,0.7771217866895203,297,50
71,1,001,global,,,2,2
71,1,010,global,,,0,0
