replicate,spec,threshold,delta_vs_v0,delta_vs_v1r
1,V0_reference,,0.0,0.0014568222309424839
1,raw_V1R_reference,,-0.0014568222309424839,0.0
1,patient_aggregated_core,0.4,-0.00012527304439308162,0.0013315491865494022
1,patient_aggregated_core,0.5,-0.00027891033085269967,0.0011779119000897842
1,patient_aggregated_core,0.6,-0.00018689492195339552,0.0012699273089890883
1,patient_aggregated_plus_prediction_instability,0.4,4.7102544924099154e-05,0.001503924775866583
1,patient_aggregated_plus_prediction_instability,0.5,-0.0004183654059709274,0.0010384568249715564
1,patient_aggregated_plus_prediction_instability,0.6,-0.00047131783079235046,0.0009855044001501334
2,V0_reference,,0.0,0.00277272806936002
2,raw_V1R_reference,,-0.00277272806936002,0.0
2,patient_aggregated_core,0.4,-0.0013598972666945264,0.0014128308026654934
2,patient_aggregated_core,0.5,-0.0015413194871257835,0.0012314085822342363
2,patient_aggregated_core,0.6,-0.0014699681665183845,0.0013027599028416353
2,patient_aggregated_plus_prediction_instability,0.4,-0.0012614379460997444,0.0015112901232602755
2,patient_aggregated_plus_prediction_instability,0.5,-0.0014803782381815206,0.0012923498311784992
2,patient_aggregated_plus_prediction_instability,0.6,-0.001520517408014524,0.0012522106613454959
3,V0_reference,,0.0,0.005026610206671486
3,raw_V1R_reference,,-0.005026610206671486,0.0
3,patient_aggregated_core,0.4,-0.0010911625136718062,0.00393544769299968
3,patient_aggregated_core,0.5,-0.0010186385217623994,0.004007971684909087
3,patient_aggregated_core,0.6,-0.0007291129273577779,0.004297497279313708
3,patient_aggregated_plus_prediction_instability,0.4,-0.0008271812705448189,0.004199428936126667
3,patient_aggregated_plus_prediction_instability,0.5,-0.0008635671546497747,0.0041630430520217115
3,patient_aggregated_plus_prediction_instability,0.6,-0.0009270771340412765,0.00409953307263021
4,V0_reference,,0.0,0.0013172367307955901
4,raw_V1R_reference,,-0.0013172367307955901,0.0
4,patient_aggregated_core,0.4,-0.0011581082314310598,0.00015912849936453033
4,patient_aggregated_core,0.5,-0.0010605172658349482,0.0002567194649606419
4,patient_aggregated_core,0.6,-0.00093295197180078,0.00038428475899481007
4,patient_aggregated_plus_prediction_instability,0.4,-0.0009676139926955291,0.00034962273810006106
4,patient_aggregated_plus_prediction_instability,0.5,-0.0010548686200276824,0.00026236811076790767
4,patient_aggregated_plus_prediction_instability,0.6,-0.0010432277182585992,0.00027400901253699095
5,V0_reference,,0.0,0.0029449097683601905
5,raw_V1R_reference,,-0.0029449097683601905,0.0
5,patient_aggregated_core,0.4,-0.0008462184423840002,0.0020986913259761902
5,patient_aggregated_core,0.5,-0.0007150975557106282,0.0022298122126495623
5,patient_aggregated_core,0.6,-0.0006660959996663968,0.0022788137686937937
5,patient_aggregated_plus_prediction_instability,0.4,-0.0006579092622508165,0.002287000506109374
5,patient_aggregated_plus_prediction_instability,0.5,-0.0006582168951590472,0.0022866928732011432
5,patient_aggregated_plus_prediction_instability,0.6,-0.0009469531446484603,0.0019979566237117302
6,V0_reference,,0.0,0.000528959720935418
6,raw_V1R_reference,,-0.000528959720935418,0.0
6,patient_aggregated_core,0.4,-0.00010084940515531216,0.00042811031578010583
6,patient_aggregated_core,0.5,-3.313758199485761e-05,0.0004958221389405604
6,patient_aggregated_core,0.6,6.400266928233145e-05,0.0005929623902177494
6,patient_aggregated_plus_prediction_instability,0.4,4.510233732593627e-05,0.0005740620582613543
6,patient_aggregated_plus_prediction_instability,0.5,-0.0002686953108303747,0.0002602644101050433
6,patient_aggregated_plus_prediction_instability,0.6,-0.0004290395018455295,9.992021908988846e-05
7,V0_reference,,0.0,0.0016161051835199558
7,raw_V1R_reference,,-0.0016161051835199558,0.0
7,patient_aggregated_core,0.4,0.00020892872224065329,0.001825033905760609
7,patient_aggregated_core,0.5,0.00015107465295757794,0.0017671798364775337
7,patient_aggregated_core,0.6,0.000230190379819889,0.0018462955633398448
7,patient_aggregated_plus_prediction_instability,0.4,0.0004026626836193259,0.0020187678671392817
7,patient_aggregated_plus_prediction_instability,0.5,0.0001091634030000177,0.0017252685865199735
7,patient_aggregated_plus_prediction_instability,0.6,-1.2292630280075212e-06,0.0016148759204919483
8,V0_reference,,0.0,-0.0034676337157168308
8,raw_V1R_reference,,0.0034676337157168308,0.0
8,patient_aggregated_core,0.4,-0.0004974395354554045,-0.003965073251172235
8,patient_aggregated_core,0.5,-0.0004381383267906408,-0.0039057720425074716
8,patient_aggregated_core,0.6,-0.00043816962999980447,-0.0039058033457166352
8,patient_aggregated_plus_prediction_instability,0.4,-0.00022815313151118566,-0.0036957868472280164
