study,flow_step,category,n
GSE41613,source_records,all,97
GSE41613,eligibility,eligible,97
GSE41613,analysis_split,sensitivity,97
GSE65858,source_records,all,270
GSE65858,eligibility,eligible,244
GSE65858,exclusion,distant_metastasis_present,6
GSE65858,exclusion,not_primary_tumor,16
GSE65858,exclusion,not_primary_tumor;distant_metastasis_present,1
GSE65858,exclusion,palliative_treatment,3
GSE65858,analysis_split,external_test,244
HANCOCK,source_records,all,763
HANCOCK,eligibility,eligible,763
HANCOCK,analysis_split,calibration,122
HANCOCK,analysis_split,sealed_test,152
HANCOCK,analysis_split,train,489
RADCURE,source_records,all,3346
RADCURE,eligibility,eligible,2144
RADCURE,exclusion,histology_not_normalized_exact_invasive_scc,498
RADCURE,exclusion,outside_primary_challenge_split,704
RADCURE,analysis_split,calibration,303
RADCURE,analysis_split,sealed_test,626
RADCURE,analysis_split,train,1215
TCGA-HNSC,source_records,all,520
TCGA-HNSC,eligibility,eligible,520
TCGA-HNSC,analysis_split,calibration,104
TCGA-HNSC,analysis_split,train,416
