reference_study,reference_split,comparison_study,comparison_split,variable,metric,value,reference_n,comparison_n,outcomes_used
RADCURE,train,RADCURE,calibration,age,standardized_mean_difference,0.018038497491677585,1215,303,False
RADCURE,train,RADCURE,calibration,age,missing_fraction_difference,0.0,1215,303,False
RADCURE,train,RADCURE,calibration,age_group,missing_fraction_difference,0.0,1215,303,False
RADCURE,train,RADCURE,calibration,sex,missing_fraction_difference,0.0,1215,303,False
RADCURE,train,RADCURE,calibration,site,missing_fraction_difference,0.0,1215,303,False
RADCURE,train,RADCURE,calibration,stage,missing_fraction_difference,0.0033003300330033004,1215,303,False
RADCURE,train,RADCURE,calibration,hpv,missing_fraction_difference,0.008678645642341998,1215,303,False
RADCURE,train,RADCURE,calibration,treatment,missing_fraction_difference,0.0,1215,303,False
RADCURE,train,RADCURE,calibration,smoking,missing_fraction_difference,0.0,1215,303,False
RADCURE,train,RADCURE,calibration,age_group,categorical_total_variation_distance,0.0,1215,303,False
RADCURE,train,RADCURE,calibration,sex,categorical_total_variation_distance,0.015295603634437507,1215,303,False
RADCURE,train,RADCURE,calibration,site,categorical_total_variation_distance,0.02040500346330929,1215,303,False
RADCURE,train,RADCURE,calibration,stage,categorical_total_variation_distance,0.04294503524426517,1215,303,False
RADCURE,train,RADCURE,calibration,hpv,categorical_total_variation_distance,0.026818237379293466,1215,303,False
RADCURE,train,RADCURE,calibration,treatment,categorical_total_variation_distance,0.03557837265208002,1215,303,False
RADCURE,train,RADCURE,calibration,smoking,categorical_total_variation_distance,0.030183759116652418,1215,303,False
RADCURE,train,RADCURE,sealed_test,age,standardized_mean_difference,-0.008603058441008747,1215,626,False
RADCURE,train,RADCURE,sealed_test,age,missing_fraction_difference,0.0,1215,626,False
RADCURE,train,RADCURE,sealed_test,age_group,missing_fraction_difference,0.0,1215,626,False
RADCURE,train,RADCURE,sealed_test,sex,missing_fraction_difference,0.0,1215,626,False
RADCURE,train,RADCURE,sealed_test,site,missing_fraction_difference,0.0,1215,626,False
RADCURE,train,RADCURE,sealed_test,stage,missing_fraction_difference,0.003194888178913738,1215,626,False
RADCURE,train,RADCURE,sealed_test,hpv,missing_fraction_difference,-0.22342523567230704,1215,626,False
RADCURE,train,RADCURE,sealed_test,treatment,missing_fraction_difference,0.0,1215,626,False
RADCURE,train,RADCURE,sealed_test,smoking,missing_fraction_difference,0.0,1215,626,False
RADCURE,train,RADCURE,sealed_test,age_group,categorical_total_variation_distance,0.0,1215,626,False
RADCURE,train,RADCURE,sealed_test,sex,categorical_total_variation_distance,0.006899906651415363,1215,626,False
RADCURE,train,RADCURE,sealed_test,site,categorical_total_variation_distance,0.17264360562195136,1215,626,False
RADCURE,train,RADCURE,sealed_test,stage,categorical_total_variation_distance,0.10221407065567518,1215,626,False
RADCURE,train,RADCURE,sealed_test,hpv,categorical_total_variation_distance,0.22342523567230704,1215,626,False
RADCURE,train,RADCURE,sealed_test,treatment,categorical_total_variation_distance,0.0913922086801036,1215,626,False
RADCURE,train,RADCURE,sealed_test,smoking,categorical_total_variation_distance,0.08874557908991702,1215,626,False
HANCOCK,train,HANCOCK,calibration,age,standardized_mean_difference,0.1440215154988251,489,122,False
HANCOCK,train,HANCOCK,calibration,age,missing_fraction_difference,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,age_group,missing_fraction_difference,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,sex,missing_fraction_difference,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,site,missing_fraction_difference,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,stage,missing_fraction_difference,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,hpv,missing_fraction_difference,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,treatment,missing_fraction_difference,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,smoking,missing_fraction_difference,0.0041402661839149806,489,122,False
HANCOCK,train,HANCOCK,calibration,age_group,categorical_total_variation_distance,0.0,489,122,False
HANCOCK,train,HANCOCK,calibration,sex,categorical_total_variation_distance,0.057779342250829716,489,122,False
HANCOCK,train,HANCOCK,calibration,site,categorical_total_variation_distance,0.12848234939153172,489,122,False
HANCOCK,train,HANCOCK,calibration,stage,categorical_total_variation_distance,0.2589091152904891,489,122,False
HANCOCK,train,HANCOCK,calibration,hpv,categorical_total_variation_distance,0.06590901471722145,489,122,False
HANCOCK,train,HANCOCK,calibration,treatment,categorical_total_variation_distance,0.021673539173287733,489,122,False
HANCOCK,train,HANCOCK,calibration,smoking,categorical_total_variation_distance,0.0507224513057763,489,122,False
HANCOCK,train,HANCOCK,sealed_test,age,standardized_mean_difference,0.020979973648000274,489,152,False
HANCOCK,train,HANCOCK,sealed_test,age,missing_fraction_difference,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,age_group,missing_fraction_difference,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,sex,missing_fraction_difference,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,site,missing_fraction_difference,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,stage,missing_fraction_difference,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,hpv,missing_fraction_difference,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,treatment,missing_fraction_difference,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,smoking,missing_fraction_difference,-0.0007130556452480917,489,152,False
HANCOCK,train,HANCOCK,sealed_test,age_group,categorical_total_variation_distance,0.0,489,152,False
HANCOCK,train,HANCOCK,sealed_test,sex,categorical_total_variation_distance,0.0515821762996448,489,152,False
HANCOCK,train,HANCOCK,sealed_test,site,categorical_total_variation_distance,0.051783984501130136,489,152,False
HANCOCK,train,HANCOCK,sealed_test,stage,categorical_total_variation_distance,0.24713432353890863,489,152,False
HANCOCK,train,HANCOCK,sealed_test,hpv,categorical_total_variation_distance,0.05350608115380473,489,152,False
HANCOCK,train,HANCOCK,sealed_test,treatment,categorical_total_variation_distance,0.06600473576579485,489,152,False
HANCOCK,train,HANCOCK,sealed_test,smoking,categorical_total_variation_distance,0.039339145409536105,489,152,False
TCGA-HNSC,train,TCGA-HNSC,calibration,age,standardized_mean_difference,-0.07135182046565972,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,age,missing_fraction_difference,-0.002403846153846154,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,age_group,missing_fraction_difference,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,sex,missing_fraction_difference,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,site,missing_fraction_difference,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,stage,missing_fraction_difference,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,hpv,missing_fraction_difference,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,treatment,missing_fraction_difference,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,smoking,missing_fraction_difference,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,age_group,categorical_total_variation_distance,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,sex,categorical_total_variation_distance,0.009615384615384637,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,site,categorical_total_variation_distance,0.14423076923076922,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,stage,categorical_total_variation_distance,0.05769230769230769,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,hpv,categorical_total_variation_distance,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,treatment,categorical_total_variation_distance,0.0,416,104,False
TCGA-HNSC,train,TCGA-HNSC,calibration,smoking,categorical_total_variation_distance,0.0,416,104,False
TCGA-HNSC,train,GSE65858,external_test,age,standardized_mean_difference,-0.13091140161042444,416,244,False
TCGA-HNSC,train,GSE65858,external_test,age,missing_fraction_difference,-0.002403846153846154,416,244,False
TCGA-HNSC,train,GSE65858,external_test,age_group,missing_fraction_difference,0.0,416,244,False
TCGA-HNSC,train,GSE65858,external_test,sex,missing_fraction_difference,0.0,416,244,False
TCGA-HNSC,train,GSE65858,external_test,site,missing_fraction_difference,0.012295081967213115,416,244,False
TCGA-HNSC,train,GSE65858,external_test,stage,missing_fraction_difference,0.0,416,244,False
TCGA-HNSC,train,GSE65858,external_test,hpv,missing_fraction_difference,-0.9221311475409836,416,244,False
TCGA-HNSC,train,GSE65858,external_test,treatment,missing_fraction_difference,0.0,416,244,False
TCGA-HNSC,train,GSE65858,external_test,smoking,missing_fraction_difference,-1.0,416,244,False
TCGA-HNSC,train,GSE65858,external_test,age_group,categorical_total_variation_distance,0.0,416,244,False
TCGA-HNSC,train,GSE65858,external_test,sex,categorical_total_variation_distance,1.0,416,244,False
