study,split_role,field,n,n_missing,missing_fraction
GSE41613,sensitivity,age,97,97,1.0
GSE41613,sensitivity,age_group,97,0,0.0
GSE41613,sensitivity,sex,97,0,0.0
GSE41613,sensitivity,site,97,0,0.0
GSE41613,sensitivity,stage,97,0,0.0
GSE41613,sensitivity,hpv,97,0,0.0
GSE41613,sensitivity,treatment,97,1,0.010309278350515464
GSE41613,sensitivity,smoking,97,97,1.0
GSE65858,external_test,age,244,0,0.0
GSE65858,external_test,age_group,244,244,1.0
GSE65858,external_test,sex,244,0,0.0
GSE65858,external_test,site,244,3,0.012295081967213115
GSE65858,external_test,stage,244,0,0.0
GSE65858,external_test,hpv,244,19,0.0778688524590164
GSE65858,external_test,treatment,244,0,0.0
GSE65858,external_test,smoking,244,0,0.0
HANCOCK,calibration,age,122,0,0.0
HANCOCK,calibration,age_group,122,122,1.0
HANCOCK,calibration,sex,122,0,0.0
HANCOCK,calibration,site,122,0,0.0
HANCOCK,calibration,stage,122,0,0.0
HANCOCK,calibration,hpv,122,0,0.0
HANCOCK,calibration,treatment,122,0,0.0
HANCOCK,calibration,smoking,122,3,0.02459016393442623
HANCOCK,sealed_test,age,152,0,0.0
HANCOCK,sealed_test,age_group,152,152,1.0
HANCOCK,sealed_test,sex,152,0,0.0
HANCOCK,sealed_test,site,152,0,0.0
HANCOCK,sealed_test,stage,152,0,0.0
HANCOCK,sealed_test,hpv,152,0,0.0
HANCOCK,sealed_test,treatment,152,0,0.0
HANCOCK,sealed_test,smoking,152,3,0.019736842105263157
HANCOCK,train,age,489,0,0.0
HANCOCK,train,age_group,489,489,1.0
HANCOCK,train,sex,489,0,0.0
HANCOCK,train,site,489,0,0.0
HANCOCK,train,stage,489,0,0.0
HANCOCK,train,hpv,489,0,0.0
HANCOCK,train,treatment,489,0,0.0
HANCOCK,train,smoking,489,10,0.02044989775051125
RADCURE,calibration,age,303,0,0.0
RADCURE,calibration,age_group,303,303,1.0
RADCURE,calibration,sex,303,0,0.0
RADCURE,calibration,site,303,0,0.0
RADCURE,calibration,stage,303,1,0.0033003300330033004
RADCURE,calibration,hpv,303,156,0.5148514851485149
RADCURE,calibration,treatment,303,0,0.0
RADCURE,calibration,smoking,303,0,0.0
RADCURE,sealed_test,age,626,0,0.0
RADCURE,sealed_test,age_group,626,626,1.0
RADCURE,sealed_test,sex,626,0,0.0
RADCURE,sealed_test,site,626,0,0.0
RADCURE,sealed_test,stage,626,2,0.003194888178913738
RADCURE,sealed_test,hpv,626,177,0.2827476038338658
RADCURE,sealed_test,treatment,626,0,0.0
RADCURE,sealed_test,smoking,626,0,0.0
RADCURE,train,age,1215,0,0.0
RADCURE,train,age_group,1215,1215,1.0
RADCURE,train,sex,1215,0,0.0
RADCURE,train,site,1215,0,0.0
RADCURE,train,stage,1215,0,0.0
RADCURE,train,hpv,1215,615,0.5061728395061729
RADCURE,train,treatment,1215,0,0.0
RADCURE,train,smoking,1215,0,0.0
TCGA-HNSC,calibration,age,104,0,0.0
TCGA-HNSC,calibration,age_group,104,104,1.0
TCGA-HNSC,calibration,sex,104,0,0.0
TCGA-HNSC,calibration,site,104,0,0.0
TCGA-HNSC,calibration,stage,104,0,0.0
TCGA-HNSC,calibration,hpv,104,104,1.0
TCGA-HNSC,calibration,treatment,104,0,0.0
TCGA-HNSC,calibration,smoking,104,104,1.0
TCGA-HNSC,train,age,416,1,0.002403846153846154
TCGA-HNSC,train,age_group,416,416,1.0
TCGA-HNSC,train,sex,416,0,0.0
TCGA-HNSC,train,site,416,0,0.0
TCGA-HNSC,train,stage,416,0,0.0
TCGA-HNSC,train,hpv,416,416,1.0
TCGA-HNSC,train,treatment,416,0,0.0
TCGA-HNSC,train,smoking,416,416,1.0
