study,split_role,variable,level,statistic,value,n_observed,n_missing,percent_observed
GSE41613,sensitivity,age,,not_available,,0,97,
GSE41613,sensitivity,age_group,19-39,count_percent_observed,6,97,0,6.185567010309279
GSE41613,sensitivity,age_group,40-49,count_percent_observed,16,97,0,16.49484536082474
GSE41613,sensitivity,age_group,50-59,count_percent_observed,28,97,0,28.8659793814433
GSE41613,sensitivity,age_group,60-88,count_percent_observed,47,97,0,48.45360824742268
GSE41613,sensitivity,sex,F,count_percent_observed,31,97,0,31.95876288659794
GSE41613,sensitivity,sex,M,count_percent_observed,66,97,0,68.04123711340206
GSE41613,sensitivity,site,Oral cavity,count_percent_observed,97,97,0,100.0
GSE41613,sensitivity,stage,I/II,count_percent_observed,41,97,0,42.2680412371134
GSE41613,sensitivity,stage,III/IV,count_percent_observed,56,97,0,57.7319587628866
GSE41613,sensitivity,hpv,negative,count_percent_observed,97,97,0,100.0
GSE41613,sensitivity,treatment,multii-modality,count_percent_observed,53,96,1,55.208333333333336
GSE41613,sensitivity,treatment,uni-modality,count_percent_observed,43,96,1,44.791666666666664
GSE65858,external_test,age,,mean,59.571313158514826,244,0,
GSE65858,external_test,age,,sd,10.020399757271665,244,0,
GSE65858,external_test,age,,median,58.11362080766595,244,0,
GSE65858,external_test,age,,q1,52.3258042436687,244,0,
GSE65858,external_test,age,,q3,68.24982888432584,244,0,
GSE65858,external_test,sex,F,count_percent_observed,41,244,0,16.80327868852459
GSE65858,external_test,sex,M,count_percent_observed,203,244,0,83.19672131147541
GSE65858,external_test,site,Cavum Oris,count_percent_observed,73,241,3,30.29045643153527
GSE65858,external_test,site,Hypopharynx,count_percent_observed,27,241,3,11.203319502074688
GSE65858,external_test,site,Larynx,count_percent_observed,42,241,3,17.42738589211618
GSE65858,external_test,site,Oropharynx,count_percent_observed,99,241,3,41.07883817427386
GSE65858,external_test,stage,I,count_percent_observed,15,244,0,6.147540983606557
GSE65858,external_test,stage,II,count_percent_observed,33,244,0,13.524590163934427
GSE65858,external_test,stage,III,count_percent_observed,33,244,0,13.524590163934427
GSE65858,external_test,stage,IVA,count_percent_observed,148,244,0,60.65573770491803
GSE65858,external_test,stage,IVB,count_percent_observed,15,244,0,6.147540983606557
GSE65858,external_test,hpv,DNA+RNA+,count_percent_observed,35,225,19,15.555555555555555
GSE65858,external_test,hpv,DNA+RNA-,count_percent_observed,19,225,19,8.444444444444445
GSE65858,external_test,hpv,DNA-,count_percent_observed,171,225,19,76.0
GSE65858,external_test,treatment,mono,count_percent_observed,74,244,0,30.327868852459016
GSE65858,external_test,treatment,multi,count_percent_observed,170,244,0,69.67213114754098
GSE65858,external_test,smoking,No,count_percent_observed,40,244,0,16.39344262295082
GSE65858,external_test,smoking,Yes,count_percent_observed,204,244,0,83.60655737704919
HANCOCK,calibration,age,,mean,62.31967213114754,122,0,
HANCOCK,calibration,age,,sd,9.487065046546205,122,0,
HANCOCK,calibration,age,,median,61.5,122,0,
HANCOCK,calibration,age,,q1,56.0,122,0,
HANCOCK,calibration,age,,q3,68.75,122,0,
HANCOCK,calibration,sex,female,count_percent_observed,31,122,0,25.40983606557377
HANCOCK,calibration,sex,male,count_percent_observed,91,122,0,74.59016393442623
HANCOCK,calibration,site,Hypopharynx,count_percent_observed,16,122,0,13.114754098360656
HANCOCK,calibration,site,Larynx,count_percent_observed,21,122,0,17.21311475409836
HANCOCK,calibration,site,Oral_Cavity,count_percent_observed,29,122,0,23.770491803278688
HANCOCK,calibration,site,Oropharynx,count_percent_observed,56,122,0,45.90163934426229
HANCOCK,calibration,stage,pT1/NX,count_percent_observed,12,122,0,9.836065573770492
HANCOCK,calibration,stage,pT1/pN0,count_percent_observed,6,122,0,4.918032786885246
HANCOCK,calibration,stage,pT1/pN1,count_percent_observed,9,122,0,7.377049180327869
HANCOCK,calibration,stage,pT1/pN2,count_percent_observed,4,122,0,3.278688524590164
HANCOCK,calibration,stage,pT1/pN2a,count_percent_observed,2,122,0,1.639344262295082
HANCOCK,calibration,stage,pT1/pN2b,count_percent_observed,3,122,0,2.459016393442623
HANCOCK,calibration,stage,pT1/pN2c,count_percent_observed,2,122,0,1.639344262295082
HANCOCK,calibration,stage,pT1/pN3,count_percent_observed,1,122,0,0.819672131147541
HANCOCK,calibration,stage,pT1/pN3b,count_percent_observed,2,122,0,1.639344262295082
HANCOCK,calibration,stage,pT1a/NX,count_percent_observed,1,122,0,0.819672131147541
HANCOCK,calibration,stage,pT2/NX,count_percent_observed,5,122,0,4.098360655737705
HANCOCK,calibration,stage,pT2/pN0,count_percent_observed,13,122,0,10.655737704918034
HANCOCK,calibration,stage,pT2/pN1,count_percent_observed,7,122,0,5.737704918032787
HANCOCK,calibration,stage,pT2/pN2,count_percent_observed,5,122,0,4.098360655737705
HANCOCK,calibration,stage,pT2/pN2a,count_percent_observed,2,122,0,1.639344262295082
HANCOCK,calibration,stage,pT2/pN2b,count_percent_observed,12,122,0,9.836065573770492
HANCOCK,calibration,stage,pT2/pN2c,count_percent_observed,3,122,0,2.459016393442623
HANCOCK,calibration,stage,pT2/pN3,count_percent_observed,1,122,0,0.819672131147541
HANCOCK,calibration,stage,pT2/pN3b,count_percent_observed,3,122,0,2.459016393442623
HANCOCK,calibration,stage,pT3/NX,count_percent_observed,4,122,0,3.278688524590164
HANCOCK,calibration,stage,pT3/pN0,count_percent_observed,2,122,0,1.639344262295082
HANCOCK,calibration,stage,pT3/pN1,count_percent_observed,3,122,0,2.459016393442623
HANCOCK,calibration,stage,pT3/pN2,count_percent_observed,1,122,0,0.819672131147541
HANCOCK,calibration,stage,pT3/pN2a,count_percent_observed,1,122,0,0.819672131147541
HANCOCK,calibration,stage,pT3/pN2b,count_percent_observed,3,122,0,2.459016393442623
HANCOCK,calibration,stage,pT3/pN2c,count_percent_observed,1,122,0,0.819672131147541
HANCOCK,calibration,stage,pT3/pN3b,count_percent_observed,2,122,0,1.639344262295082
HANCOCK,calibration,stage,pT4a/pN0,count_percent_observed,1,122,0,0.819672131147541
