study,model,seed,partition,threshold,net_benefit_model,net_benefit_all,net_benefit_none
RADCURE,B0,17,oof,0.05,0.16593645713446956,0.165936220030519,0.0
RADCURE,B0,17,oof,0.1,0.11959984391833232,0.11959934336554782,0.0
RADCURE,B0,17,oof,0.15,0.06781186444147308,0.06781106944587417,0.0
RADCURE,B0,17,oof,0.2,0.009550387530006421,0.009549261286241312,0.0
RADCURE,B0,17,oof,0.25,0.0,-0.056480787961342566,0.0
RADCURE,B0,17,oof,0.3,0.0,-0.1319437013871528,0.0
RADCURE,B0,17,oof,0.35,0.0,-0.21901629380154916,0.0
RADCURE,B0,17,oof,0.4,0.0,-0.3206009849516783,0.0
RADCURE,B0,17,oof,0.45,0.0,-0.4406556199472853,0.0
RADCURE,B0,17,oof,0.5,0.0,-0.584721181942014,0.0
RADCURE,B0,17,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B0,17,calibration,0.1,0.11658865889644177,0.11649571524746996,0.0
RADCURE,B0,17,calibration,0.15,0.06467249135157047,0.06452487496790937,0.0
RADCURE,B0,17,calibration,0.2,0.006266802863590271,0.0060576796534037025,0.0
RADCURE,B0,17,calibration,0.25,0.0,-0.060205141703036036,0.0
RADCURE,B0,17,calibration,0.3,0.0,-0.1359340803961101,0.0
RADCURE,B0,17,calibration,0.35,0.0,-0.22331362504196467,0.0
RADCURE,B0,17,calibration,0.4,0.0,-0.32525642712879516,0.0
RADCURE,B0,17,calibration,0.45,0.0,-0.4457342841405037,0.0
RADCURE,B0,17,calibration,0.5,0.0,-0.5903077125545542,0.0
RADCURE,B0,29,oof,0.05,0.16593645713446956,0.165936220030519,0.0
RADCURE,B0,29,oof,0.1,0.11959984391833232,0.11959934336554782,0.0
RADCURE,B0,29,oof,0.15,0.06781186444147308,0.06781106944587417,0.0
RADCURE,B0,29,oof,0.2,0.009550387530006421,0.009549261286241312,0.0
RADCURE,B0,29,oof,0.25,0.0,-0.056480787961342566,0.0
RADCURE,B0,29,oof,0.3,0.0,-0.1319437013871528,0.0
RADCURE,B0,29,oof,0.35,0.0,-0.21901629380154916,0.0
RADCURE,B0,29,oof,0.4,0.0,-0.3206009849516783,0.0
RADCURE,B0,29,oof,0.45,0.0,-0.4406556199472853,0.0
RADCURE,B0,29,oof,0.5,0.0,-0.584721181942014,0.0
RADCURE,B0,29,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B0,29,calibration,0.1,0.11658865889644177,0.11649571524746996,0.0
RADCURE,B0,29,calibration,0.15,0.06467249135157047,0.06452487496790937,0.0
RADCURE,B0,29,calibration,0.2,0.006266802863590271,0.0060576796534037025,0.0
RADCURE,B0,29,calibration,0.25,0.0,-0.060205141703036036,0.0
RADCURE,B0,29,calibration,0.3,0.0,-0.1359340803961101,0.0
RADCURE,B0,29,calibration,0.35,0.0,-0.22331362504196467,0.0
RADCURE,B0,29,calibration,0.4,0.0,-0.32525642712879516,0.0
RADCURE,B0,29,calibration,0.45,0.0,-0.4457342841405037,0.0
RADCURE,B0,29,calibration,0.5,0.0,-0.5903077125545542,0.0
RADCURE,B0,43,oof,0.05,0.16593645713446956,0.165936220030519,0.0
RADCURE,B0,43,oof,0.1,0.11959984391833232,0.11959934336554782,0.0
RADCURE,B0,43,oof,0.15,0.06781186444147308,0.06781106944587417,0.0
RADCURE,B0,43,oof,0.2,-0.0035720956068843734,0.009549261286241312,0.0
RADCURE,B0,43,oof,0.25,0.0,-0.056480787961342566,0.0
RADCURE,B0,43,oof,0.3,0.0,-0.1319437013871528,0.0
RADCURE,B0,43,oof,0.35,0.0,-0.21901629380154916,0.0
RADCURE,B0,43,oof,0.4,0.0,-0.3206009849516783,0.0
RADCURE,B0,43,oof,0.45,0.0,-0.4406556199472853,0.0
RADCURE,B0,43,oof,0.5,0.0,-0.584721181942014,0.0
RADCURE,B0,43,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B0,43,calibration,0.1,0.11658865889644177,0.11649571524746996,0.0
RADCURE,B0,43,calibration,0.15,0.06467249135157047,0.06452487496790937,0.0
