study,model,seed,status,reason
RADCURE,B4,,blocked,ORCESTRA RDS structure not validated; no radiomics or GTV modality exposed
RADCURE,B5,,blocked,ORCESTRA RDS structure not validated; no radiomics or GTV modality exposed
RADCURE,N0,,blocked,ORCESTRA RDS structure not validated; no radiomics or GTV modality exposed
RADCURE,B0,17,complete,
RADCURE,B0,29,complete,
RADCURE,B0,43,complete,
RADCURE,B0,71,complete,
RADCURE,B0,101,complete,
RADCURE,B1,17,complete,
RADCURE,B1,29,complete,
RADCURE,B1,43,complete,
RADCURE,B1,71,complete,
RADCURE,B1,101,complete,
RADCURE,B2,17,complete,
RADCURE,B2,29,complete,
RADCURE,B2,43,complete,
RADCURE,B2,71,complete,
RADCURE,B2,101,complete,
RADCURE,B3,17,complete,
RADCURE,B3,29,complete,
RADCURE,B3,43,complete,
RADCURE,B3,71,complete,
RADCURE,B3,101,complete,
RADCURE,M0,17,complete_with_warning,"all coefficients are zero, consider decreasing alpha."
RADCURE,M0,29,complete_with_warning,"all coefficients are zero, consider decreasing alpha."
RADCURE,M0,43,complete_with_warning,"all coefficients are zero, consider decreasing alpha."
RADCURE,M0,71,complete_with_warning,"all coefficients are zero, consider decreasing alpha."
RADCURE,M0,101,complete_with_warning,"all coefficients are zero, consider decreasing alpha."
HANCOCK,B0,17,complete,
HANCOCK,B0,29,complete,
HANCOCK,B0,43,complete,
HANCOCK,B0,71,complete,
HANCOCK,B0,101,complete,
HANCOCK,B1,17,complete,
HANCOCK,B1,29,complete,
HANCOCK,B1,43,complete,
HANCOCK,B1,71,complete,
HANCOCK,B1,101,complete,
HANCOCK,B2,17,complete,
HANCOCK,B2,29,complete,
HANCOCK,B2,43,complete,
HANCOCK,B2,71,complete,
HANCOCK,B2,101,complete,
HANCOCK,B3,17,complete,
HANCOCK,B3,29,complete,
HANCOCK,B3,43,complete,
HANCOCK,B3,71,complete,
HANCOCK,B3,101,complete,
HANCOCK,B4,17,complete,
HANCOCK,B4,29,complete,
HANCOCK,B4,43,complete,
HANCOCK,B4,71,complete,
HANCOCK,B4,101,complete,
HANCOCK,B5,17,complete,
HANCOCK,B5,29,complete,
HANCOCK,B5,43,complete,
HANCOCK,B5,71,complete,
HANCOCK,B5,101,complete,
HANCOCK,M0,17,complete,
HANCOCK,M0,29,complete,
HANCOCK,M0,43,complete,
HANCOCK,M0,71,complete,
HANCOCK,M0,101,complete,
HANCOCK,N0,17,complete,
HANCOCK,N0,29,complete,
HANCOCK,N0,43,complete,
HANCOCK,N0,71,complete,
HANCOCK,N0,101,complete,
TCGA-HNSC,B0,17,complete,
TCGA-HNSC,B0,29,complete,
TCGA-HNSC,B0,43,complete,
TCGA-HNSC,B0,71,complete,
TCGA-HNSC,B0,101,complete,
TCGA-HNSC,B1,17,complete,
TCGA-HNSC,B1,29,complete,
TCGA-HNSC,B1,43,complete,
TCGA-HNSC,B1,71,complete,
TCGA-HNSC,B1,101,complete,
TCGA-HNSC,B2,17,complete,
TCGA-HNSC,B2,29,complete,
TCGA-HNSC,B2,43,complete,
TCGA-HNSC,B2,71,complete,
TCGA-HNSC,B2,101,complete,
TCGA-HNSC,B3,17,complete,
TCGA-HNSC,B3,29,complete,
TCGA-HNSC,B3,43,complete,
TCGA-HNSC,B3,71,complete,
TCGA-HNSC,B3,101,complete,
TCGA-HNSC,B4,17,complete,
TCGA-HNSC,B4,29,complete,
TCGA-HNSC,B4,43,complete,
TCGA-HNSC,B4,71,complete,
TCGA-HNSC,B4,101,complete,
TCGA-HNSC,B5,17,complete,
TCGA-HNSC,B5,29,complete,
TCGA-HNSC,B5,43,complete,
TCGA-HNSC,B5,71,complete,
TCGA-HNSC,B5,101,complete,
TCGA-HNSC,M0,17,complete_with_warning,M0 reduced to the Kaplan-Meier baseline because no missingness indicator varied
TCGA-HNSC,M0,29,complete_with_warning,M0 reduced to the Kaplan-Meier baseline because no missingness indicator varied
TCGA-HNSC,M0,43,complete_with_warning,M0 reduced to the Kaplan-Meier baseline because no missingness indicator varied
TCGA-HNSC,M0,71,complete_with_warning,M0 reduced to the Kaplan-Meier baseline because no missingness indicator varied
TCGA-HNSC,M0,101,complete_with_warning,M0 reduced to the Kaplan-Meier baseline because no missingness indicator varied
TCGA-HNSC,N0,17,complete,
TCGA-HNSC,N0,29,complete,
TCGA-HNSC,N0,43,complete,
TCGA-HNSC,N0,71,complete,
TCGA-HNSC,N0,101,complete,
