study,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
RADCURE,B0,17,1215.0,526.0,1214.9945264553016,0.1647339279835152,0.4861021759061045,0.47067265706042977,0.46815953050784886,8.931225163188224e-06,-3.9679103483970146,0.20764133009395125
RADCURE,B0,29,1215.0,526.0,1214.9945264553016,0.16458049002073438,0.4929558206104731,0.4858427701137753,0.48296094580454185,-2.0790472572539934e-05,-4.00486800250022,0.20764379184634485
RADCURE,B0,43,1215.0,526.0,1214.9945264553016,0.16488625421713662,0.4812894939174604,0.4644284623062714,0.45946898830240257,-0.0001240306341011859,-3.8743961152924467,0.20764755338513885
RADCURE,B0,71,1215.0,526.0,1214.9945264553016,0.1646864247924812,0.49306902062930247,0.47596243357561646,0.47213434600470927,3.0194757406249415e-06,-3.991511193997943,0.20764408439582394
RADCURE,B0,101,1215.0,526.0,1214.9945264553016,0.1645606690964285,0.4950965338378393,0.48805581708490287,0.48714610390400326,-4.2249830027737136e-05,-4.191495130543976,0.2076429769715805
RADCURE,B1,17,1215.0,526.0,1214.9945264553016,0.1400284358833598,0.6914145070867695,0.7167994274915365,0.7375928439663917,0.008777983525845946,0.7653358377762746,0.20646274291891586
RADCURE,B1,29,1215.0,526.0,1214.9945264553016,0.13608080518312082,0.7126221383371477,0.7414570780048156,0.765991379221897,-0.018335638794848893,0.8361513306886064,0.20987264727836774
RADCURE,B1,43,1215.0,526.0,1214.9945264553016,0.14029733215182397,0.7306646522293679,0.7612425635639277,0.7859867187902891,-0.0010009483383560122,0.6288457017815051,0.20764108349998533
RADCURE,B1,71,1215.0,526.0,1214.9945264553016,0.1356599508821463,0.7114654807190106,0.7442756905136518,0.7680020789906693,0.01276968374993629,0.8212759276394679,0.20596577121761295
RADCURE,B1,101,1215.0,526.0,1214.9945264553016,0.14002133170608952,0.7159374418589012,0.7490641239333409,0.7729399384626527,0.004101282633071467,0.6027108075495717,0.20697127820265712
RADCURE,B2,17,1215.0,526.0,1214.9945264553016,0.14849581557562264,0.7039864339304167,0.7151053650668666,0.742787731519069,-0.014032127660366038,1.5086005892644547,0.20993982708335318
RADCURE,B2,29,1215.0,526.0,1214.9945264553016,0.14889839868756585,0.7039696220464322,0.7131346482629264,0.7404718727695407,-0.012880414377522404,1.5181626614134514,0.20978400497071797
RADCURE,B2,43,1215.0,526.0,1214.9945264553016,0.14837584781680918,0.7044896696576877,0.7154954599784262,0.7431182980415155,-0.021511976064498756,1.516522039648869,0.21105088861760027
RADCURE,B2,71,1215.0,526.0,1214.9945264553016,0.14852654974091709,0.7044325092521402,0.7130706016277997,0.74028241908567,-0.013522866546517662,1.5257223426665387,0.20983708495166734
RADCURE,B2,101,1215.0,526.0,1214.9945264553016,0.14793982080822182,0.7054995034890263,0.7162038339866568,0.7451359629582147,-0.019385957502596876,1.5533278888160293,0.2107390293639184
RADCURE,B3,17,1215.0,526.0,1214.9945264553016,0.13693532544748552,0.7401891449027489,0.7756015101014931,0.8027257400980967,0.007471196149734129,1.9153990223208388,0.20641104806521166
RADCURE,B3,29,1215.0,526.0,1214.9945264553016,0.13668559918116127,0.7426616126407435,0.7800986717964786,0.8072843721092351,0.00945178971895483,1.910329712576339,0.2061378849291118
RADCURE,B3,43,1215.0,526.0,1214.9945264553016,0.13668272469708664,0.7428969790165272,0.7791413833516446,0.8070776954371732,-0.007595860420003972,1.9051961286873749,0.20865169625196744
RADCURE,B3,71,1215.0,526.0,1214.9945264553016,0.13688694258021997,0.7435806622985656,0.7786674738985453,0.8057386325717657,0.015641216654006296,1.944324658219539,0.20515107898975582
RADCURE,B3,101,1215.0,526.0,1214.9945264553016,0.1364288001790964,0.742740068099338,0.7799379338404884,0.8085982843627129,0.002036491015792347,1.9483047772247561,0.20720666950238165
