study,partition,seed,profile,target_coverage,action,count,rate,non_abstention_coverage
HANCOCK,oof,17,80,0.8,AUGMENT,313,0.6400817995910021,0.8016359918200409
HANCOCK,oof,17,80,0.8,FALLBACK,79,0.16155419222903886,0.8016359918200409
HANCOCK,oof,17,80,0.8,ABSTAIN,97,0.1983640081799591,0.8016359918200409
HANCOCK,oof,17,90,0.9,AUGMENT,381,0.7791411042944786,0.8936605316973415
HANCOCK,oof,17,90,0.9,FALLBACK,56,0.11451942740286299,0.8936605316973415
HANCOCK,oof,17,90,0.9,ABSTAIN,52,0.10633946830265849,0.8936605316973415
HANCOCK,calibration,17,80,0.8,AUGMENT,79,0.6475409836065574,0.8032786885245902
HANCOCK,calibration,17,80,0.8,FALLBACK,19,0.1557377049180328,0.8032786885245902
HANCOCK,calibration,17,80,0.8,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,calibration,17,90,0.9,AUGMENT,100,0.819672131147541,0.9016393442622951
HANCOCK,calibration,17,90,0.9,FALLBACK,10,0.08196721311475409,0.9016393442622951
HANCOCK,calibration,17,90,0.9,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,oof,29,80,0.8,AUGMENT,308,0.6298568507157464,0.8220858895705522
HANCOCK,oof,29,80,0.8,FALLBACK,94,0.19222903885480572,0.8220858895705522
HANCOCK,oof,29,80,0.8,ABSTAIN,87,0.17791411042944785,0.8220858895705522
HANCOCK,oof,29,90,0.9,AUGMENT,389,0.7955010224948875,0.8895705521472392
HANCOCK,oof,29,90,0.9,FALLBACK,46,0.09406952965235174,0.8895705521472392
HANCOCK,oof,29,90,0.9,ABSTAIN,54,0.11042944785276074,0.8895705521472392
HANCOCK,calibration,29,80,0.8,AUGMENT,79,0.6475409836065574,0.8032786885245902
HANCOCK,calibration,29,80,0.8,FALLBACK,19,0.1557377049180328,0.8032786885245902
HANCOCK,calibration,29,80,0.8,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,calibration,29,90,0.9,AUGMENT,100,0.819672131147541,0.9016393442622951
HANCOCK,calibration,29,90,0.9,FALLBACK,10,0.08196721311475409,0.9016393442622951
HANCOCK,calibration,29,90,0.9,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,oof,43,80,0.8,AUGMENT,317,0.6482617586912065,0.8098159509202454
HANCOCK,oof,43,80,0.8,FALLBACK,79,0.16155419222903886,0.8098159509202454
HANCOCK,oof,43,80,0.8,ABSTAIN,93,0.1901840490797546,0.8098159509202454
HANCOCK,oof,43,90,0.9,AUGMENT,381,0.7791411042944786,0.901840490797546
HANCOCK,oof,43,90,0.9,FALLBACK,60,0.12269938650306748,0.901840490797546
HANCOCK,oof,43,90,0.9,ABSTAIN,48,0.09815950920245399,0.901840490797546
HANCOCK,calibration,43,80,0.8,AUGMENT,80,0.6557377049180327,0.8032786885245902
HANCOCK,calibration,43,80,0.8,FALLBACK,18,0.14754098360655737,0.8032786885245902
HANCOCK,calibration,43,80,0.8,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,calibration,43,90,0.9,AUGMENT,100,0.819672131147541,0.9016393442622951
HANCOCK,calibration,43,90,0.9,FALLBACK,10,0.08196721311475409,0.9016393442622951
HANCOCK,calibration,43,90,0.9,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,oof,71,80,0.8,AUGMENT,324,0.6625766871165644,0.8179959100204499
HANCOCK,oof,71,80,0.8,FALLBACK,76,0.1554192229038855,0.8179959100204499
HANCOCK,oof,71,80,0.8,ABSTAIN,89,0.18200408997955012,0.8179959100204499
HANCOCK,oof,71,90,0.9,AUGMENT,386,0.7893660531697342,0.8650306748466258
HANCOCK,oof,71,90,0.9,FALLBACK,37,0.07566462167689161,0.8650306748466258
HANCOCK,oof,71,90,0.9,ABSTAIN,66,0.13496932515337423,0.8650306748466258
HANCOCK,calibration,71,80,0.8,AUGMENT,79,0.6475409836065574,0.8032786885245902
HANCOCK,calibration,71,80,0.8,FALLBACK,19,0.1557377049180328,0.8032786885245902
HANCOCK,calibration,71,80,0.8,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,calibration,71,90,0.9,AUGMENT,101,0.8278688524590164,0.9016393442622951
HANCOCK,calibration,71,90,0.9,FALLBACK,9,0.07377049180327869,0.9016393442622951
HANCOCK,calibration,71,90,0.9,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,oof,101,80,0.8,AUGMENT,319,0.6523517382413088,0.7750511247443763
HANCOCK,oof,101,80,0.8,FALLBACK,60,0.12269938650306748,0.7750511247443763
HANCOCK,oof,101,80,0.8,ABSTAIN,110,0.2249488752556237,0.7750511247443763
HANCOCK,oof,101,90,0.9,AUGMENT,381,0.7791411042944786,0.8670756646216768
HANCOCK,oof,101,90,0.9,FALLBACK,43,0.08793456032719836,0.8670756646216768
HANCOCK,oof,101,90,0.9,ABSTAIN,65,0.1329243353783231,0.8670756646216768
HANCOCK,calibration,101,80,0.8,AUGMENT,79,0.6475409836065574,0.8032786885245902
HANCOCK,calibration,101,80,0.8,FALLBACK,19,0.1557377049180328,0.8032786885245902
HANCOCK,calibration,101,80,0.8,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,calibration,101,90,0.9,AUGMENT,100,0.819672131147541,0.9016393442622951
HANCOCK,calibration,101,90,0.9,FALLBACK,10,0.08196721311475409,0.9016393442622951
HANCOCK,calibration,101,90,0.9,ABSTAIN,12,0.09836065573770492,0.9016393442622951
TCGA-HNSC,oof,17,80,0.8,AUGMENT,247,0.5951807228915663,0.7493975903614458
TCGA-HNSC,oof,17,80,0.8,FALLBACK,64,0.15421686746987953,0.7493975903614458
TCGA-HNSC,oof,17,80,0.8,ABSTAIN,104,0.25060240963855424,0.7493975903614458
TCGA-HNSC,oof,17,90,0.9,AUGMENT,292,0.7036144578313253,0.8072289156626506
TCGA-HNSC,oof,17,90,0.9,FALLBACK,43,0.10361445783132531,0.8072289156626506
TCGA-HNSC,oof,17,90,0.9,ABSTAIN,80,0.1927710843373494,0.8072289156626506
TCGA-HNSC,calibration,17,80,0.8,AUGMENT,69,0.6634615384615384,0.8173076923076923
TCGA-HNSC,calibration,17,80,0.8,FALLBACK,16,0.15384615384615385,0.8173076923076923
TCGA-HNSC,calibration,17,80,0.8,ABSTAIN,19,0.18269230769230768,0.8173076923076923
TCGA-HNSC,calibration,17,90,0.9,AUGMENT,85,0.8173076923076923,0.9038461538461539
TCGA-HNSC,calibration,17,90,0.9,FALLBACK,9,0.08653846153846154,0.9038461538461539
TCGA-HNSC,calibration,17,90,0.9,ABSTAIN,10,0.09615384615384616,0.9038461538461539
TCGA-HNSC,oof,29,80,0.8,AUGMENT,185,0.4457831325301205,0.7180722891566265
TCGA-HNSC,oof,29,80,0.8,FALLBACK,113,0.27228915662650605,0.7180722891566265
TCGA-HNSC,oof,29,80,0.8,ABSTAIN,117,0.2819277108433735,0.7180722891566265
TCGA-HNSC,oof,29,90,0.9,AUGMENT,269,0.6481927710843374,0.7903614457831325
TCGA-HNSC,oof,29,90,0.9,FALLBACK,59,0.14216867469879518,0.7903614457831325
TCGA-HNSC,oof,29,90,0.9,ABSTAIN,87,0.20963855421686747,0.7903614457831325
TCGA-HNSC,calibration,29,80,0.8,AUGMENT,68,0.6538461538461539,0.8076923076923077
TCGA-HNSC,calibration,29,80,0.8,FALLBACK,16,0.15384615384615385,0.8076923076923077
TCGA-HNSC,calibration,29,80,0.8,ABSTAIN,20,0.19230769230769232,0.8076923076923077
TCGA-HNSC,calibration,29,90,0.9,AUGMENT,85,0.8173076923076923,0.9038461538461539
TCGA-HNSC,calibration,29,90,0.9,FALLBACK,9,0.08653846153846154,0.9038461538461539
TCGA-HNSC,calibration,29,90,0.9,ABSTAIN,10,0.09615384615384616,0.9038461538461539
TCGA-HNSC,oof,43,80,0.8,AUGMENT,233,0.5614457831325301,0.8096385542168675
TCGA-HNSC,oof,43,80,0.8,FALLBACK,103,0.24819277108433735,0.8096385542168675
TCGA-HNSC,oof,43,80,0.8,ABSTAIN,79,0.19036144578313252,0.8096385542168675
TCGA-HNSC,oof,43,90,0.9,AUGMENT,318,0.7662650602409639,0.908433734939759
TCGA-HNSC,oof,43,90,0.9,FALLBACK,59,0.14216867469879518,0.908433734939759
TCGA-HNSC,oof,43,90,0.9,ABSTAIN,38,0.09156626506024096,0.908433734939759
TCGA-HNSC,calibration,43,80,0.8,AUGMENT,68,0.6538461538461539,0.8076923076923077
TCGA-HNSC,calibration,43,80,0.8,FALLBACK,16,0.15384615384615385,0.8076923076923077
TCGA-HNSC,calibration,43,80,0.8,ABSTAIN,20,0.19230769230769232,0.8076923076923077
TCGA-HNSC,calibration,43,90,0.9,AUGMENT,85,0.8173076923076923,0.9038461538461539
TCGA-HNSC,calibration,43,90,0.9,FALLBACK,9,0.08653846153846154,0.9038461538461539
TCGA-HNSC,calibration,43,90,0.9,ABSTAIN,10,0.09615384615384616,0.9038461538461539
TCGA-HNSC,oof,71,80,0.8,AUGMENT,244,0.5879518072289157,0.7975903614457831
TCGA-HNSC,oof,71,80,0.8,FALLBACK,87,0.20963855421686747,0.7975903614457831
TCGA-HNSC,oof,71,80,0.8,ABSTAIN,84,0.20240963855421687,0.7975903614457831
TCGA-HNSC,oof,71,90,0.9,AUGMENT,302,0.727710843373494,0.8891566265060241
TCGA-HNSC,oof,71,90,0.9,FALLBACK,67,0.1614457831325301,0.8891566265060241
TCGA-HNSC,oof,71,90,0.9,ABSTAIN,46,0.1108433734939759,0.8891566265060241
TCGA-HNSC,calibration,71,80,0.8,AUGMENT,69,0.6634615384615384,0.8076923076923077
TCGA-HNSC,calibration,71,80,0.8,FALLBACK,15,0.14423076923076922,0.8076923076923077
TCGA-HNSC,calibration,71,80,0.8,ABSTAIN,20,0.19230769230769232,0.8076923076923077
TCGA-HNSC,calibration,71,90,0.9,AUGMENT,85,0.8173076923076923,0.9038461538461539
TCGA-HNSC,calibration,71,90,0.9,FALLBACK,9,0.08653846153846154,0.9038461538461539
TCGA-HNSC,calibration,71,90,0.9,ABSTAIN,10,0.09615384615384616,0.9038461538461539
TCGA-HNSC,oof,101,80,0.8,AUGMENT,286,0.689156626506024,0.8867469879518072
TCGA-HNSC,oof,101,80,0.8,FALLBACK,82,0.19759036144578312,0.8867469879518072
TCGA-HNSC,oof,101,80,0.8,ABSTAIN,47,0.11325301204819277,0.8867469879518072
TCGA-HNSC,oof,101,90,0.9,AUGMENT,333,0.8024096385542169,0.9108433734939759
TCGA-HNSC,oof,101,90,0.9,FALLBACK,45,0.10843373493975904,0.9108433734939759
TCGA-HNSC,oof,101,90,0.9,ABSTAIN,37,0.0891566265060241,0.9108433734939759
TCGA-HNSC,calibration,101,80,0.8,AUGMENT,68,0.6538461538461539,0.8076923076923077
TCGA-HNSC,calibration,101,80,0.8,FALLBACK,16,0.15384615384615385,0.8076923076923077
TCGA-HNSC,calibration,101,80,0.8,ABSTAIN,20,0.19230769230769232,0.8076923076923077
TCGA-HNSC,calibration,101,90,0.9,AUGMENT,85,0.8173076923076923,0.9038461538461539
TCGA-HNSC,calibration,101,90,0.9,FALLBACK,9,0.08653846153846154,0.9038461538461539
TCGA-HNSC,calibration,101,90,0.9,ABSTAIN,10,0.09615384615384616,0.9038461538461539
