study,partition,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,profile,target_coverage,observed_coverage,augmentation_rate,fallback_rate,abstention_rate
HANCOCK,oof,B7-80,17,392.0,94.0,398.3602967396422,0.08433331867028222,0.6380092614247627,0.69317544579612,0.7081287287388343,-0.19794443787212077,1.8036186688351377,0.11391379588362667,80,0.8,0.8016359918200409,0.6400817995910021,0.16155419222903886,0.1983640081799591
HANCOCK,oof,B7-90,17,437.0,108.0,439.76294327921175,0.09292046963046442,0.6123881574161635,0.6265958570604504,0.6409706104827733,-0.14081736090700697,0.9564467041862356,0.11941950622234024,90,0.9,0.8936605316973415,0.7791411042944786,0.11451942740286299,0.10633946830265849
HANCOCK,calibration,B7-80,17,98.0,29.0,100.11459802240468,0.11490674209728637,0.619781631342325,0.6862832618108644,0.6897013880613992,0.10770280899354584,1.665791420616925,0.12290641965333667,80,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983
HANCOCK,calibration,B7-90,17,110.0,31.0,111.22735551040233,0.1197379163910048,0.6327833954230974,0.690732748888974,0.7054403690654726,0.1820989037266056,1.8249704718853585,0.12441731471888792,90,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492
HANCOCK,oof,B7-80,29,402.0,95.0,405.4663541693128,0.08748958163854435,0.6262603729811724,0.6546070317036444,0.6626612093003752,-0.14317082515230048,1.555213935083858,0.11302646415858353,80,0.8,0.8220858895705522,0.6298568507157464,0.19222903885480572,0.17791411042944785
HANCOCK,oof,B7-90,29,435.0,106.0,438.73671254985373,0.08339370551316677,0.6563195413570702,0.7103645701806688,0.722730399848815,-0.23284251122602231,1.8854864792021313,0.11921320491750306,90,0.9,0.8895705521472392,0.7955010224948875,0.09406952965235174,0.11042944785276074
HANCOCK,calibration,B7-80,29,98.0,26.0,99.20850905805267,0.10091958720362773,0.5776772247360482,0.6319608336390666,0.6249395353349435,-0.044270656474082584,1.173041498934802,0.11973278465942391,80,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983
HANCOCK,calibration,B7-90,29,110.0,32.0,111.1809729631684,0.11954910079735831,0.6328653146125846,0.6847066044527096,0.6860456569390693,0.17440612210435433,1.776495605864454,0.12471680672026537,90,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492
HANCOCK,oof,B7-80,43,396.0,93.0,397.6683717466523,0.07786966053267065,0.603476581361661,0.6130333603258327,0.6267848252753454,-0.3303380770612441,0.949570876347713,0.11413173593821573,80,0.8,0.8098159509202454,0.6482617586912065,0.16155419222903886,0.1901840490797546
HANCOCK,oof,B7-90,43,441.0,111.0,442.23195860783255,0.09148789359149612,0.6093992932862191,0.6430017954320288,0.6580275618744984,-0.1368540246613434,1.2612687951891253,0.11791275531731013,90,0.9,0.901840490797546,0.7791411042944786,0.12269938650306748,0.09815950920245399
HANCOCK,calibration,B7-80,43,98.0,28.0,100.11459802240468,0.11656293642548177,0.6376907763769077,0.6704525476892836,0.6697213950826544,0.14163396052105182,1.2975961438067103,0.11831302898869196,80,0.8,0.8032786885245902,0.6557377049180327,0.14754098360655737,0.19672131147540983
