study,partition,model,seed,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,oof,B2,17,489.0,135.0,488.8486702563916,0.11080140934597,0.6591061654445937,0.7079161081481299,0.7262695984120152,-0.0066938374187132405,1.4084005125393595,0.1357280133679661
HANCOCK,oof,B5,17,489.0,135.0,488.8486702563916,0.10602172136906839,0.6759268821646184,0.7193705349827106,0.7405752337886146,-0.004378335977921811,1.2753123045565296,0.13851308910614918
HANCOCK,oof,B6,17,489.0,135.0,488.8486702563916,0.10644082900328428,0.6791800061964267,0.7177401902414805,0.7395279600846717,0.007779883094106143,1.3956468695481778,0.13710580710123435
HANCOCK,calibration,B2,17,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,calibration,B5,17,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,calibration,B6,17,122.0,38.0,121.33108167594078,0.12873685777283778,0.6765035487485992,0.7421435418170539,0.7699463564548733,0.3762258161114575,2.5177524421850035,0.1419652988711219
HANCOCK,oof,B2,29,489.0,135.0,488.8486702563916,0.11057354679016557,0.6676520706392647,0.7080323269680058,0.727551940446864,-0.02220112166599486,1.29299188157093,0.13685595474808165
HANCOCK,oof,B5,29,489.0,135.0,488.8486702563916,0.1038633491736886,0.6945419807910771,0.7447815632661505,0.7662933767155237,-0.015134505644874932,1.409019276401617,0.13771895599310496
HANCOCK,oof,B6,29,489.0,135.0,488.8486702563916,0.1039022665150685,0.6917535887638129,0.742278381423004,0.7644994980055966,0.005653422935084418,1.6632033134529487,0.13567186977857393
HANCOCK,calibration,B2,29,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,calibration,B5,29,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188
HANCOCK,calibration,B6,29,122.0,38.0,121.33108167594078,0.12900710836145893,0.6675382891296228,0.7293731651758705,0.7554239939878147,0.375601425706114,2.419367629173749,0.14184615440474957
HANCOCK,oof,B2,43,489.0,135.0,488.8486702563916,0.11292847619454685,0.6539424765052153,0.7030120146179656,0.7215265750233203,-0.01744269741499832,0.8541158098915054,0.13614449772616713
HANCOCK,oof,B5,43,489.0,135.0,488.8486702563916,0.10511057434513596,0.6692140865434266,0.7249940833156022,0.744692620440432,-0.02811685118873533,1.1913196723495372,0.13864986256416617
HANCOCK,oof,B6,43,489.0,135.0,488.8486702563916,0.1068000949776942,0.6696788185479706,0.7197469493872329,0.7392616143289217,-0.01852751853890438,1.2092381549812476,0.13773262630930294
