study,partition,seed,target_coverage,observed_coverage,augmentation_rate,fallback_rate,abstention_rate,ipcw_brier,harrell_c,auc_horizon
HANCOCK,oof,17,0.5,0.5030674846625767,0.24335378323108384,0.25971370143149286,0.49693251533742333,0.05764026430338082,0.633558052434457,0.6511046829283536
HANCOCK,calibration,17,0.5,0.5081967213114754,0.26229508196721313,0.2459016393442623,0.4918032786885246,0.09075418005075338,0.7142857142857143,0.7914825387074971
HANCOCK,oof,17,0.55,0.5685071574642127,0.294478527607362,0.2740286298568507,0.43149284253578735,0.06440214526365717,0.621202040363717,0.6425350185637873
HANCOCK,calibration,17,0.55,0.5573770491803278,0.3114754098360656,0.2459016393442623,0.4426229508196721,0.09670964009161673,0.723823975720789,0.7751038470999826
HANCOCK,oof,17,0.6,0.6134969325153374,0.3537832310838446,0.25971370143149286,0.38650306748466257,0.068837227525688,0.6181716833890747,0.6430221924851635
HANCOCK,calibration,17,0.6,0.6065573770491803,0.36885245901639346,0.23770491803278687,0.39344262295081966,0.10309491791461377,0.6427703523693803,0.7535713360824343
HANCOCK,oof,17,0.65,0.6605316973415133,0.43149284253578735,0.22903885480572597,0.3394683026584867,0.07275314492448202,0.6293365794278758,0.6898784644326353
HANCOCK,calibration,17,0.65,0.6557377049180327,0.4344262295081967,0.22131147540983606,0.3442622950819672,0.09586151813186636,0.654054054054054,0.7617393641388255
HANCOCK,oof,17,0.7,0.7034764826175869,0.48466257668711654,0.21881390593047034,0.2965235173824131,0.07436219646591452,0.6202116260380391,0.6714753648278529
HANCOCK,calibration,17,0.7,0.7049180327868853,0.5,0.20491803278688525,0.29508196721311475,0.10978989299270797,0.6510369702434626,0.7345070291607044
HANCOCK,oof,17,0.75,0.7361963190184049,0.5603271983640081,0.17586912065439672,0.26380368098159507,0.07658587266584284,0.6190852214055761,0.6599313060013229
HANCOCK,calibration,17,0.75,0.7540983606557377,0.5737704918032787,0.18032786885245902,0.2459016393442623,0.11353653160869771,0.6208206686930091,0.686291479572543
HANCOCK,oof,17,0.8,0.8016359918200409,0.6400817995910021,0.16155419222903886,0.1983640081799591,0.08433331867028222,0.6380092614247627,0.7081287287388343
HANCOCK,calibration,17,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983,0.11490674209728637,0.619781631342325,0.6897013880613992
HANCOCK,oof,17,0.85,0.8650306748466258,0.7137014314928425,0.15132924335378323,0.13496932515337423,0.09022781832923571,0.6268914151313211,0.6778977944011682
HANCOCK,calibration,17,0.85,0.8524590163934426,0.7295081967213115,0.12295081967213115,0.14754098360655737,0.10900475269732242,0.6218692730604765,0.6895581933134742
HANCOCK,oof,17,0.9,0.8936605316973415,0.7791411042944786,0.11451942740286299,0.10633946830265849,0.09292046963046442,0.6123881574161635,0.6409706104827733
HANCOCK,calibration,17,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492,0.1197379163910048,0.6327833954230974,0.7054403690654726
HANCOCK,oof,17,0.95,0.9120654396728016,0.852760736196319,0.05930470347648262,0.08793456032719836,0.0945028401737516,0.644144601129485,0.6769134914782629
HANCOCK,calibration,17,0.95,0.9508196721311475,0.9098360655737705,0.040983606557377046,0.04918032786885246,0.12298391060130565,0.6727688787185355,0.7428095919900821
HANCOCK,oof,17,1.0,0.9795501022494888,0.9713701431492843,0.0081799591002045,0.02044989775051125,0.09785316385933085,0.6575101948346171,0.7029633573597014
HANCOCK,calibration,17,1.0,1.0,1.0,0.0,0.0,0.12873685777283778,0.6765035487485992,0.7699463564548733
HANCOCK,oof,29,0.5,0.5071574642126789,0.25357873210633947,0.25357873210633947,0.49284253578732107,0.07489249079909788,0.5953667509772361,0.6407007386231649
HANCOCK,calibration,29,0.5,0.5081967213114754,0.26229508196721313,0.2459016393442623,0.4918032786885246,0.0811134281715513,0.6599597585513078,0.7200566817218237
HANCOCK,oof,29,0.55,0.5787321063394683,0.3456032719836401,0.2331288343558282,0.4212678936605317,0.07846054574147762,0.6241868449584388,0.6672243112291367
HANCOCK,calibration,29,0.55,0.5573770491803278,0.3114754098360656,0.2459016393442623,0.4426229508196721,0.0864630676708827,0.6682926829268293,0.735133179680523
HANCOCK,oof,29,0.6,0.6666666666666666,0.3987730061349693,0.26789366053169733,0.3333333333333333,0.08447842161661298,0.629463985473132,0.6639722429390913
HANCOCK,calibration,29,0.6,0.6065573770491803,0.36885245901639346,0.23770491803278687,0.39344262295081966,0.11420044208567774,0.6992665036674817,0.7481835955343954
HANCOCK,oof,29,0.65,0.7014314928425358,0.4948875255623722,0.2065439672801636,0.2985685071574642,0.08054316544167071,0.6220989543483805,0.6624327135246582
HANCOCK,calibration,29,0.65,0.6557377049180327,0.4344262295081967,0.22131147540983606,0.3442622950819672,0.117858844687962,0.6483091787439613,0.707309382689483
HANCOCK,oof,29,0.7,0.7239263803680982,0.5214723926380368,0.20245398773006135,0.27607361963190186,0.08297536268258805,0.6285154859380563,0.6768207091135654
HANCOCK,calibration,29,0.7,0.7131147540983607,0.5081967213114754,0.20491803278688525,0.28688524590163933,0.10962549877351817,0.6178184845961698,0.6980137969445077
HANCOCK,oof,29,0.75,0.7443762781186094,0.5746421267893661,0.16973415132924335,0.2556237218813906,0.0834130607286815,0.6365407089988313,0.6800071647032965
HANCOCK,calibration,29,0.75,0.7540983606557377,0.5737704918032787,0.18032786885245902,0.2459016393442623,0.1059020193832436,0.5754414125200642,0.6237711900579882
HANCOCK,oof,29,0.8,0.8220858895705522,0.6298568507157464,0.19222903885480572,0.17791411042944785,0.08748958163854435,0.6262603729811724,0.6626612093003752
HANCOCK,calibration,29,0.8,0.8032786885245902,0.6475409836065574,0.1557377049180328,0.19672131147540983,0.10091958720362773,0.5776772247360482,0.6249395353349435
HANCOCK,oof,29,0.85,0.8425357873210634,0.7198364008179959,0.12269938650306748,0.1574642126789366,0.08525140911843164,0.6346778735756683,0.6885821665039307
HANCOCK,calibration,29,0.85,0.8524590163934426,0.7295081967213115,0.12295081967213115,0.14754098360655737,0.12028477155438487,0.5852372583479789,0.6228634068626228
HANCOCK,oof,29,0.9,0.8895705521472392,0.7955010224948875,0.09406952965235174,0.11042944785276074,0.08339370551316677,0.6563195413570702,0.722730399848815
HANCOCK,calibration,29,0.9,0.9016393442622951,0.819672131147541,0.08196721311475409,0.09836065573770492,0.11954910079735831,0.6328653146125846,0.6860456569390693
HANCOCK,oof,29,0.95,0.9284253578732107,0.8507157464212679,0.07770961145194274,0.07157464212678936,0.08890053167598391,0.655817683619595,0.7141817467548155
HANCOCK,calibration,29,0.95,0.9508196721311475,0.9098360655737705,0.040983606557377046,0.04918032786885246,0.12312671292596956,0.6636528028933092,0.7379195408135645
HANCOCK,oof,29,1.0,0.967280163599182,0.9591002044989775,0.0081799591002045,0.032719836400818,0.0939548991249535,0.6667561521252796,0.7250642978513746
HANCOCK,calibration,29,1.0,1.0,1.0,0.0,0.0,0.12900710836145893,0.6675382891296228,0.7554239939878147
HANCOCK,oof,43,0.5,0.5869120654396728,0.2740286298568507,0.3128834355828221,0.4130879345603272,0.06600835720343626,0.6174745895230649,0.6461943102637188
