study,seed,target_coverage,clinical_threshold,modality_threshold,calibration_reference_n,modality_reference_n
HANCOCK,17,0.8,0.703096539162113,0.6666666666666666,122.0,98.0
HANCOCK,17,0.9,0.8060109289617485,0.7355191256830602,122.0,110.0
HANCOCK,29,0.8,0.7058287795992714,0.6382513661202186,122.0,98.0
HANCOCK,29,0.9,0.8041894353369763,0.7360655737704919,122.0,110.0
HANCOCK,43,0.8,0.7076502732240438,0.6693989071038251,122.0,98.0
HANCOCK,43,0.9,0.8087431693989071,0.7398907103825137,122.0,110.0
HANCOCK,71,0.8,0.7249544626593808,0.6672131147540984,122.0,98.0
HANCOCK,71,0.9,0.7941712204007286,0.7557377049180328,122.0,110.0
HANCOCK,101,0.8,0.6821493624772312,0.7,122.0,98.0
HANCOCK,101,0.9,0.7777777777777777,0.7491803278688525,122.0,110.0
TCGA-HNSC,17,0.8,0.6987179487179488,0.5461538461538462,104.0,85.0
TCGA-HNSC,17,0.9,0.7467948717948718,0.6134615384615385,104.0,94.0
TCGA-HNSC,29,0.8,0.701923076923077,0.5301282051282051,104.0,84.0
TCGA-HNSC,29,0.9,0.7393162393162394,0.6102564102564102,104.0,94.0
TCGA-HNSC,43,0.8,0.6741452991452991,0.5294871794871795,104.0,84.0
TCGA-HNSC,43,0.9,0.7264957264957266,0.5935897435897436,104.0,94.0
TCGA-HNSC,71,0.8,0.6965811965811964,0.5410256410256411,104.0,84.0
TCGA-HNSC,71,0.9,0.7542735042735043,0.5903846153846154,104.0,94.0
TCGA-HNSC,101,0.8,0.7264957264957266,0.5378205128205129,104.0,84.0
TCGA-HNSC,101,0.9,0.7585470085470085,0.6089743589743589,104.0,94.0
