study,seed,scenario,gate_variant,profile,action,count,rate,non_abstention_coverage
HANCOCK,17,clean,ood_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,clean,ood_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,clean,ood_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,clean,ood_only,90,AUGMENT,100,0.819672131147541,0.9016393442622951
HANCOCK,17,clean,ood_only,90,FALLBACK,10,0.08196721311475409,0.9016393442622951
HANCOCK,17,clean,ood_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,clean,ood_only,80,AUGMENT,79,0.6475409836065574,0.8032786885245902
HANCOCK,17,clean,ood_only,80,FALLBACK,19,0.1557377049180328,0.8032786885245902
HANCOCK,17,clean,ood_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,clean,uncertainty_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,clean,uncertainty_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,clean,uncertainty_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,clean,uncertainty_only,90,AUGMENT,101,0.8278688524590164,0.9016393442622951
HANCOCK,17,clean,uncertainty_only,90,FALLBACK,9,0.07377049180327869,0.9016393442622951
HANCOCK,17,clean,uncertainty_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,clean,uncertainty_only,80,AUGMENT,83,0.680327868852459,0.8032786885245902
HANCOCK,17,clean,uncertainty_only,80,FALLBACK,15,0.12295081967213115,0.8032786885245902
HANCOCK,17,clean,uncertainty_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,clean,full_equal_weight,100,AUGMENT,122,1.0,1.0
HANCOCK,17,clean,full_equal_weight,100,FALLBACK,0,0.0,1.0
HANCOCK,17,clean,full_equal_weight,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,clean,full_equal_weight,90,AUGMENT,102,0.8360655737704918,0.9016393442622951
HANCOCK,17,clean,full_equal_weight,90,FALLBACK,8,0.06557377049180328,0.9016393442622951
HANCOCK,17,clean,full_equal_weight,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,clean,full_equal_weight,80,AUGMENT,83,0.680327868852459,0.8032786885245902
HANCOCK,17,clean,full_equal_weight,80,FALLBACK,15,0.12295081967213115,0.8032786885245902
HANCOCK,17,clean,full_equal_weight,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,clean,full_learned_nonnegative,100,AUGMENT,122,1.0,1.0
HANCOCK,17,clean,full_learned_nonnegative,100,FALLBACK,0,0.0,1.0
HANCOCK,17,clean,full_learned_nonnegative,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,clean,full_learned_nonnegative,90,AUGMENT,102,0.8360655737704918,0.9016393442622951
HANCOCK,17,clean,full_learned_nonnegative,90,FALLBACK,8,0.06557377049180328,0.9016393442622951
HANCOCK,17,clean,full_learned_nonnegative,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,clean,full_learned_nonnegative,80,AUGMENT,85,0.6967213114754098,0.8032786885245902
HANCOCK,17,clean,full_learned_nonnegative,80,FALLBACK,13,0.10655737704918032,0.8032786885245902
HANCOCK,17,clean,full_learned_nonnegative,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,ood_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_10pct,ood_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,ood_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,ood_only,90,AUGMENT,54,0.4426229508196721,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,ood_only,90,FALLBACK,56,0.45901639344262296,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,ood_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,ood_only,80,AUGMENT,32,0.26229508196721313,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,ood_only,80,FALLBACK,66,0.5409836065573771,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,ood_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,90,AUGMENT,102,0.8360655737704918,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,90,FALLBACK,8,0.06557377049180328,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,80,AUGMENT,85,0.6967213114754098,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,80,FALLBACK,13,0.10655737704918032,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,uncertainty_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,90,AUGMENT,97,0.7950819672131147,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,90,FALLBACK,13,0.10655737704918032,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,80,AUGMENT,78,0.639344262295082,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,80,FALLBACK,20,0.16393442622950818,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,full_equal_weight,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,90,AUGMENT,101,0.8278688524590164,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,90,FALLBACK,9,0.07377049180327869,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,80,AUGMENT,86,0.7049180327868853,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,80,FALLBACK,12,0.09836065573770492,0.8032786885245902
HANCOCK,17,random_cell_dropout_10pct,full_learned_nonnegative,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,ood_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_30pct,ood_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,ood_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,ood_only,90,AUGMENT,16,0.13114754098360656,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,ood_only,90,FALLBACK,94,0.7704918032786885,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,ood_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,ood_only,80,AUGMENT,8,0.06557377049180328,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,ood_only,80,FALLBACK,90,0.7377049180327869,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,ood_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,90,AUGMENT,106,0.8688524590163934,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,90,FALLBACK,4,0.03278688524590164,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,80,AUGMENT,87,0.7131147540983607,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,80,FALLBACK,11,0.09016393442622951,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,uncertainty_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,90,AUGMENT,100,0.819672131147541,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,90,FALLBACK,10,0.08196721311475409,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,80,AUGMENT,75,0.6147540983606558,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,80,FALLBACK,23,0.1885245901639344,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,full_equal_weight,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,100,AUGMENT,122,1.0,1.0
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,100,FALLBACK,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,90,AUGMENT,106,0.8688524590163934,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,90,FALLBACK,4,0.03278688524590164,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,80,AUGMENT,89,0.7295081967213115,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,80,FALLBACK,9,0.07377049180327869,0.8032786885245902
HANCOCK,17,random_cell_dropout_30pct,full_learned_nonnegative,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,measurement_noise_0.5sd,ood_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,measurement_noise_0.5sd,ood_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,measurement_noise_0.5sd,ood_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,measurement_noise_0.5sd,ood_only,90,AUGMENT,88,0.7213114754098361,0.9016393442622951
HANCOCK,17,measurement_noise_0.5sd,ood_only,90,FALLBACK,22,0.18032786885245902,0.9016393442622951
HANCOCK,17,measurement_noise_0.5sd,ood_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,measurement_noise_0.5sd,ood_only,80,AUGMENT,53,0.4344262295081967,0.8032786885245902
HANCOCK,17,measurement_noise_0.5sd,ood_only,80,FALLBACK,45,0.36885245901639346,0.8032786885245902
HANCOCK,17,measurement_noise_0.5sd,ood_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,100,AUGMENT,122,1.0,1.0
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,100,FALLBACK,0,0.0,1.0
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,100,ABSTAIN,0,0.0,1.0
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,90,AUGMENT,98,0.8032786885245902,0.9016393442622951
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,90,FALLBACK,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,90,ABSTAIN,12,0.09836065573770492,0.9016393442622951
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,80,AUGMENT,75,0.6147540983606558,0.8032786885245902
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,80,FALLBACK,23,0.1885245901639344,0.8032786885245902
HANCOCK,17,measurement_noise_0.5sd,uncertainty_only,80,ABSTAIN,24,0.19672131147540983,0.8032786885245902
