study,seed,domain,component,weight
HANCOCK,17,clinical,clinical_ood_rank,0.47440362777423295
HANCOCK,17,clinical,rank_clinical_uncertainty_sd,0.525596372225767
HANCOCK,17,clinical,rank_clinical_model_disagreement,0.0
HANCOCK,17,modality,modality_ood_rank,0.0
HANCOCK,17,modality,rank_fusion_uncertainty_sd,0.4987884707586738
HANCOCK,17,modality,rank_perturbation_sensitivity,0.18226035958295042
HANCOCK,17,modality,rank_modality_missingness,0.0
HANCOCK,17,modality,rank_fusion_disagreement,0.3189511696583759
HANCOCK,29,clinical,clinical_ood_rank,0.5890286722295751
HANCOCK,29,clinical,rank_clinical_uncertainty_sd,0.32848959715234044
HANCOCK,29,clinical,rank_clinical_model_disagreement,0.0824817306180844
HANCOCK,29,modality,modality_ood_rank,0.0
HANCOCK,29,modality,rank_fusion_uncertainty_sd,0.6797292386083145
HANCOCK,29,modality,rank_perturbation_sensitivity,0.0
HANCOCK,29,modality,rank_modality_missingness,0.0
HANCOCK,29,modality,rank_fusion_disagreement,0.3202707613916854
HANCOCK,43,clinical,clinical_ood_rank,0.42102117251476556
HANCOCK,43,clinical,rank_clinical_uncertainty_sd,0.4547620257661637
HANCOCK,43,clinical,rank_clinical_model_disagreement,0.12421680171907079
HANCOCK,43,modality,modality_ood_rank,0.06164076233820126
HANCOCK,43,modality,rank_fusion_uncertainty_sd,0.9383592376617987
HANCOCK,43,modality,rank_perturbation_sensitivity,0.0
HANCOCK,43,modality,rank_modality_missingness,0.0
HANCOCK,43,modality,rank_fusion_disagreement,0.0
HANCOCK,71,clinical,clinical_ood_rank,0.4485763133071185
HANCOCK,71,clinical,rank_clinical_uncertainty_sd,0.43131376978179725
HANCOCK,71,clinical,rank_clinical_model_disagreement,0.12010991691108426
HANCOCK,71,modality,modality_ood_rank,0.0
HANCOCK,71,modality,rank_fusion_uncertainty_sd,0.5581403490006038
HANCOCK,71,modality,rank_perturbation_sensitivity,0.1719968352964045
HANCOCK,71,modality,rank_modality_missingness,0.0
HANCOCK,71,modality,rank_fusion_disagreement,0.26986281570299164
HANCOCK,101,clinical,clinical_ood_rank,0.42186620479138326
HANCOCK,101,clinical,rank_clinical_uncertainty_sd,0.5781337952086166
HANCOCK,101,clinical,rank_clinical_model_disagreement,0.0
HANCOCK,101,modality,modality_ood_rank,0.0
HANCOCK,101,modality,rank_fusion_uncertainty_sd,0.8013792678173237
HANCOCK,101,modality,rank_perturbation_sensitivity,0.03389317033422297
HANCOCK,101,modality,rank_modality_missingness,0.0
HANCOCK,101,modality,rank_fusion_disagreement,0.1647275618484533
TCGA-HNSC,17,clinical,clinical_ood_rank,0.294391282759522
TCGA-HNSC,17,clinical,rank_clinical_uncertainty_sd,0.3675284735633795
TCGA-HNSC,17,clinical,rank_clinical_model_disagreement,0.33808024367709866
TCGA-HNSC,17,modality,modality_ood_rank,0.4326170660668192
TCGA-HNSC,17,modality,rank_fusion_uncertainty_sd,0.15655804170489218
TCGA-HNSC,17,modality,rank_perturbation_sensitivity,0.36912228245491513
TCGA-HNSC,17,modality,rank_modality_missingness,0.0
TCGA-HNSC,17,modality,rank_fusion_disagreement,0.04170260977337338
TCGA-HNSC,29,clinical,clinical_ood_rank,0.0
TCGA-HNSC,29,clinical,rank_clinical_uncertainty_sd,1.0
TCGA-HNSC,29,clinical,rank_clinical_model_disagreement,0.0
TCGA-HNSC,29,modality,modality_ood_rank,0.3895989574324068
TCGA-HNSC,29,modality,rank_fusion_uncertainty_sd,0.26030129465847945
TCGA-HNSC,29,modality,rank_perturbation_sensitivity,0.3206574506775577
TCGA-HNSC,29,modality,rank_modality_missingness,0.0
TCGA-HNSC,29,modality,rank_fusion_disagreement,0.029442297231555996
TCGA-HNSC,43,clinical,clinical_ood_rank,0.4064010225067972
TCGA-HNSC,43,clinical,rank_clinical_uncertainty_sd,0.1924109579633163
TCGA-HNSC,43,clinical,rank_clinical_model_disagreement,0.4011880195298865
TCGA-HNSC,43,modality,modality_ood_rank,0.23577001303127526
TCGA-HNSC,43,modality,rank_fusion_uncertainty_sd,0.0
TCGA-HNSC,43,modality,rank_perturbation_sensitivity,0.7270561991882677
TCGA-HNSC,43,modality,rank_modality_missingness,0.0
TCGA-HNSC,43,modality,rank_fusion_disagreement,0.0371737877804571
TCGA-HNSC,71,clinical,clinical_ood_rank,0.1544527049709183
TCGA-HNSC,71,clinical,rank_clinical_uncertainty_sd,0.6583500328528227
TCGA-HNSC,71,clinical,rank_clinical_model_disagreement,0.18719726217625904
TCGA-HNSC,71,modality,modality_ood_rank,0.38574259126119975
TCGA-HNSC,71,modality,rank_fusion_uncertainty_sd,0.27615750101028896
TCGA-HNSC,71,modality,rank_perturbation_sensitivity,0.33809990772851134
TCGA-HNSC,71,modality,rank_modality_missingness,0.0
TCGA-HNSC,71,modality,rank_fusion_disagreement,0.0
TCGA-HNSC,101,clinical,clinical_ood_rank,0.4378987380337162
TCGA-HNSC,101,clinical,rank_clinical_uncertainty_sd,0.2033762328447059
TCGA-HNSC,101,clinical,rank_clinical_model_disagreement,0.35872502912157783
TCGA-HNSC,101,modality,modality_ood_rank,0.22238377164732798
TCGA-HNSC,101,modality,rank_fusion_uncertainty_sd,0.3013838643528384
TCGA-HNSC,101,modality,rank_perturbation_sensitivity,0.4762323639998335
TCGA-HNSC,101,modality,rank_modality_missingness,0.0
TCGA-HNSC,101,modality,rank_fusion_disagreement,0.0
