representation,study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
median_no_missing_indicator,HANCOCK,17,clean,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.129241365888085,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.3654049674727105,1.9631472583364695,0.1426940485851467
median_no_missing_indicator,HANCOCK,17,clean,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12758256763419623,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565868228685,2.421428262488344,0.1441437606496949
median_no_missing_indicator,HANCOCK,17,clean,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.12871629654477892,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142501569372,2.4961723108233542,0.14205010506470625
median_no_missing_indicator,HANCOCK,17,random_cell_dropout_30pct,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.14588516451814287,0.6002988419872992,0.6305592732236934,0.6428605251645302,0.4296734912178625,1.6788494776047547,0.12868570659142434
median_no_missing_indicator,HANCOCK,17,random_cell_dropout_30pct,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.14267166053729213,0.6615614493836384,0.7011016882452292,0.7284211667931138,0.4213602411148556,2.320151191528282,0.13148346461666857
median_no_missing_indicator,HANCOCK,17,random_cell_dropout_30pct,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.1430059248301163,0.6413896152409414,0.6824890623559394,0.7130266691177759,0.43536910510201265,2.363713190790099,0.13018443530967866
median_no_missing_indicator,HANCOCK,29,clean,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.129241365888085,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.3654049674727105,1.9631472583364695,0.1426940485851467
median_no_missing_indicator,HANCOCK,29,clean,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12758256763419623,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565868228685,2.421428262488344,0.1441437606496949
median_no_missing_indicator,HANCOCK,29,clean,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.1290126365746296,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.37731648542031604,2.5102539213038813,0.1418978560053704
median_no_missing_indicator,HANCOCK,29,random_cell_dropout_30pct,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.13760614351279854,0.6372805379155771,0.6724091831242464,0.6732409453865404,0.407758426416274,1.8779582396638743,0.1333932333555387
median_no_missing_indicator,HANCOCK,29,random_cell_dropout_30pct,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.13644704558966453,0.7168472170339932,0.7592882235555859,0.771912219455794,0.40367565678934697,2.2907083830164297,0.1348197713052138
median_no_missing_indicator,HANCOCK,29,random_cell_dropout_30pct,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.13744161614281752,0.6989166977960404,0.7412323338785461,0.7584289618334017,0.4159709561028751,2.3881958429449512,0.1332481178074073
median_no_missing_indicator,HANCOCK,43,clean,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.129241365888085,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.3654049674727105,1.9631472583364695,0.1426940485851467
median_no_missing_indicator,HANCOCK,43,clean,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12758256763419623,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565868228685,2.421428262488344,0.1441437606496949
median_no_missing_indicator,HANCOCK,43,clean,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.12898274178629437,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572117942414,2.4676813413550973,0.1416485212695188
median_no_missing_indicator,HANCOCK,43,random_cell_dropout_30pct,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.13793882708513075,0.5930145685468808,0.6603819103044858,0.6671235219624373,0.41109377363584004,1.7812473383801666,0.13101541844805192
median_no_missing_indicator,HANCOCK,43,random_cell_dropout_30pct,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.13609047139101374,0.6742622338438551,0.7413066552253766,0.7623868367336906,0.4166708019750257,2.4017745018065484,0.13151263421434603
median_no_missing_indicator,HANCOCK,43,random_cell_dropout_30pct,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.1372641336847912,0.6473664549869257,0.7154152677824035,0.7328180482969242,0.4298242870783842,2.5195561427283444,0.1297863170819723
median_no_missing_indicator,HANCOCK,71,clean,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.129241365888085,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.3654049674727105,1.9631472583364695,0.1426940485851467
median_no_missing_indicator,HANCOCK,71,clean,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12758256763419623,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565868228685,2.421428262488344,0.1441437606496949
median_no_missing_indicator,HANCOCK,71,clean,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.12914449136840372,0.6772506537168472,0.744574932813108,0.7742528734075641,0.38438286246005865,2.4919374761583466,0.14113976549252177
median_no_missing_indicator,HANCOCK,71,random_cell_dropout_30pct,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.13100926779305092,0.6171087037728801,0.6690495669985119,0.6712632352025175,0.3568356248152195,1.9687815931507164,0.1376370899362278
median_no_missing_indicator,HANCOCK,71,random_cell_dropout_30pct,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12847825176501831,0.691819200597684,0.7535984050702108,0.7711419578551696,0.3565975192290647,2.412309699789164,0.1399109054212641
median_no_missing_indicator,HANCOCK,71,random_cell_dropout_30pct,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.130158569301444,0.6854688083675756,0.7490510023187157,0.7706988699030111,0.37912088947553857,2.5547380730829223,0.13709674200111477
