study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,b2_subset_ipcw_brier,b6_subset_ipcw_brier
HANCOCK,17,clean,B2,none,full,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987,,
HANCOCK,17,clean,B3,none,full,1.0,122.0,38.0,121.33108167594078,0.13987283186893137,0.6369069854314531,0.6623069306634138,0.6975846012803825,0.36875541456290994,1.4987843719213076,0.14163622339785403,,
HANCOCK,17,clean,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896,,
HANCOCK,17,clean,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188,,
HANCOCK,17,clean,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.12871629577667043,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142444346632,2.496172320944543,0.14205010560600445,,
HANCOCK,17,clean,M0,none,full,1.0,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261,,
HANCOCK,17,clean,B7,ood_only,100,1.0,122.0,38.0,121.33108167594078,0.12871629577667043,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142444346632,2.496172320944543,0.14205010560600445,0.14602695410991687,0.12871629577667043
HANCOCK,17,clean,B7,ood_only,90,0.9016393442622951,110.0,33.0,108.32042808439553,0.13508554657672106,0.6884672990514229,0.7206287702881172,0.7412179315724058,0.37936563679639634,2.3148861014996216,0.1340655578847073,0.14134650691015552,0.12319429146678088
HANCOCK,17,clean,B7,ood_only,80,0.8032786885245902,98.0,25.0,96.64965492157674,0.12357132936674785,0.7099179716629381,0.7097052355671848,0.7301967125309005,0.24145977343955163,2.3643483463703268,0.12942508498602417,0.12466573476304875,0.11260937631562232
HANCOCK,17,clean,B7,uncertainty_only,100,1.0,122.0,38.0,121.33108167594078,0.12871629577667043,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142444346632,2.496172320944543,0.14205010560600445,0.14602695410991687,0.12871629577667043
HANCOCK,17,clean,B7,uncertainty_only,90,0.9016393442622951,110.0,31.0,110.70190715400652,0.13162474342835276,0.6404040404040404,0.7046643728140253,0.7189577755572112,0.36702415429485313,2.131021719561487,0.11772247203420726,0.13405534053778212,0.11162625572629892
HANCOCK,17,clean,B7,uncertainty_only,80,0.8032786885245902,98.0,27.0,101.07516701876185,0.12238183608637558,0.641206675224647,0.7206651578117328,0.7262875027439777,0.28731636060198895,2.6212846174303643,0.11041977487345574,0.12298700062444656,0.10449048488581487
HANCOCK,17,clean,B7,full_equal_weight,100,1.0,122.0,38.0,121.33108167594078,0.12871629577667043,0.6847217033993276,0.7516647493443939,0.7829538859708781,0.3796142444346632,2.496172320944543,0.14205010560600445,0.14602695410991687,0.12871629577667043
HANCOCK,17,clean,B7,full_equal_weight,90,0.9016393442622951,110.0,31.0,109.98828504074395,0.11952358652100646,0.622437971952535,0.6875944944776541,0.7035607009164697,0.20785156831931118,1.7192310164544153,0.1233497613347148,0.11980739499354617,0.10402893518106876
