study,seed,subgroup_variable,subgroup,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,17,sex,0,B2,91,1.0,91.0,28.0,88.9593227647629,0.14134533428831464,0.6201157742402316,0.6520199735218379,0.6795506110294908,0.3342308106389265,2.340405596222991,0.13782593418620745
HANCOCK,17,sex,0,B6,91,1.0,91.0,28.0,88.9593227647629,0.11759362300004733,0.7170767004341534,0.820586116721766,0.8511794196847818,0.34253307046576303,3.413965405906386,0.1456749498337722
HANCOCK,17,sex,0,B7_full_equal_weight_90,91,0.9120879120879121,83.0,25.0,81.84799292676068,0.13313006988694054,0.6218181818181818,0.7102085968748001,0.7330403156740677,0.4116292037554946,2.3231219871280566,0.12301599587298404
HANCOCK,17,sex,1,B2,31,1.0,31.0,10.0,32.3717589111779,0.15976977358623312,0.6767676767676768,0.6863155878573036,0.7040014910368972,0.44426358267458677,3.2120847525439475,0.13688883320100534
HANCOCK,17,sex,1,B6,31,1.0,31.0,10.0,32.3717589111779,0.16136672231449947,0.6464646464646465,0.5850567477038257,0.5839638106986016,0.4755946712347069,1.0447443755443158,0.1314094338406217
HANCOCK,17,sex,1,B7_full_equal_weight_90,31,0.8709677419354839,27.0,6.0,28.140292113983293,0.07769624876646841,0.7640449438202247,0.6361458269263118,0.6201689031976035,-0.5876974129571437,0.31479982360002856,0.1243757810874427
HANCOCK,17,age_group,<65,B2,73,1.0,73.0,24.0,75.43917997029078,0.15034343144657633,0.6284860557768924,0.6651827272918014,0.6859327707708914,0.424743223276966,2.6965168401427424,0.1270256045074011
HANCOCK,17,age_group,<65,B6,73,1.0,73.0,24.0,75.43917997029078,0.12767899628068796,0.6832669322709163,0.7542666748345733,0.7830537426239885,0.4052900238010769,2.903972759299346,0.13895160733407796
HANCOCK,17,age_group,<65,B7_full_equal_weight_90,73,0.8767123287671232,64.0,19.0,66.27480813034677,0.12088177465468428,0.6180124223602484,0.6973255891098761,0.7076048120251819,0.2615414351529371,2.1320486457207415,0.11300109276780354
HANCOCK,17,age_group,>=65,B2,49,1.0,49.0,14.0,45.89190170565001,0.13959628379203648,0.675,0.7128223588832905,0.7649103663585478,0.27420009141355417,3.82534893898628,0.15332336145175027
HANCOCK,17,age_group,>=65,B6,49,1.0,49.0,14.0,45.89190170565001,0.13026166033190958,0.66,0.7171466896237205,0.7400617661685513,0.3405857766629357,2.07839463250045,0.14666623568458878
