study,seed,subgroup_variable,subgroup,parent_n,coverage,b7_ipcw_brier,b2_ipcw_brier,brier_regret_vs_b2,flag_threshold,flagged
HANCOCK,17,age_group,>=65,49,0.9387755102040817,0.11763393346545473,0.13959628379203648,-0.021962350326581753,0.03,False
HANCOCK,17,age_group,<65,73,0.8767123287671232,0.12088177465468428,0.15034343144657633,-0.029461656791892055,0.03,False
HANCOCK,17,hpv_group,unknown,122,0.9016393442622951,0.11952358652100646,0.14602695410991687,-0.026503367588910406,0.03,False
HANCOCK,17,natural_modality_missingness,missing,36,0.9444444444444444,0.11512664287912157,0.12341951801811102,-0.00829287513898945,0.03,False
HANCOCK,17,natural_modality_missingness,complete,86,0.8837209302325582,0.12149064025553392,0.15549053200881235,-0.03399989175327843,0.03,False
HANCOCK,17,sex,0,91,0.9120879120879121,0.13313006988694054,0.14134533428831464,-0.0082152644013741,0.03,False
HANCOCK,17,sex,1,31,0.8709677419354839,0.07769624876646841,0.15976977358623312,-0.08207352481976471,0.03,False
HANCOCK,17,site_group,other,122,0.9016393442622951,0.11952358652100646,0.14602695410991687,-0.026503367588910406,0.03,False
HANCOCK,17,stage_group,unknown,122,0.9016393442622951,0.11952358652100646,0.14602695410991687,-0.026503367588910406,0.03,False
HANCOCK,29,age_group,>=65,49,0.9183673469387755,0.12089695322483264,0.13959628379203648,-0.01869933056720384,0.03,False
HANCOCK,29,age_group,<65,73,0.8904109589041096,0.11824232837629445,0.15034343144657633,-0.03210110307028188,0.03,False
HANCOCK,29,hpv_group,unknown,122,0.9016393442622951,0.11932831126887827,0.14602695410991687,-0.026698642841038595,0.03,False
HANCOCK,29,natural_modality_missingness,missing,36,0.9722222222222222,0.11259113615081658,0.12341951801811102,-0.010828381867294443,0.03,False
HANCOCK,29,natural_modality_missingness,complete,86,0.872093023255814,0.12247232632397373,0.15549053200881235,-0.033018205684838625,0.03,False
HANCOCK,29,sex,0,91,0.9120879120879121,0.13275210244819494,0.14134533428831464,-0.008593231840119703,0.03,False
HANCOCK,29,sex,1,31,0.8709677419354839,0.07806258282875664,0.15976977358623312,-0.08170719075747648,0.03,False
HANCOCK,29,site_group,other,122,0.9016393442622951,0.11932831126887827,0.14602695410991687,-0.026698642841038595,0.03,False
HANCOCK,29,stage_group,unknown,122,0.9016393442622951,0.11932831126887827,0.14602695410991687,-0.026698642841038595,0.03,False
HANCOCK,43,age_group,<65,73,0.8904109589041096,0.11935234040972346,0.15034343144657633,-0.030991091036852866,0.03,False
HANCOCK,43,age_group,>=65,49,0.9183673469387755,0.09893660631927978,0.13959628379203648,-0.0406596774727567,0.03,False
HANCOCK,43,hpv_group,unknown,122,0.9016393442622951,0.1110004491909056,0.14602695410991687,-0.03502650491901127,0.03,False
HANCOCK,43,natural_modality_missingness,missing,36,0.9166666666666666,0.09353978351913056,0.12341951801811102,-0.02987973449898046,0.03,False
HANCOCK,43,natural_modality_missingness,complete,86,0.8953488372093024,0.11848359162166636,0.15549053200881235,-0.037006940387146,0.03,False
HANCOCK,43,sex,0,91,0.9010989010989011,0.11342330057759968,0.14134533428831464,-0.027922033710714958,0.03,False
HANCOCK,43,sex,1,31,0.9032258064516129,0.10390495584415867,0.15976977358623312,-0.055864817742074455,0.03,False
HANCOCK,43,site_group,other,122,0.9016393442622951,0.1110004491909056,0.14602695410991687,-0.03502650491901127,0.03,False
HANCOCK,43,stage_group,unknown,122,0.9016393442622951,0.1110004491909056,0.14602695410991687,-0.03502650491901127,0.03,False
HANCOCK,71,age_group,>=65,49,0.8979591836734694,0.12437458210926837,0.13959628379203648,-0.01522170168276811,0.03,False
HANCOCK,71,age_group,<65,73,0.9041095890410958,0.13032344820232877,0.15034343144657633,-0.020019983244247558,0.03,False
HANCOCK,71,hpv_group,unknown,122,0.9016393442622951,0.12794390176510462,0.14602695410991687,-0.01808305234481225,0.03,False
HANCOCK,71,natural_modality_missingness,missing,36,0.9444444444444444,0.11596726488385238,0.12341951801811102,-0.007452253134258638,0.03,False
HANCOCK,71,natural_modality_missingness,complete,86,0.8837209302325582,0.13330187089619117,0.15549053200881235,-0.02218866111262119,0.03,False
