study,seed,subgroup_variable,model,worst_ipcw_brier,best_ipcw_brier,worst_group_coverage,brier_range
HANCOCK,17,age_group,B2,0.15034343144657633,0.13959628379203648,1.0,0.010747147654539851
HANCOCK,17,age_group,B6,0.13026166033190958,0.12767899628068796,1.0,0.0025826640512216226
HANCOCK,17,age_group,B7_full_equal_weight_90,0.12088177465468428,0.11763393346545473,0.8767123287671232,0.00324784118922955
HANCOCK,17,hpv_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,17,hpv_group,B6,0.12871629577667043,0.12871629577667043,1.0,0.0
HANCOCK,17,hpv_group,B7_full_equal_weight_90,0.11952358652100646,0.11952358652100646,0.9016393442622951,0.0
HANCOCK,17,natural_modality_missingness,B2,0.15549053200881235,0.12341951801811102,1.0,0.032071013990701336
HANCOCK,17,natural_modality_missingness,B6,0.1409123068606658,0.09958138040934816,1.0,0.04133092645131764
HANCOCK,17,natural_modality_missingness,B7_full_equal_weight_90,0.12149064025553392,0.11512664287912157,0.8837209302325582,0.006363997376412356
HANCOCK,17,sex,B2,0.15976977358623312,0.14134533428831464,1.0,0.018424439297918482
HANCOCK,17,sex,B6,0.16136672231449947,0.11759362300004733,1.0,0.04377309931445214
HANCOCK,17,sex,B7_full_equal_weight_90,0.13313006988694054,0.07769624876646841,0.8709677419354839,0.055433821120472127
HANCOCK,17,site_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,17,site_group,B6,0.12871629577667043,0.12871629577667043,1.0,0.0
HANCOCK,17,site_group,B7_full_equal_weight_90,0.11952358652100646,0.11952358652100646,0.9016393442622951,0.0
HANCOCK,17,stage_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,17,stage_group,B6,0.12871629577667043,0.12871629577667043,1.0,0.0
HANCOCK,17,stage_group,B7_full_equal_weight_90,0.11952358652100646,0.11952358652100646,0.9016393442622951,0.0
HANCOCK,29,age_group,B2,0.15034343144657633,0.13959628379203648,1.0,0.010747147654539851
HANCOCK,29,age_group,B6,0.130472896910026,0.1280324626738846,1.0,0.0024404342361414033
HANCOCK,29,age_group,B7_full_equal_weight_90,0.12089695322483264,0.11824232837629445,0.8904109589041096,0.0026546248485381924
HANCOCK,29,hpv_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,29,hpv_group,B6,0.12901263708020372,0.12901263708020372,1.0,0.0
HANCOCK,29,hpv_group,B7_full_equal_weight_90,0.11932831126887827,0.11932831126887827,0.9016393442622951,0.0
HANCOCK,29,natural_modality_missingness,B2,0.15549053200881235,0.12341951801811102,1.0,0.032071013990701336
HANCOCK,29,natural_modality_missingness,B6,0.14081648869799682,0.10081454710436466,1.0,0.040001941593632157
HANCOCK,29,natural_modality_missingness,B7_full_equal_weight_90,0.12247232632397373,0.11259113615081658,0.872093023255814,0.009881190173157153
HANCOCK,29,sex,B2,0.15976977358623312,0.14134533428831464,1.0,0.018424439297918482
HANCOCK,29,sex,B6,0.16177487971073465,0.11785187310716567,1.0,0.04392300660356897
HANCOCK,29,sex,B7_full_equal_weight_90,0.13275210244819494,0.07806258282875664,0.8709677419354839,0.0546895196194383
HANCOCK,29,site_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,29,site_group,B6,0.12901263708020372,0.12901263708020372,1.0,0.0
HANCOCK,29,site_group,B7_full_equal_weight_90,0.11932831126887827,0.11932831126887827,0.9016393442622951,0.0
HANCOCK,29,stage_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,29,stage_group,B6,0.12901263708020372,0.12901263708020372,1.0,0.0
HANCOCK,29,stage_group,B7_full_equal_weight_90,0.11932831126887827,0.11932831126887827,0.9016393442622951,0.0
HANCOCK,43,age_group,B2,0.15034343144657633,0.13959628379203648,1.0,0.010747147654539851
HANCOCK,43,age_group,B6,0.13062121135633728,0.12788294802971148,1.0,0.0027382633266258005
HANCOCK,43,age_group,B7_full_equal_weight_90,0.11935234040972346,0.09893660631927978,0.8904109589041096,0.020415734090443685
HANCOCK,43,hpv_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,43,hpv_group,B6,0.12898274231663495,0.12898274231663495,1.0,0.0
HANCOCK,43,hpv_group,B7_full_equal_weight_90,0.1110004491909056,0.1110004491909056,0.9016393442622951,0.0
HANCOCK,43,natural_modality_missingness,B2,0.15549053200881235,0.12341951801811102,1.0,0.032071013990701336
HANCOCK,43,natural_modality_missingness,B6,0.14075064162413176,0.10087053841539269,1.0,0.03988010320873907
HANCOCK,43,natural_modality_missingness,B7_full_equal_weight_90,0.11848359162166636,0.09353978351913056,0.8953488372093024,0.024943808102535797
HANCOCK,43,sex,B2,0.15976977358623312,0.14134533428831464,1.0,0.018424439297918482
HANCOCK,43,sex,B6,0.1616648588067935,0.11784927406174578,1.0,0.04381558474504771
HANCOCK,43,sex,B7_full_equal_weight_90,0.11342330057759968,0.10390495584415867,0.9010989010989011,0.009518344733441014
HANCOCK,43,site_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,43,site_group,B6,0.12898274231663495,0.12898274231663495,1.0,0.0
HANCOCK,43,site_group,B7_full_equal_weight_90,0.1110004491909056,0.1110004491909056,0.9016393442622951,0.0
HANCOCK,43,stage_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,43,stage_group,B6,0.12898274231663495,0.12898274231663495,1.0,0.0
HANCOCK,43,stage_group,B7_full_equal_weight_90,0.1110004491909056,0.1110004491909056,0.9016393442622951,0.0
HANCOCK,71,age_group,B2,0.15034343144657633,0.13959628379203648,1.0,0.010747147654539851
HANCOCK,71,age_group,B6,0.130611247657697,0.1281599572516045,1.0,0.002451290406092488
HANCOCK,71,age_group,B7_full_equal_weight_90,0.13032344820232877,0.12437458210926837,0.8979591836734694,0.005948866093060404
HANCOCK,71,hpv_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,71,hpv_group,B6,0.12914449192290395,0.12914449192290395,1.0,0.0
HANCOCK,71,hpv_group,B7_full_equal_weight_90,0.12794390176510462,0.12794390176510462,0.9016393442622951,0.0
HANCOCK,71,natural_modality_missingness,B2,0.15549053200881235,0.12341951801811102,1.0,0.032071013990701336
HANCOCK,71,natural_modality_missingness,B6,0.1409903772214058,0.10084598815426069,1.0,0.040144389067145125
HANCOCK,71,natural_modality_missingness,B7_full_equal_weight_90,0.13330187089619117,0.11596726488385238,0.8837209302325582,0.017334606012338785
HANCOCK,71,sex,B2,0.15976977358623312,0.14134533428831464,1.0,0.018424439297918482
HANCOCK,71,sex,B6,0.16205783589920245,0.11793225386504404,1.0,0.04412558203415841
HANCOCK,71,sex,B7_full_equal_weight_90,0.12887576497415268,0.12761027172729728,0.8901098901098901,0.0012654932468554037
HANCOCK,71,site_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,71,site_group,B6,0.12914449192290395,0.12914449192290395,1.0,0.0
HANCOCK,71,site_group,B7_full_equal_weight_90,0.12794390176510462,0.12794390176510462,0.9016393442622951,0.0
HANCOCK,71,stage_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,71,stage_group,B6,0.12914449192290395,0.12914449192290395,1.0,0.0
HANCOCK,71,stage_group,B7_full_equal_weight_90,0.12794390176510462,0.12794390176510462,0.9016393442622951,0.0
HANCOCK,101,age_group,B2,0.15034343144657633,0.13959628379203648,1.0,0.010747147654539851
HANCOCK,101,age_group,B6,0.13053663714547542,0.12724988361462822,1.0,0.003286753530847203
HANCOCK,101,age_group,B7_full_equal_weight_90,0.11835373935399864,0.09940672213498443,0.8904109589041096,0.018947017219014206
HANCOCK,101,hpv_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,101,hpv_group,B6,0.12856997314750948,0.12856997314750948,1.0,0.0
HANCOCK,101,hpv_group,B7_full_equal_weight_90,0.11060268685531102,0.11060268685531102,0.9016393442622951,0.0
HANCOCK,101,natural_modality_missingness,B2,0.15549053200881235,0.12341951801811102,1.0,0.032071013990701336
HANCOCK,101,natural_modality_missingness,B6,0.14046574116500263,0.10015230510572033,1.0,0.040313436059282295
HANCOCK,101,natural_modality_missingness,B7_full_equal_weight_90,0.11331306005555106,0.10933784602853235,0.872093023255814,0.003975214027018711
HANCOCK,101,sex,B2,0.15976977358623312,0.14134533428831464,1.0,0.018424439297918482
HANCOCK,101,sex,B6,0.1619088777458421,0.11721276388873685,1.0,0.044696113857105244
HANCOCK,101,sex,B7_full_equal_weight_90,0.12101534311657164,0.07859341020032469,0.8709677419354839,0.04242193291624695
HANCOCK,101,site_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,101,site_group,B6,0.12856997314750948,0.12856997314750948,1.0,0.0
HANCOCK,101,site_group,B7_full_equal_weight_90,0.11060268685531102,0.11060268685531102,0.9016393442622951,0.0
HANCOCK,101,stage_group,B2,0.14602695410991687,0.14602695410991687,1.0,0.0
HANCOCK,101,stage_group,B6,0.12856997314750948,0.12856997314750948,1.0,0.0
HANCOCK,101,stage_group,B7_full_equal_weight_90,0.11060268685531102,0.11060268685531102,0.9016393442622951,0.0
TCGA-HNSC,17,age_group,B2,0.24576875842580295,0.23495741718938146,1.0,0.010811341236421496
TCGA-HNSC,17,age_group,B6,0.26190552369370296,0.23285806244080623,1.0,0.029047461252896728
TCGA-HNSC,17,age_group,B7_full_equal_weight_90,0.2588834772583159,0.220047228565535,0.7647058823529411,0.038836248692780906
TCGA-HNSC,17,hpv_group,B2,0.24223428148312662,0.24223428148312662,1.0,0.0
