cohort,gate_profile,action,count,rate,non_abstention_coverage
RADCURE,80,AUGMENT,424,0.6773162939297125,0.84185303514377
RADCURE,80,FALLBACK,103,0.1645367412140575,0.84185303514377
RADCURE,80,ABSTAIN,99,0.15814696485623003,0.84185303514377
RADCURE,90,AUGMENT,514,0.8210862619808307,0.9329073482428115
RADCURE,90,FALLBACK,70,0.11182108626198083,0.9329073482428115
RADCURE,90,ABSTAIN,42,0.0670926517571885,0.9329073482428115
RADCURE,100,AUGMENT,592,0.9456869009584664,0.9968051118210862
RADCURE,100,FALLBACK,32,0.051118210862619806,0.9968051118210862
RADCURE,100,ABSTAIN,2,0.003194888178913738,0.9968051118210862
HANCOCK,80,AUGMENT,76,0.5,0.7368421052631579
HANCOCK,80,FALLBACK,36,0.23684210526315788,0.7368421052631579
HANCOCK,80,ABSTAIN,40,0.2631578947368421,0.7368421052631579
HANCOCK,90,AUGMENT,98,0.6447368421052632,0.8289473684210527
HANCOCK,90,FALLBACK,28,0.18421052631578946,0.8289473684210527
HANCOCK,90,ABSTAIN,26,0.17105263157894737,0.8289473684210527
HANCOCK,100,AUGMENT,146,0.9605263157894737,0.9605263157894737
HANCOCK,100,FALLBACK,0,0.0,0.9605263157894737
HANCOCK,100,ABSTAIN,6,0.039473684210526314,0.9605263157894737
GSE65858,80,AUGMENT,189,0.7745901639344263,0.860655737704918
GSE65858,80,FALLBACK,21,0.0860655737704918,0.860655737704918
GSE65858,80,ABSTAIN,34,0.13934426229508196,0.860655737704918
GSE65858,90,AUGMENT,226,0.9262295081967213,0.9426229508196722
GSE65858,90,FALLBACK,4,0.01639344262295082,0.9426229508196722
GSE65858,90,ABSTAIN,14,0.05737704918032787,0.9426229508196722
GSE65858,100,AUGMENT,240,0.9836065573770492,0.9836065573770492
GSE65858,100,FALLBACK,0,0.0,0.9836065573770492
GSE65858,100,ABSTAIN,4,0.01639344262295082,0.9836065573770492
GSE41613,80,AUGMENT,79,0.8144329896907216,1.0
GSE41613,80,FALLBACK,18,0.18556701030927836,1.0
GSE41613,80,ABSTAIN,0,0.0,1.0
GSE41613,90,AUGMENT,93,0.9587628865979382,1.0
GSE41613,90,FALLBACK,4,0.041237113402061855,1.0
GSE41613,90,ABSTAIN,0,0.0,1.0
GSE41613,100,AUGMENT,97,1.0,1.0
GSE41613,100,FALLBACK,0,0.0,1.0
GSE41613,100,ABSTAIN,0,0.0,1.0
