cohort,model,metric,estimate_bootstrap_median,ci_lower_95,ci_upper_95,valid_replicates
GSE41613,B2,ipcw_brier,0.267736513672249,0.23332326634696876,0.30245334489577536,2000
GSE41613,B2,harrell_c,0.5,0.5,0.5,2000
GSE41613,B2,uno_c,0.5,0.5,0.5,2000
GSE41613,B2,auc_horizon,0.5,0.5,0.5,2000
GSE41613,B4,ipcw_brier,0.282246266413558,0.24475101529030302,0.3226153256811898,2000
GSE41613,B4,harrell_c,0.6243215666561759,0.5423313039399966,0.6995362514063045,2000
GSE41613,B4,uno_c,0.6278736990308453,0.5194534437982222,0.7251642532533592,2000
GSE41613,B4,auc_horizon,0.6433514712758598,0.5133259921903706,0.7578913606553414,2000
GSE41613,B5,ipcw_brier,0.28013464423261575,0.2421484061276464,0.3206864314468888,2000
GSE41613,B5,harrell_c,0.6253746459571525,0.546091248023836,0.6996224970699417,2000
GSE41613,B5,uno_c,0.629870850678983,0.5257032530682294,0.7281394504269352,2000
GSE41613,B5,auc_horizon,0.646012025867315,0.5168325371089125,0.7578982297931292,2000
GSE41613,B6,ipcw_brier,0.27453011660328663,0.23755687464309277,0.3143788647634371,2000
GSE41613,B6,harrell_c,0.6226971131398027,0.5417619354306322,0.6965757809569268,2000
GSE41613,B6,uno_c,0.624884569124412,0.517672316106733,0.7226644391986252,2000
GSE41613,B6,auc_horizon,0.6406447999450657,0.5099278481509045,0.7534832625313557,2000
GSE41613,B7,ipcw_brier,0.2614203971812272,0.22594570058772098,0.2986415153569751,2000
GSE41613,B7,harrell_c,0.622923173267605,0.5418233989983394,0.698193681686956,2000
GSE41613,B7,uno_c,0.634284588703421,0.5305314683337735,0.7334545011695511,2000
GSE41613,B7,auc_horizon,0.6572894704993711,0.5297342096626978,0.7736180889715498,2000
GSE65858,B2,ipcw_brier,0.19629058842590538,0.1756209157739103,0.21914825138443053,2000
GSE65858,B2,harrell_c,0.5815473970915288,0.5094476281560347,0.6507294173898335,2000
GSE65858,B2,uno_c,0.5851142022216254,0.49783510679179366,0.6705062287762122,2000
GSE65858,B2,auc_horizon,0.5892408493305203,0.4886874682005984,0.6835921545081893,2000
GSE65858,B4,ipcw_brier,0.2796481444687838,0.2521243619004808,0.3088790471059996,2000
GSE65858,B4,harrell_c,0.5774947460744004,0.49941743337228284,0.6531891368744448,2000
GSE65858,B4,uno_c,0.5857475561526884,0.4991103103957953,0.6720619136127883,2000
GSE65858,B4,auc_horizon,0.5810329466970674,0.4846423871874921,0.6803725838478791,2000
GSE65858,B5,ipcw_brier,0.28144137730222435,0.2511627991459655,0.31118875417173725,2000
GSE65858,B5,harrell_c,0.6015561767844273,0.5281158455288929,0.6759501795752698,2000
GSE65858,B5,uno_c,0.6101985739950895,0.5270761777413158,0.6932024468563821,2000
GSE65858,B5,auc_horizon,0.6079754188750206,0.5146527913233756,0.6997007463603591,2000
GSE65858,B6,ipcw_brier,0.2728174671946488,0.24393526902766918,0.30110768987712494,2000
GSE65858,B6,harrell_c,0.5979017062908227,0.5218194282579629,0.6724852769649681,2000
GSE65858,B6,uno_c,0.6057473135132276,0.5181636742784911,0.6909853318378049,2000
GSE65858,B6,auc_horizon,0.602316336703284,0.5062029052292467,0.6954290220716699,2000
GSE65858,B7,ipcw_brier,0.26755461674657366,0.23907937388843506,0.29647202989506843,2000
GSE65858,B7,harrell_c,0.5796175903879193,0.495506420740479,0.6580421592813143,2000
GSE65858,B7,uno_c,0.5879052105743452,0.48946536082782255,0.6828273055528343,2000
GSE65858,B7,auc_horizon,0.5831606536383838,0.47526236914156006,0.6858258895519174,2000
HANCOCK,B2,ipcw_brier,0.13762502731291137,0.09795847833631861,0.18518364895743064,2000
HANCOCK,B2,harrell_c,0.7145440883249259,0.6288628617464859,0.792343726809479,2000
HANCOCK,B2,uno_c,0.7484772992404549,0.6429453416717389,0.8344602932024385,2000
HANCOCK,B2,auc_horizon,0.7856288290488904,0.670980638735096,0.8820327615139902,2000
HANCOCK,B4,ipcw_brier,0.12684377441298234,0.09417447412661498,0.1669716164838866,2000
HANCOCK,B4,harrell_c,0.7520167336880279,0.6757943361452398,0.8232929499261991,2000
HANCOCK,B4,uno_c,0.8021302474276538,0.7240782098607846,0.8704937575843145,2000
HANCOCK,B4,auc_horizon,0.8113102828756247,0.7227833999964736,0.8899906992427224,2000
HANCOCK,B5,ipcw_brier,0.11062324637037005,0.08117972058846781,0.1471625387232013,2000
HANCOCK,B5,harrell_c,0.7716814799226408,0.6958278009793554,0.8390980467023376,2000
HANCOCK,B5,uno_c,0.8227072907761072,0.7456927138452951,0.88563320058065,2000
HANCOCK,B5,auc_horizon,0.8435155891357858,0.750494265895747,0.9165443345748162,2000
HANCOCK,B6,ipcw_brier,0.11099450035633045,0.08137926007677902,0.14672255590358066,2000
HANCOCK,B6,harrell_c,0.778814799509882,0.7031664736618501,0.8457307360469823,2000
HANCOCK,B6,uno_c,0.8304840117454932,0.7543161589959813,0.8930226804103873,2000
HANCOCK,B6,auc_horizon,0.8504698846856535,0.7566569582609067,0.9230484506274751,2000
HANCOCK,B7,ipcw_brier,0.10359848896339957,0.06330496242994443,0.1505650079062921,2000
HANCOCK,B7,harrell_c,0.7727917789709919,0.6833709069765606,0.8553794065485137,2000
HANCOCK,B7,uno_c,0.829324531483906,0.7355635575416194,0.9012972596083165,2000
HANCOCK,B7,auc_horizon,0.8487449010326111,0.7523482110161972,0.925017083148193,2000
RADCURE,B2,ipcw_brier,0.1086199295331857,0.09388146010232078,0.12557270731250558,2000
RADCURE,B2,harrell_c,0.7016959088556198,0.6542108288878894,0.7496091993456955,2000
RADCURE,B2,uno_c,0.7078992722634943,0.6582067060601436,0.7599691757595175,2000
RADCURE,B2,auc_horizon,0.7146233745692593,0.6582260951048337,0.7730160158562933,2000
RADCURE,B4,ipcw_brier,0.10504427355709339,0.09008400314925959,0.1206984371071905,2000
RADCURE,B4,harrell_c,0.7267566826908312,0.6713093675294918,0.7760561394833378,2000
RADCURE,B4,uno_c,0.7383399810493839,0.6800321075926811,0.7950701350647419,2000
RADCURE,B4,auc_horizon,0.7460967297537047,0.6821140652600897,0.8073714980457346,2000
RADCURE,B5,ipcw_brier,0.09694394183206184,0.08258816960334163,0.11259890214931485,2000
RADCURE,B5,harrell_c,0.7693896850021092,0.7244514427711339,0.8131283022546196,2000
RADCURE,B5,uno_c,0.7804087403093453,0.7320803673441287,0.8271180145582216,2000
RADCURE,B5,auc_horizon,0.7890945592258158,0.7330961098269676,0.8409895039529156,2000
RADCURE,B6,ipcw_brier,0.09773200372349944,0.08348679598934823,0.11309514340274474,2000
RADCURE,B6,harrell_c,0.7649854003097958,0.7180567738296888,0.8079691790338563,2000
RADCURE,B6,uno_c,0.7756123994422137,0.7258326384195818,0.8225108685402289,2000
RADCURE,B6,auc_horizon,0.7847441741563184,0.7277446572665787,0.8369273698275171,2000
RADCURE,B7,ipcw_brier,0.09120666709249309,0.07656251394882829,0.10662088115117531,2000
RADCURE,B7,harrell_c,0.7457156226565902,0.6936139049193046,0.7985877041321239,2000
RADCURE,B7,uno_c,0.7573710006347754,0.7004418544544239,0.813269964706846,2000
RADCURE,B7,auc_horizon,0.7602686405397462,0.6958236949515363,0.8222526454237405,2000
