cohort,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
RADCURE,B2,626,1.0,626.0,110.0,491.2222459459066,0.10906156078254249,0.7012448873885941,0.707818863401655,0.7144782261106698,-0.14089028784962776,1.4004603457337959,0.2046407966806739
RADCURE,B4,626,1.0,626.0,110.0,491.2222459459066,0.10532156985839532,0.7258122131132901,0.7372750192111348,0.7460786012035416,-0.13497679004915628,1.928779517651314,0.2012202222538524
RADCURE,B5,626,1.0,626.0,110.0,491.2222459459066,0.09740279843752875,0.7688117308757078,0.7792430372530985,0.7878818658646354,-0.07451972449254379,1.4715444353327172,0.18894018436925425
RADCURE,B6,626,1.0,626.0,110.0,491.2222459459066,0.09804498586486762,0.7635964207254996,0.7740270491820708,0.7837702203893981,-0.1432519016195859,1.3950764379880332,0.19928432023714468
RADCURE,B7,626,0.9329073482428115,584.0,89.0,455.15826509320743,0.09134607707998169,0.7456827023436758,0.7567385934675357,0.7601507612287439,-0.19306860739829096,1.473299051639768,0.1801578983791946
HANCOCK,B2,152,1.0,152.0,40.0,144.96594611661715,0.13934857575511733,0.7149112138165896,0.7475664771373507,0.7864003074714102,0.36921107416647875,1.3950794320564812,0.149410195997588
HANCOCK,B4,152,1.0,152.0,40.0,144.96594611661715,0.12772781912209824,0.7521284359036731,0.8003633855021391,0.8100974062430879,0.11332933296914452,1.121204726917631,0.1790200023439133
HANCOCK,B5,152,1.0,152.0,40.0,144.96594611661715,0.11200431805906208,0.7718316711262466,0.8207410117051013,0.8411821425391204,0.04243530417690596,1.3974031002120033,0.18881635678939163
HANCOCK,B6,152,1.0,152.0,40.0,144.96594611661715,0.11218695820587339,0.7788859158355631,0.8281322259273631,0.8476241712089265,0.08620963112579792,1.5149301328486058,0.18327217258779976
HANCOCK,B7,152,0.8289473684210527,126.0,28.0,121.53044641234122,0.10549003987368111,0.7724279835390947,0.8248602471320526,0.846117916053513,0.2565613137250853,2.427522089045829,0.11695950699154566
GSE65858,B2,244,1.0,244.0,78.0,297.48965062678667,0.19639426556463346,0.5818060646451183,0.5842945746001142,0.5892725806268351,-0.7664706294222297,1.6067847042571,0.3125001170926411
GSE65858,B4,244,1.0,244.0,78.0,297.48965062678667,0.279725359323845,0.5781406197934021,0.5859039447875178,0.5823228723320155,-1.5177387473163688,0.5121753810990224,0.44646806145137874
GSE65858,B5,244,1.0,244.0,78.0,297.48965062678667,0.28110044960442393,0.6027990669776742,0.6114032065993247,0.6094234538378851,-1.5581694895717089,0.5952819958577121,0.4537549035201591
GSE65858,B6,244,1.0,244.0,78.0,297.48965062678667,0.27253902122654505,0.5988837054315228,0.6066275457712066,0.6035260261939317,-1.493952562639533,0.5992329906226552,0.44180215259962463
GSE65858,B7,244,0.9426229508196722,230.0,71.0,284.6717755570087,0.26715525494190623,0.5789473684210527,0.589171993402282,0.5838968884541591,-1.5481361375993452,0.5604198820148903,0.4289308471827054
GSE41613,B2,97,1.0,97.0,51.0,132.57483315090704,0.2674010549680732,0.5,0.5,0.5,-0.2756395958478424,,0.31655681006659403
GSE41613,B4,97,1.0,97.0,51.0,132.57483315090704,0.28202260719416095,0.6229226361031519,0.6261290032185809,0.6409138684664857,-0.7456364285353738,0.7754718950184543,0.41324174086684196
GSE41613,B5,97,1.0,97.0,51.0,132.57483315090704,0.27967012910184225,0.6240687679083095,0.6277036451024087,0.6431347535706036,-0.7370359355457978,0.7863422259514666,0.41060872492891565
GSE41613,B6,97,1.0,97.0,51.0,132.57483315090704,0.2742212564259562,0.6212034383954155,0.6228616249553587,0.6377267512581242,-0.6725676849562525,0.8048687936253232,0.3976086112279038
GSE41613,B7,97,1.0,97.0,51.0,132.57483315090704,0.2610833751854621,0.6217765042979942,0.6337383746160435,0.6555125727375014,-0.5558661340080592,0.9892193665535137,0.3752306830248384
