cohort,comparison,n,metric,point_estimate,estimate_bootstrap_median,ci_lower_95,ci_upper_95,valid_replicates
RADCURE,B7_vs_B6,584,difference_ipcw_brier,0.0038205489196130177,0.0037158245668230533,0.0008422575343031456,0.0071838605693424285,2000
RADCURE,B7_vs_B2,584,difference_ipcw_brier,-0.0048873794827138245,-0.004797557633499726,-0.007952308424288571,-0.0019255456242976768,2000
RADCURE,B6_vs_B5,626,difference_ipcw_brier,0.000642187427338875,0.0006720426429729781,-0.0011024204269675312,0.002355516735142123,2000
HANCOCK,B7_vs_B6,126,difference_ipcw_brier,0.01058179643665036,0.009823427094507405,-0.00947497033278428,0.0318558307383536,2000
HANCOCK,B7_vs_B2,126,difference_ipcw_brier,-0.007227312819140921,-0.007010950970150573,-0.016116705445963102,0.00021987143185438101,2000
HANCOCK,B6_vs_B5,152,difference_ipcw_brier,0.0001826401468113109,0.00026161055199992733,-0.003585568308338627,0.0036670272379269514,2000
GSE65858,B7_vs_B6,230,difference_ipcw_brier,-0.008124515108499042,-0.00782994302371312,-0.01584488552108829,-0.001834968525009165,2000
GSE65858,B7_vs_B2,230,difference_ipcw_brier,0.07293731618350646,0.07275593398751652,0.0425014918011587,0.10389054048165945,2000
GSE65858,B6_vs_B5,244,difference_ipcw_brier,-0.008561428377878877,-0.008510258739785032,-0.011745737573939668,-0.005629888047852233,2000
GSE41613,B7_vs_B6,97,difference_ipcw_brier,-0.013137881240494087,-0.012323689491235523,-0.03152887759510234,0.002152503771749905,2000
GSE41613,B7_vs_B2,97,difference_ipcw_brier,-0.0063176797826111075,-0.006588357919265778,-0.04051329221543244,0.03007717271562462,2000
GSE41613,B6_vs_B5,97,difference_ipcw_brier,-0.005448872675886063,-0.005426412115289214,-0.010281258937312321,-0.0007987561123954475,2000
RADCURE,B7_vs_B6,584,difference_harrell_c,-0.012335136160926075,-0.011911510331671982,-0.026988218738864322,9.446450132676569e-05,2000
RADCURE,B7_vs_B2,584,difference_harrell_c,0.03759844387513045,0.03742147409503521,0.016144115331291408,0.0614215122942771,2000
RADCURE,B6_vs_B5,626,difference_harrell_c,-0.005215310150208152,-0.005557048236130346,-0.01646556918242052,0.006278108489019466,2000
HANCOCK,B7_vs_B6,126,difference_harrell_c,0.0024691358024692134,0.0037431048069346273,-0.05009789260597526,0.059819095388480466,2000
HANCOCK,B7_vs_B2,126,difference_harrell_c,0.07983539094650216,0.08192787547197167,-0.01829657470336985,0.19510370034956348,2000
HANCOCK,B6_vs_B5,152,difference_harrell_c,0.007054244709316482,0.006994404755747974,-0.004400401539456061,0.018548583280409384,2000
GSE65858,B7_vs_B6,230,difference_harrell_c,-0.00944417117560259,-0.008963095786240605,-0.03637498357771829,0.012591192589520487,2000
GSE65858,B7_vs_B2,230,difference_harrell_c,0.01918347270044274,0.01914756379471244,-0.07786829450460908,0.1178348103580343,2000
GSE65858,B6_vs_B5,244,difference_harrell_c,-0.0039153615461513525,-0.003963191880200889,-0.012547212490198875,0.004554466357308556,2000
GSE41613,B7_vs_B6,97,difference_harrell_c,0.0005730659025787732,-0.00014513848022612574,-0.03132083521461973,0.0314345230310617,2000
GSE41613,B7_vs_B2,97,difference_harrell_c,0.12177650429799425,0.12292317326760499,0.0418233989983394,0.19819368168695595,2000
GSE41613,B6_vs_B5,97,difference_harrell_c,-0.002865329512893977,-0.0028139476090767723,-0.012736236999855544,0.007886297257605191,2000
RADCURE,B7_vs_B6,584,difference_uno_c,-0.01422874797887752,-0.013817280344707361,-0.030875803481090168,-0.0006722014828249997,2000
RADCURE,B7_vs_B2,584,difference_uno_c,0.03803733724687042,0.03782404621165947,0.01517304798829984,0.06382914115452172,2000
RADCURE,B6_vs_B5,626,difference_uno_c,-0.005215988071027744,-0.005449982251872321,-0.017289775628157332,0.006195156168354951,2000
HANCOCK,B7_vs_B6,126,difference_uno_c,-0.017262595129358016,-0.014896878358281906,-0.08543565488052468,0.04963324461814786,2000
HANCOCK,B7_vs_B2,126,difference_uno_c,0.08803694650449145,0.08861518366083138,-0.02147169989658613,0.23258028725070376,2000
HANCOCK,B6_vs_B5,152,difference_uno_c,0.007391214222261855,0.007267761576067566,-0.004287351700595391,0.019476774404197327,2000
GSE65858,B7_vs_B6,230,difference_uno_c,-0.010821871288841378,-0.01023122328229581,-0.0408771275281595,0.011496893005423163,2000
GSE65858,B7_vs_B2,230,difference_uno_c,0.03227262498969008,0.031958202585944506,-0.07864745699971927,0.1438535675996288,2000
GSE65858,B6_vs_B5,244,difference_uno_c,-0.004775660828118089,-0.004761754559161113,-0.015431817629940229,0.005292290941274771,2000
GSE41613,B7_vs_B6,97,difference_uno_c,0.010876749660684859,0.010575316656855294,-0.02852379292632933,0.0491020309523941,2000
GSE41613,B7_vs_B2,97,difference_uno_c,0.13373837461604354,0.13428458870342103,0.030531468333773504,0.2334545011695511,2000
GSE41613,B6_vs_B5,97,difference_uno_c,-0.004842020147050041,-0.004474612943726197,-0.017106997482539958,0.007056019293338264,2000
RADCURE,B7_vs_B6,584,difference_auc_horizon,-0.01661542813651684,-0.01605343666281267,-0.034667543034477125,-0.0005264155552998316,2000
RADCURE,B7_vs_B2,584,difference_auc_horizon,0.037195899394343646,0.036490824102991815,0.010860434414330383,0.0646078251572424,2000
RADCURE,B6_vs_B5,626,difference_auc_horizon,-0.0041116454752372356,-0.004432704259396847,-0.01779376627615798,0.008596701004117554,2000
HANCOCK,B7_vs_B6,126,difference_auc_horizon,-0.00625316799225617,-0.004167775455084399,-0.09059305074036855,0.07496992504579625,2000
HANCOCK,B7_vs_B2,126,difference_auc_horizon,0.08696349006637227,0.08909743123612901,-0.0380803331770296,0.24153911293717958,2000
HANCOCK,B6_vs_B5,152,difference_auc_horizon,0.0064420286698061435,0.006349141062079289,-0.0082661780342076,0.020863214866262535,2000
GSE65858,B7_vs_B6,230,difference_auc_horizon,-0.012677371722053854,-0.011750985304583184,-0.04662900786000203,0.013440071163596174,2000
GSE65858,B7_vs_B2,230,difference_auc_horizon,0.02627812542768726,0.026674761447984308,-0.09521425500030062,0.1488470998335528,2000
GSE65858,B6_vs_B5,244,difference_auc_horizon,-0.005897427643953401,-0.005859593615789804,-0.017755478265315733,0.005614979026514503,2000
GSE41613,B7_vs_B6,97,difference_auc_horizon,0.01778582147937724,0.01748939606232669,-0.026503446094749604,0.060566286654051546,2000
GSE41613,B7_vs_B2,97,difference_auc_horizon,0.1555125727375014,0.15728947049937114,0.02973420966269783,0.2736180889715498,2000
GSE41613,B6_vs_B5,97,difference_auc_horizon,-0.0054080023124793986,-0.005146914290472426,-0.01887913697193796,0.008400804501489036,2000
