analysis_label,cohort,comparison,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,valid_replicates
post hoc exploratory benchmark,RADCURE,C1_vs_B5,difference_ipcw_brier,-0.0016021248377303399,-0.0017347838471813634,-0.005325691516353482,0.002331242702134595,1000
post hoc exploratory benchmark,RADCURE,C1_vs_B5,difference_harrell_c,0.02711246852060223,0.027484479476012624,-0.001305952971675877,0.057155555336412533,1000
post hoc exploratory benchmark,RADCURE,C1_vs_B5,difference_uno_c,0.027352002887677473,0.027623827276548885,-0.004306309129109123,0.06102149321444776,1000
post hoc exploratory benchmark,RADCURE,C1_vs_B5,difference_auc_horizon,0.03149415958119228,0.03193349994641065,-0.0044032734396835084,0.06849092383851693,1000
post hoc exploratory benchmark,RADCURE,C1_vs_B6,difference_ipcw_brier,-0.002244312265069215,-0.0023088456833636334,-0.00645884421935619,0.001985366952681574,1000
post hoc exploratory benchmark,RADCURE,C1_vs_B6,difference_harrell_c,0.03232777867081038,0.03229548390006787,0.0017017145420493351,0.06186583490742842,1000
post hoc exploratory benchmark,RADCURE,C1_vs_B6,difference_uno_c,0.03256799095870522,0.033001061710696056,-0.0012114909482683204,0.06639161598046688,1000
post hoc exploratory benchmark,RADCURE,C1_vs_B6,difference_auc_horizon,0.03560580505642952,0.03500587715296377,-0.0016268911097495563,0.07291061139574384,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B5,difference_ipcw_brier,-0.006719474465727182,-0.006627763477637549,-0.01116200255724422,-0.002231174909503691,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B5,difference_harrell_c,0.029050349175730905,0.028397953420619404,0.0053180437088038825,0.05363986738648316,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B5,difference_uno_c,0.02750077845301635,0.026666646003979166,0.003006374468792245,0.055221531268448636,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B5,difference_auc_horizon,0.030300596771178134,0.0295343284308342,0.0022096297003677545,0.06067161232228266,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B6,difference_ipcw_brier,-0.007361661893066057,-0.007234749605344759,-0.011619373680860866,-0.002827125332140998,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B6,difference_harrell_c,0.03426565932593906,0.03337686745587809,0.010463636396179893,0.05904004496549483,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B6,difference_uno_c,0.032716766524044094,0.031855538669098404,0.007053717845076324,0.06053454746538471,1000
post hoc exploratory benchmark,RADCURE,C2_vs_B6,difference_auc_horizon,0.03441224224641537,0.03418628191133388,0.005458577820260105,0.0655564303428365,1000
post hoc exploratory benchmark,RADCURE,C3_vs_B5,difference_ipcw_brier,0.0010659803643605775,0.0010150479332504334,-0.0014875499830108035,0.0035637308453032217,1000
post hoc exploratory benchmark,RADCURE,C3_vs_B5,difference_harrell_c,-0.007179981782135858,-0.007191299593578726,-0.02067926001400647,0.006290651764432097,1000
post hoc exploratory benchmark,RADCURE,C3_vs_B5,difference_uno_c,-0.007982617603069286,-0.00802307951265524,-0.02190753172429472,0.005169353038584953,1000
post hoc exploratory benchmark,RADCURE,C3_vs_B5,difference_auc_horizon,-0.0071402809242986365,-0.007381338690831962,-0.023159805547065225,0.007422843954396088,1000
