model,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,valid_replicates
B0,ipcw_brier,0.10168690208822444,0.1003230032549067,0.0596178209422201,0.1438356955348589,1000
B0,harrell_c,0.5,0.5,0.5,0.5,1000
B0,uno_c,0.5,0.5,0.5,0.5,1000
B0,auc_horizon,0.5,0.5,0.5,0.5,1000
B1,ipcw_brier,0.08460320990667988,0.08305404254996958,0.04711558644655078,0.12341692739601469,1000
B1,harrell_c,0.688663282571912,0.6933096052490503,0.5905641326297961,0.7892593539153547,1000
B1,uno_c,0.6885617609116168,0.6921702901220663,0.5279031390649838,0.8377703473271699,1000
B1,auc_horizon,0.7133529891408414,0.7159394150825433,0.5536113699544142,0.8602434385494484,1000
B2,ipcw_brier,0.101083286624488,0.09952642921646561,0.05934585933781347,0.14313900084265446,1000
B2,harrell_c,0.5624365482233502,0.5605849447671674,0.45748590575470693,0.6703703288138724,1000
B2,uno_c,0.5923720082885888,0.591751740247858,0.42648354887032935,0.7463120474212142,1000
B2,auc_horizon,0.6075252448652336,0.6070084263848678,0.4339182644172817,0.7623899016787973,1000
B3,ipcw_brier,0.09228795624720892,0.09132051500609814,0.0559612437928049,0.13054863256079893,1000
B3,harrell_c,0.7187817258883249,0.7200363866519384,0.621944744099965,0.8034422173124569,1000
B3,uno_c,0.7053510971366012,0.7057330422113595,0.5704172847222719,0.8328506041611542,1000
B3,auc_horizon,0.7262475919100462,0.7295353549556471,0.588567466784561,0.8571820866449916,1000
B4,ipcw_brier,0.07913311517777952,0.07801959667986773,0.046830342586664686,0.11402047964016342,1000
B4,harrell_c,0.7311336717428087,0.7334220741411659,0.631448954460268,0.8138771173628288,1000
B4,uno_c,0.8485209619230211,0.8504864261304683,0.7516759484985629,0.9322543074993025,1000
B4,auc_horizon,0.8680682052061771,0.8696304239207922,0.7666331586826439,0.9562125764117104,1000
B5,ipcw_brier,0.08083929600469969,0.0794165691619988,0.04768419767251625,0.11545852206516091,1000
B5,harrell_c,0.7336717428087987,0.73614679593452,0.6331307080803305,0.8118458343166653,1000
B5,uno_c,0.8631234066370632,0.8650456357933196,0.789945311424158,0.9265973176904438,1000
B5,auc_horizon,0.8912763643002608,0.8913781242093455,0.8129052619172819,0.956834626244436,1000
B6,ipcw_brier,0.08071300030493558,0.07922498724223588,0.047575222145590415,0.11502141108205842,1000
B6,harrell_c,0.7380710659898477,0.7418755351140026,0.6339631551115612,0.8144620892918765,1000
B6,uno_c,0.8632406169747836,0.8643258532201532,0.7846521606658136,0.9276202698867694,1000
B6,auc_horizon,0.8891801250272807,0.8890720635784706,0.809626200675715,0.9564803995834924,1000
B7,ipcw_brier,0.08727524998670438,0.08596039739299563,0.0481464022505676,0.12852352278947612,1000
B7,harrell_c,0.6646680942184154,0.6667406092871931,0.5625730178651668,0.7522935099106041,1000
B7,uno_c,0.7651337644257815,0.7627095546326521,0.6563868028100078,0.8564031050736084,1000
B7,auc_horizon,0.7861121385194717,0.7862050133726866,0.6704654391872171,0.8795222631874111,1000
M0,ipcw_brier,0.10171632997129286,0.10020212790006408,0.05972084430952163,0.1434582232641827,1000
M0,harrell_c,0.48460236886632824,0.485032692168923,0.38643916788771826,0.5679342724094061,1000
M0,uno_c,0.5142126400102933,0.5146099141960931,0.36894888688209165,0.6327097009192679,1000
M0,auc_horizon,0.5080882212545128,0.5059533859009286,0.3601155975532469,0.6376469870681611,1000
N0,ipcw_brier,0.10159042853921811,0.10030736522601894,0.059525149051451315,0.14372443635423407,1000
N0,harrell_c,0.5512690355329949,0.5517629698664182,0.4511702769561189,0.6568771268838114,1000
N0,uno_c,0.5097927818598165,0.5113000149139726,0.3527933116356713,0.6633929299996801,1000
N0,auc_horizon,0.5242007454489934,0.5277566456058359,0.3621752832989972,0.6805164099188139,1000
C1,ipcw_brier,0.09037175633710134,0.0891712286104518,0.054003648638411825,0.12855923942825656,1000
C1,harrell_c,0.8010152284263959,0.8012333988361386,0.7355899402656544,0.8603622534348137,1000
C1,uno_c,0.8388457027995031,0.8407519094349487,0.7439415851028585,0.9188573772137751,1000
C1,auc_horizon,0.8592832257789316,0.8614551002517947,0.7635526328517438,0.9392998529394929,1000
C2,ipcw_brier,0.06791894457532535,0.06713249279003808,0.03931896746172845,0.09829650483289068,1000
C2,harrell_c,0.877834179357022,0.8791657734717719,0.8309187648361879,0.9217050350880859,1000
C2,uno_c,0.9313607109745016,0.9330235077124731,0.8876684659606757,0.972026545129777,1000
C2,auc_horizon,0.9497877755110373,0.9503196558777569,0.9038999418089413,0.9848509653299768,1000
C3,ipcw_brier,0.07928252782446013,0.07836448721795078,0.046181214884064535,0.11325429274251723,1000
C3,harrell_c,0.7302876480541455,0.7320158042265591,0.6323830145555155,0.8063700346577691,1000
C3,uno_c,0.8533533371401025,0.8540597745191065,0.7684447837473054,0.9289008300456574,1000
C3,auc_horizon,0.8796359418058214,0.8803689457480117,0.7917655036013103,0.9536926497834535,1000
C4,ipcw_brier,0.08083929600469969,0.0794165691619988,0.04768419767251625,0.11545852206516091,1000
C4,harrell_c,0.7336717428087987,0.73614679593452,0.6331307080803305,0.8118458343166653,1000
C4,uno_c,0.8631234066370632,0.8650456357933196,0.789945311424158,0.9265973176904438,1000
C4,auc_horizon,0.8912763643002608,0.8913781242093455,0.8129052619172819,0.956834626244436,1000
