analysis_label,cohort,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
naive private-label simulation with known HANCOCK overlap,inner_hancock,B0,135,1.0,135.0,37.0,139.25063075692685,0.10168690208822444,0.5,0.5,0.5,-0.21730515647860485,,0.13336489040569383
naive private-label simulation with known HANCOCK overlap,inner_hancock,B1,135,1.0,135.0,37.0,139.25063075692685,0.08460320990667988,0.688663282571912,0.6885617609116168,0.7133529891408414,-0.019057150763612987,0.7390785033201027,0.12258384205084215
naive private-label simulation with known HANCOCK overlap,inner_hancock,B2,135,1.0,135.0,37.0,139.25063075692685,0.101083286624488,0.5624365482233502,0.5923720082885888,0.6075252448652336,-0.1932010265135782,0.9667111247466655,0.13388124876432111
naive private-label simulation with known HANCOCK overlap,inner_hancock,B3,135,1.0,135.0,37.0,139.25063075692685,0.09228795624720892,0.7187817258883249,0.7053510971366012,0.7262475919100462,-0.20944724061064704,1.7644097516724708,0.1362993223734686
naive private-label simulation with known HANCOCK overlap,inner_hancock,B4,135,1.0,135.0,37.0,139.25063075692685,0.07913311517777952,0.7311336717428087,0.8485209619230211,0.8680682052061771,-0.279063159007816,2.753175776102126,0.14629343636560663
naive private-label simulation with known HANCOCK overlap,inner_hancock,B5,135,1.0,135.0,37.0,139.25063075692685,0.08083929600469969,0.7336717428087987,0.8631234066370632,0.8912763643002608,-0.23897476926536046,2.5629181952551376,0.14353103432533912
naive private-label simulation with known HANCOCK overlap,inner_hancock,B6,135,1.0,135.0,37.0,139.25063075692685,0.08071300030493558,0.7380710659898477,0.8632406169747836,0.8891801250272807,-0.2412276819666952,2.6549443156457224,0.14322175454984684
naive private-label simulation with known HANCOCK overlap,inner_hancock,B7,135,0.9037037037037037,122.0,33.0,128.74028371634392,0.08727524998670438,0.6646680942184154,0.7651337644257815,0.7861121385194717,-0.24493177782159392,2.0118852503364035,0.12306430306171426
naive private-label simulation with known HANCOCK overlap,inner_hancock,M0,135,1.0,135.0,37.0,139.25063075692685,0.10171632997129286,0.48460236886632824,0.5142126400102933,0.5080882212545128,-0.22280496600395355,0.6058157722680028,0.13416787544230388
naive private-label simulation with known HANCOCK overlap,inner_hancock,N0,135,1.0,135.0,37.0,139.25063075692685,0.10159042853921811,0.5512690355329949,0.5097927818598165,0.5242007454489934,-0.21987921010789335,2.1564469206251227,0.1339495340508782
naive private-label simulation with known HANCOCK overlap,inner_hancock,C1,135,1.0,135.0,37.0,139.25063075692685,0.09037175633710134,0.8010152284263959,0.8388457027995031,0.8592832257789316,-0.22624366807951712,3.1484837213767767,0.1387820792453131
naive private-label simulation with known HANCOCK overlap,inner_hancock,C2,135,1.0,135.0,37.0,139.25063075692685,0.06791894457532535,0.877834179357022,0.9313607109745016,0.9497877755110373,-0.2243477208003783,1.8838764380923236,0.14059121357054782
naive private-label simulation with known HANCOCK overlap,inner_hancock,C3,135,1.0,135.0,37.0,139.25063075692685,0.07928252782446013,0.7302876480541455,0.8533533371401025,0.8796359418058214,-0.20729261330383958,2.3521599148121832,0.14126175569319602
naive private-label simulation with known HANCOCK overlap,inner_hancock,C4,135,1.0,135.0,37.0,139.25063075692685,0.08083929600469969,0.7336717428087987,0.8631234066370632,0.8912763643002608,-0.23897476926536046,2.5629181952551376,0.14353103432533912
