comparison,metric,common_subset_n,point_difference,ci_lower_95,ci_upper_95,valid_replicates
B7_vs_B6,ipcw_brier,122,0.011347323805718679,-0.0007097470704084188,0.026583168970490987,1000
B7_vs_B6,harrell_c,122,-0.04325481798715203,-0.09962115589509139,-0.0029213659147869437,1000
B7_vs_B6,uno_c,122,-0.08677031901426824,-0.20246560770486224,-0.010980203786048326,1000
B7_vs_B6,auc_horizon,122,-0.08642512152791282,-0.20567918993096942,-0.0035693801594620872,1000
B7_vs_B2,ipcw_brier,122,-0.0039800453980433775,-0.008617272818202428,4.50207321439052e-05,1000
B7_vs_B2,harrell_c,122,0.11520342612419698,0.005988529369641119,0.22816125290023198,1000
B7_vs_B2,uno_c,122,0.17192300800507254,0.014745505419712682,0.3560491609085254,1000
B7_vs_B2,auc_horizon,122,0.18412362831783913,0.018006049283567443,0.3726612949200509,1000
B6_vs_B5,ipcw_brier,135,-0.00012629569976410626,-0.0013937359770991524,0.0011280181816716295,1000
B6_vs_B5,harrell_c,135,0.004399323181049075,-0.012173932206525975,0.019925067811788825,1000
B6_vs_B5,uno_c,135,0.00011721033772038592,-0.019539184102086805,0.017357570488894178,1000
B6_vs_B5,auc_horizon,135,-0.0020962392729800827,-0.022299073109712412,0.014262825050846806,1000
C1_vs_B6,ipcw_brier,135,0.00965875603216576,-0.0006227499029113596,0.02111292960875387,1000
C1_vs_B6,harrell_c,135,0.06294416243654821,-0.010380920389366052,0.14788498308971465,1000
C1_vs_B6,uno_c,135,-0.024394914175280502,-0.10386189897073372,0.04742340839898752,1000
C1_vs_B6,auc_horizon,135,-0.02989689924834915,-0.10489134955287316,0.040327891599736015,1000
C2_vs_B6,ipcw_brier,135,-0.012794055729610232,-0.032020038899369684,0.004659096399345978,1000
C2_vs_B6,harrell_c,135,0.13976311336717429,0.08144812493146684,0.210409900492288,1000
C2_vs_B6,uno_c,135,0.06812009399971797,0.0008827180743328973,0.1337148562315111,1000
C2_vs_B6,auc_horizon,135,0.0606076504837566,-0.0024757232747645184,0.1285553317255572,1000
C3_vs_B6,ipcw_brier,135,-0.0014304724804754532,-0.004209083470037508,0.0010345260832018517,1000
C3_vs_B6,harrell_c,135,-0.007783417935702253,-0.025487583191863342,0.009818138718474876,1000
C3_vs_B6,uno_c,135,-0.009887279834681073,-0.03346793152221807,0.006307160400875058,1000
C3_vs_B6,auc_horizon,135,-0.009544183221459335,-0.032027357126615384,0.0063729257372254185,1000
C4_vs_B6,ipcw_brier,135,0.00012629569976410626,-0.0011280181816716302,0.001393735977099152,1000
C4_vs_B6,harrell_c,135,-0.004399323181049075,-0.01992506781178883,0.012173932206525974,1000
C4_vs_B6,uno_c,135,-0.00011721033772038592,-0.017357570488894178,0.019539184102086805,1000
C4_vs_B6,auc_horizon,135,0.0020962392729800827,-0.014262825050846813,0.02229907310971241,1000
